,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9835390946502057,0.9956331877729258,0.987012987012987,0.991304347826087,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.05
1,LSTM,128 layers,0.9670781893004116,0.9955555555555555,0.9696969696969697,0.9824561403508771,0.6111111111111112,0.9166666666666666,0.7333333333333334,0.05
2,LSTM,64 layers,0.9794238683127572,0.9956140350877193,0.9826839826839827,0.9891067538126361,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.05
3,LSTM,32 layers,0.9732510288065843,0.9934065934065934,0.9783549783549783,0.9858233369683751,0.6774193548387096,0.875,0.7636363636363636,0.05
4,CNN with Attention,"32 filters, kernel size 7",0.9876543209876543,0.9935064935064936,0.9935064935064936,0.9935064935064936,0.875,0.875,0.875,0.05
5,CNN with Attention,"32 filters, kernel size 5",0.9917695473251029,0.9935344827586207,0.9978354978354979,0.9956803455723542,0.9545454545454546,0.875,0.9130434782608695,0.05
6,CNN with Attention,"32 filters, kernel size 3",0.9897119341563786,0.9956616052060737,0.9935064935064936,0.9945828819068255,0.88,0.9166666666666666,0.8979591836734694,0.05
7,CNN with Attention,"64 filters, kernel size 7",0.9876543209876543,0.9935064935064936,0.9935064935064936,0.9935064935064936,0.875,0.875,0.875,0.05
8,CNN with Attention,"64 filters, kernel size 5",0.9917695473251029,0.9956709956709957,0.9956709956709957,0.9956709956709957,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.05
9,CNN with Attention,"64 filters, kernel size 3",0.9917695473251029,0.9956709956709957,0.9956709956709957,0.9956709956709957,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.05
10,CNN with Attention,"128 filters, kernel size 7",0.9938271604938271,0.9935483870967742,1.0,0.9967637540453074,1.0,0.875,0.9333333333333333,0.05
11,CNN with Attention,"128 filters, kernel size 5",0.9876543209876543,0.9935064935064936,0.9935064935064936,0.9935064935064936,0.875,0.875,0.875,0.05
12,CNN with Attention,"128 filters, kernel size 3",0.9917695473251029,0.9956709956709957,0.9956709956709957,0.9956709956709957,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.05
13,CNN with Attention,"256 filters, kernel size 7",0.9938271604938271,0.9935483870967742,1.0,0.9967637540453074,1.0,0.875,0.9333333333333333,0.05
14,CNN with Attention,"256 filters, kernel size 5",0.9897119341563786,0.9935205183585313,0.9956709956709957,0.9945945945945946,0.9130434782608695,0.875,0.8936170212765957,0.05
15,CNN with Attention,"256 filters, kernel size 3",0.9917695473251029,0.9956709956709957,0.9956709956709957,0.9956709956709957,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.05
16,RNN,256 units,0.9958847736625515,0.9978354978354979,0.9978354978354979,0.9978354978354979,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.05
17,RNN,128 units,0.9938271604938271,0.9978308026030369,0.9956709956709957,0.9967497291440953,0.92,0.9583333333333334,0.9387755102040817,0.05
18,RNN,64 units,0.9897119341563786,0.9978213507625272,0.9913419913419913,0.99457111834962,0.8518518518518519,0.9583333333333334,0.9019607843137256,0.05
19,RNN,32 units,0.9753086419753086,0.9955947136563876,0.9783549783549783,0.9868995633187773,0.6875,0.9166666666666666,0.7857142857142857,0.05
20,CNN,"32 filters, kernel size 7",0.9897119341563786,0.9935205183585313,0.9956709956709957,0.9945945945945946,0.9130434782608695,0.875,0.8936170212765957,0.05
21,CNN,"32 filters, kernel size 5",0.98559670781893,0.9934924078091106,0.9913419913419913,0.9924160346695557,0.84,0.875,0.8571428571428572,0.05
22,CNN,"32 filters, kernel size 3",0.9938271604938271,0.9956803455723542,0.9978354978354979,0.9967567567567569,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.05
23,CNN,"64 filters, kernel size 7",0.9835390946502057,0.9934782608695653,0.9891774891774892,0.9913232104121475,0.8076923076923077,0.875,0.8400000000000001,0.05
24,CNN,"64 filters, kernel size 5",0.9917695473251029,0.9935344827586207,0.9978354978354979,0.9956803455723542,0.9545454545454546,0.875,0.9130434782608695,0.05
25,CNN,"64 filters, kernel size 3",0.9917695473251029,0.9956709956709957,0.9956709956709957,0.9956709956709957,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.05
26,CNN,"128 filters, kernel size 7",0.9917695473251029,0.9935344827586207,0.9978354978354979,0.9956803455723542,0.9545454545454546,0.875,0.9130434782608695,0.05
27,CNN,"128 filters, kernel size 5",0.9897119341563786,0.9935205183585313,0.9956709956709957,0.9945945945945946,0.9130434782608695,0.875,0.8936170212765957,0.05
28,CNN,"128 filters, kernel size 3",0.9917695473251029,0.9956709956709957,0.9956709956709957,0.9956709956709957,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.05
29,CNN,"256 filters, kernel size 7",0.9917695473251029,0.9935344827586207,0.9978354978354979,0.9956803455723542,0.9545454545454546,0.875,0.9130434782608695,0.05
30,CNN,"256 filters, kernel size 5",0.9711934156378601,0.9933920704845814,0.9761904761904762,0.9847161572052401,0.65625,0.875,0.75,0.05
31,CNN,"256 filters, kernel size 3",0.98559670781893,0.9956427015250545,0.9891774891774892,0.992399565689468,0.8148148148148148,0.9166666666666666,0.8627450980392156,0.05
