,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.5823045267489712,0.9458483754512635,0.5822222222222222,0.7207702888583218,0.10047846889952153,0.5833333333333334,0.17142857142857143,0.07
1,LSTM,128 layers,0.5761316872427984,0.9765625,0.5555555555555556,0.7082152974504249,0.13043478260869565,0.8333333333333334,0.22556390977443608,0.07
2,LSTM,64 layers,0.5534979423868313,0.9874476987447699,0.5244444444444445,0.6850507982583456,0.13360323886639677,0.9166666666666666,0.23321554770318023,0.07
3,LSTM,32 layers,0.5308641975308642,0.9955357142857143,0.4955555555555556,0.6617210682492581,0.13358778625954199,0.9722222222222222,0.23489932885906042,0.07
4,CNN with Attention,"32 filters, kernel size 7",0.5823045267489712,0.9625468164794008,0.5711111111111111,0.7168758716875873,0.1187214611872146,0.7222222222222222,0.20392156862745098,0.07
5,CNN with Attention,"32 filters, kernel size 5",0.5720164609053497,0.9548872180451128,0.5644444444444444,0.7094972067039106,0.10909090909090909,0.6666666666666666,0.1875,0.07
6,CNN with Attention,"32 filters, kernel size 3",0.6481481481481481,0.9634551495016611,0.6444444444444445,0.7723035952063915,0.13513513513513514,0.6944444444444444,0.22624434389140274,0.07
7,CNN with Attention,"64 filters, kernel size 7",0.8580246913580247,0.9727047146401985,0.8711111111111111,0.9191090269636577,0.30120481927710846,0.6944444444444444,0.4201680672268908,0.07
8,CNN with Attention,"64 filters, kernel size 5",0.6975308641975309,0.9469026548672567,0.7133333333333334,0.8136882129277567,0.12244897959183673,0.5,0.19672131147540983,0.07
9,CNN with Attention,"64 filters, kernel size 3",0.8518518518518519,0.9478672985781991,0.8888888888888888,0.9174311926605504,0.21875,0.3888888888888889,0.28,0.07
10,CNN with Attention,"128 filters, kernel size 7",0.6316872427983539,0.9195046439628483,0.66,0.7684346701164294,0.06134969325153374,0.2777777777777778,0.10050251256281408,0.07
11,CNN with Attention,"128 filters, kernel size 5",0.5925925925925926,0.9375,0.6,0.7317073170731707,0.09090909090909091,0.5,0.15384615384615385,0.07
12,CNN with Attention,"128 filters, kernel size 3",0.7160493827160493,0.9588235294117647,0.7244444444444444,0.8253164556962025,0.1506849315068493,0.6111111111111112,0.2417582417582418,0.07
13,CNN with Attention,"256 filters, kernel size 7",0.5946502057613169,0.96,0.5866666666666667,0.7282758620689656,0.11848341232227488,0.6944444444444444,0.20242914979757085,0.07
14,CNN with Attention,"256 filters, kernel size 5",0.602880658436214,0.9326599326599326,0.6155555555555555,0.7416331994645248,0.08465608465608465,0.4444444444444444,0.1422222222222222,0.07
15,CNN with Attention,"256 filters, kernel size 3",0.691358024691358,0.9658385093167702,0.6911111111111111,0.805699481865285,0.1524390243902439,0.6944444444444444,0.25,0.07
16,RNN,256 units,0.9176954732510288,0.9324894514767933,0.9822222222222222,0.9567099567099567,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.07
17,RNN,128 units,0.7777777777777778,0.95,0.8022222222222222,0.8698795180722891,0.16037735849056603,0.4722222222222222,0.23943661971830985,0.07
18,RNN,64 units,0.9094650205761317,0.947136563876652,0.9555555555555556,0.9513274336283186,0.375,0.3333333333333333,0.35294117647058826,0.07
19,RNN,32 units,0.588477366255144,0.9770992366412213,0.5688888888888889,0.7191011235955055,0.13392857142857142,0.8333333333333334,0.23076923076923078,0.07
20,CNN,"32 filters, kernel size 7",0.5699588477366255,0.9413919413919414,0.5711111111111111,0.7109266943291839,0.09389671361502347,0.5555555555555556,0.16064257028112447,0.07
21,CNN,"32 filters, kernel size 5",0.6502057613168725,0.9545454545454546,0.6533333333333333,0.7757255936675462,0.12359550561797752,0.6111111111111112,0.205607476635514,0.07
22,CNN,"32 filters, kernel size 3",0.6440329218106996,0.9663299663299664,0.6377777777777778,0.7684069611780455,0.13756613756613756,0.7222222222222222,0.2311111111111111,0.07
23,CNN,"64 filters, kernel size 7",0.551440329218107,0.9496124031007752,0.5444444444444444,0.6920903954802259,0.10087719298245613,0.6388888888888888,0.17424242424242423,0.07
24,CNN,"64 filters, kernel size 5",0.5761316872427984,0.9586466165413534,0.5666666666666667,0.7122905027932961,0.11363636363636363,0.6944444444444444,0.1953125,0.07
25,CNN,"64 filters, kernel size 3",0.7263374485596708,0.9703264094955489,0.7266666666666667,0.8310038119440915,0.174496644295302,0.7222222222222222,0.2810810810810811,0.07
26,CNN,"128 filters, kernel size 7",0.5802469135802469,0.9555555555555556,0.5733333333333334,0.7166666666666667,0.1111111111111111,0.6666666666666666,0.1904761904761905,0.07
27,CNN,"128 filters, kernel size 5",0.6069958847736625,0.9575971731448764,0.6022222222222222,0.7394270122783083,0.11822660098522167,0.6666666666666666,0.200836820083682,0.07
28,CNN,"128 filters, kernel size 3",0.6399176954732511,0.9568106312292359,0.64,0.766977363515313,0.12432432432432433,0.6388888888888888,0.2081447963800905,0.07
29,CNN,"256 filters, kernel size 7",0.565843621399177,0.9509433962264151,0.56,0.7048951048951049,0.10407239819004525,0.6388888888888888,0.17898832684824906,0.07
30,CNN,"256 filters, kernel size 5",0.6152263374485597,0.9518900343642611,0.6155555555555555,0.747638326585695,0.11282051282051282,0.6111111111111112,0.19047619047619047,0.07
31,CNN,"256 filters, kernel size 3",0.6707818930041153,0.9420731707317073,0.6866666666666666,0.794344473007712,0.10759493670886076,0.4722222222222222,0.17525773195876287,0.07
