,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
1,LSTM,128 layers,0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
2,LSTM,64 layers,0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
3,LSTM,32 layers,0.9382716049382716,0.9421487603305785,0.9956331877729258,0.9681528662420381,0.0,0.0,0.0,0.06
4,CNN with Attention,"32 filters, kernel size 7",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
5,CNN with Attention,"32 filters, kernel size 5",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
6,CNN with Attention,"32 filters, kernel size 3",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
7,CNN with Attention,"64 filters, kernel size 7",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
8,CNN with Attention,"64 filters, kernel size 5",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
9,CNN with Attention,"64 filters, kernel size 3",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
10,CNN with Attention,"128 filters, kernel size 7",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
11,CNN with Attention,"128 filters, kernel size 5",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
12,CNN with Attention,"128 filters, kernel size 3",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
13,CNN with Attention,"256 filters, kernel size 7",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
14,CNN with Attention,"256 filters, kernel size 5",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
15,CNN with Attention,"256 filters, kernel size 3",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
16,RNN,256 units,0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
17,RNN,128 units,0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
18,RNN,64 units,0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
19,RNN,32 units,0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
20,CNN,"32 filters, kernel size 7",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
21,CNN,"32 filters, kernel size 5",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
22,CNN,"32 filters, kernel size 3",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
23,CNN,"64 filters, kernel size 7",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
24,CNN,"64 filters, kernel size 5",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
25,CNN,"64 filters, kernel size 3",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
26,CNN,"128 filters, kernel size 7",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
27,CNN,"128 filters, kernel size 5",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
28,CNN,"128 filters, kernel size 3",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
29,CNN,"256 filters, kernel size 7",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
30,CNN,"256 filters, kernel size 5",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
31,CNN,"256 filters, kernel size 3",0.9423868312757202,0.9423868312757202,1.0,0.9703389830508474,0.0,0.0,0.0,0.06
