,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.4726890756302521,0.9690721649484536,0.4341801385681293,0.5996810207336523,0.13120567375886524,0.8604651162790697,0.2276923076923077,0.09
1,LSTM,128 layers,0.4096638655462185,0.9634146341463414,0.3648960739030023,0.5293132328308209,0.11858974358974358,0.8604651162790697,0.2084507042253521,0.09
2,LSTM,64 layers,0.8697478991596639,0.9059080962800875,0.9561200923787528,0.9303370786516854,0.0,0.0,0.0,0.09
3,LSTM,32 layers,0.4726890756302521,0.9690721649484536,0.4341801385681293,0.5996810207336523,0.13120567375886524,0.8604651162790697,0.2276923076923077,0.09
4,CNN with Attention,"32 filters, kernel size 7",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
5,CNN with Attention,"32 filters, kernel size 5",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
6,CNN with Attention,"32 filters, kernel size 3",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
7,CNN with Attention,"64 filters, kernel size 7",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
8,CNN with Attention,"64 filters, kernel size 5",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
9,CNN with Attention,"64 filters, kernel size 3",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
10,CNN with Attention,"128 filters, kernel size 7",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
11,CNN with Attention,"128 filters, kernel size 5",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
12,CNN with Attention,"128 filters, kernel size 3",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
13,CNN with Attention,"256 filters, kernel size 7",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
14,CNN with Attention,"256 filters, kernel size 5",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
15,CNN with Attention,"256 filters, kernel size 3",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
16,RNN,256 units,0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
17,RNN,128 units,0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
18,RNN,64 units,0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
19,RNN,32 units,0.680672268907563,0.9546925566343042,0.6812933025404158,0.7951482479784366,0.17365269461077845,0.6744186046511628,0.27619047619047615,0.09
20,CNN,"32 filters, kernel size 7",0.9117647058823529,0.9150743099787686,0.9953810623556582,0.9535398230088495,0.6,0.06976744186046512,0.125,0.09
21,CNN,"32 filters, kernel size 5",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
22,CNN,"32 filters, kernel size 3",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
23,CNN,"64 filters, kernel size 7",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
24,CNN,"64 filters, kernel size 5",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
25,CNN,"64 filters, kernel size 3",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
26,CNN,"128 filters, kernel size 7",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
27,CNN,"128 filters, kernel size 5",0.907563025210084,0.9094736842105263,0.9976905311778291,0.9515418502202644,0.0,0.0,0.0,0.09
28,CNN,"128 filters, kernel size 3",0.8970588235294118,0.9085106382978724,0.9861431870669746,0.945736434108527,0.0,0.0,0.0,0.09
29,CNN,"256 filters, kernel size 7",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
30,CNN,"256 filters, kernel size 5",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
31,CNN,"256 filters, kernel size 3",0.9096638655462185,0.9096638655462185,1.0,0.9526952695269527,0.0,0.0,0.0,0.09
