,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9320175438596491,0.9324324324324325,0.9975903614457832,0.9639115250291036,0.9166666666666666,0.2682926829268293,0.4150943396226415,0.09
1,LSTM,128 layers,0.9320175438596491,0.98,0.944578313253012,0.9619631901840491,0.5892857142857143,0.8048780487804879,0.6804123711340206,0.09
2,LSTM,64 layers,0.9166666666666666,0.9235955056179775,0.9903614457831326,0.9558139534883722,0.6363636363636364,0.17073170731707318,0.2692307692307692,0.09
3,LSTM,32 layers,0.9166666666666666,0.9498806682577565,0.9590361445783132,0.9544364508393285,0.5405405405405406,0.4878048780487805,0.5128205128205128,0.09
4,CNN with Attention,"32 filters, kernel size 7",0.9013157894736842,0.918552036199095,0.9783132530120482,0.9474912485414236,0.35714285714285715,0.12195121951219512,0.18181818181818182,0.09
5,CNN with Attention,"32 filters, kernel size 5",0.9057017543859649,0.918918918918919,0.983132530120482,0.9499417927823051,0.4166666666666667,0.12195121951219512,0.18867924528301888,0.09
6,CNN with Attention,"32 filters, kernel size 3",0.9057017543859649,0.9170403587443946,0.9855421686746988,0.9500580720092915,0.4,0.0975609756097561,0.15686274509803924,0.09
7,CNN with Attention,"64 filters, kernel size 7",0.9078947368421053,0.9153674832962138,0.9903614457831326,0.951388888888889,0.42857142857142855,0.07317073170731707,0.125,0.09
8,CNN with Attention,"64 filters, kernel size 5",0.8969298245614035,0.9144144144144144,0.9783132530120482,0.9452852153667054,0.25,0.07317073170731707,0.11320754716981131,0.09
9,CNN with Attention,"64 filters, kernel size 3",0.9100877192982456,0.9100877192982456,1.0,0.9529276693455797,0.0,0.0,0.0,0.09
10,CNN with Attention,"128 filters, kernel size 7",0.9144736842105263,0.915929203539823,0.9975903614457832,0.9550173010380623,0.75,0.07317073170731707,0.13333333333333333,0.09
11,CNN with Attention,"128 filters, kernel size 5",0.9144736842105263,0.915929203539823,0.9975903614457832,0.9550173010380623,0.75,0.07317073170731707,0.13333333333333333,0.09
12,CNN with Attention,"128 filters, kernel size 3",0.9100877192982456,0.9100877192982456,1.0,0.9529276693455797,0.0,0.0,0.0,0.09
13,CNN with Attention,"256 filters, kernel size 7",0.9100877192982456,0.9100877192982456,1.0,0.9529276693455797,0.0,0.0,0.0,0.09
14,CNN with Attention,"256 filters, kernel size 5",0.9100877192982456,0.9100877192982456,1.0,0.9529276693455797,0.0,0.0,0.0,0.09
15,CNN with Attention,"256 filters, kernel size 3",0.9013157894736842,0.9147982062780269,0.983132530120482,0.9477351916376306,0.3,0.07317073170731707,0.11764705882352941,0.09
16,RNN,256 units,0.9364035087719298,0.9684466019417476,0.9614457831325302,0.9649334945586457,0.6363636363636364,0.6829268292682927,0.6588235294117647,0.09
17,RNN,128 units,0.9254385964912281,0.9242761692650334,1.0,0.9606481481481481,1.0,0.17073170731707318,0.2916666666666667,0.09
18,RNN,64 units,0.9144736842105263,0.9140969162995595,1.0,0.95512082853855,1.0,0.04878048780487805,0.09302325581395349,0.09
19,RNN,32 units,0.9232456140350878,0.9589371980676329,0.9566265060240964,0.9577804583835947,0.5714285714285714,0.5853658536585366,0.5783132530120483,0.09
20,CNN,"32 filters, kernel size 7",0.9057017543859649,0.9170403587443946,0.9855421686746988,0.9500580720092915,0.4,0.0975609756097561,0.15686274509803924,0.09
21,CNN,"32 filters, kernel size 5",0.8969298245614035,0.9181818181818182,0.9734939759036144,0.9450292397660819,0.3125,0.12195121951219512,0.17543859649122806,0.09
22,CNN,"32 filters, kernel size 3",0.9100877192982456,0.9100877192982456,1.0,0.9529276693455797,0.0,0.0,0.0,0.09
23,CNN,"64 filters, kernel size 7",0.9122807017543859,0.9157427937915743,0.9951807228915662,0.9538106235565819,0.6,0.07317073170731707,0.13043478260869565,0.09
24,CNN,"64 filters, kernel size 5",0.9166666666666666,0.9161147902869757,1.0,0.956221198156682,1.0,0.07317073170731707,0.13636363636363635,0.09
25,CNN,"64 filters, kernel size 3",0.918859649122807,0.918141592920354,1.0,0.9573241061130334,1.0,0.0975609756097561,0.17777777777777776,0.09
26,CNN,"128 filters, kernel size 7",0.9144736842105263,0.9140969162995595,1.0,0.95512082853855,1.0,0.04878048780487805,0.09302325581395349,0.09
27,CNN,"128 filters, kernel size 5",0.9078947368421053,0.9153674832962138,0.9903614457831326,0.951388888888889,0.42857142857142855,0.07317073170731707,0.125,0.09
28,CNN,"128 filters, kernel size 3",0.9078947368421053,0.9172259507829977,0.9879518072289156,0.951276102088167,0.4444444444444444,0.0975609756097561,0.16,0.09
29,CNN,"256 filters, kernel size 7",0.9100877192982456,0.9100877192982456,1.0,0.9529276693455797,0.0,0.0,0.0,0.09
30,CNN,"256 filters, kernel size 5",0.9100877192982456,0.9100877192982456,1.0,0.9529276693455797,0.0,0.0,0.0,0.09
31,CNN,"256 filters, kernel size 3",0.9122807017543859,0.9175946547884187,0.9927710843373494,0.9537037037037036,0.5714285714285714,0.0975609756097561,0.16666666666666669,0.09
