,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.5042918454935622,0.896,0.5221445221445221,0.6597938144329897,0.05092592592592592,0.2972972972972973,0.08695652173913043,0.08
1,LSTM,128 layers,0.7296137339055794,0.9083557951482479,0.7855477855477856,0.8424999999999999,0.031578947368421054,0.08108108108108109,0.045454545454545456,0.08
2,LSTM,64 layers,0.5708154506437768,0.8961937716262975,0.6037296037296037,0.7214484679665737,0.03954802259887006,0.1891891891891892,0.06542056074766356,0.08
3,LSTM,32 layers,0.6266094420600858,0.9073482428115016,0.662004662004662,0.7654986522911051,0.05228758169934641,0.21621621621621623,0.08421052631578949,0.08
4,CNN with Attention,"32 filters, kernel size 7",0.3798283261802575,0.8571428571428571,0.3916083916083916,0.5376000000000001,0.03333333333333333,0.24324324324324326,0.05863192182410424,0.08
5,CNN with Attention,"32 filters, kernel size 5",0.37124463519313305,0.8695652173913043,0.372960372960373,0.5220228384991843,0.04609929078014184,0.35135135135135137,0.08150470219435736,0.08
6,CNN with Attention,"32 filters, kernel size 3",0.38197424892703863,0.8691099476439791,0.38694638694638694,0.5354838709677419,0.04363636363636364,0.32432432432432434,0.07692307692307693,0.08
7,CNN with Attention,"64 filters, kernel size 7",0.4206008583690987,0.8663594470046083,0.4382284382284382,0.5820433436532507,0.0321285140562249,0.21621621621621623,0.05594405594405594,0.08
8,CNN with Attention,"64 filters, kernel size 5",0.33476394849785407,0.8695652173913043,0.32634032634032634,0.4745762711864407,0.05245901639344262,0.43243243243243246,0.0935672514619883,0.08
9,CNN with Attention,"64 filters, kernel size 3",0.3648068669527897,0.8556149732620321,0.372960372960373,0.5194805194805194,0.035842293906810034,0.2702702702702703,0.06329113924050632,0.08
10,CNN with Attention,"128 filters, kernel size 7",0.3218884120171674,0.8466257668711656,0.32167832167832167,0.4662162162162162,0.039603960396039604,0.32432432432432434,0.07058823529411766,0.08
11,CNN with Attention,"128 filters, kernel size 5",0.33905579399141633,0.8538011695906432,0.34032634032634035,0.48666666666666664,0.04067796610169491,0.32432432432432434,0.07228915662650602,0.08
12,CNN with Attention,"128 filters, kernel size 3",0.3369098712446352,0.8571428571428571,0.3356643356643357,0.48241206030150746,0.0436241610738255,0.35135135135135137,0.07761194029850746,0.08
13,CNN with Attention,"256 filters, kernel size 7",0.30686695278969955,0.8581081081081081,0.29603729603729606,0.44020797227036396,0.050314465408805034,0.43243243243243246,0.09014084507042255,0.08
14,CNN with Attention,"256 filters, kernel size 5",0.26609442060085836,0.8536585365853658,0.24475524475524477,0.38043478260869573,0.05539358600583091,0.5135135135135135,0.1,0.08
15,CNN with Attention,"256 filters, kernel size 3",0.2982832618025751,0.8805970149253731,0.27505827505827507,0.41918294849023097,0.06325301204819277,0.5675675675675675,0.11382113821138211,0.08
16,RNN,256 units,0.5643776824034334,0.900709219858156,0.5920745920745921,0.7144866385372716,0.04891304347826087,0.24324324324324326,0.08144796380090498,0.08
17,RNN,128 units,0.4592274678111588,0.8672199170124482,0.48717948717948717,0.6238805970149254,0.022222222222222223,0.13513513513513514,0.03816793893129771,0.08
18,RNN,64 units,0.33047210300429186,0.8545454545454545,0.32867132867132864,0.4747474747474747,0.04318936877076412,0.35135135135135137,0.07692307692307691,0.08
19,RNN,32 units,0.351931330472103,0.8628571428571429,0.351981351981352,0.5,0.044673539518900345,0.35135135135135137,0.07926829268292682,0.08
20,CNN,"32 filters, kernel size 7",0.34120171673819744,0.8630952380952381,0.337995337995338,0.4857621440536013,0.04697986577181208,0.3783783783783784,0.08358208955223882,0.08
21,CNN,"32 filters, kernel size 5",0.2918454935622318,0.896,0.26107226107226106,0.4043321299638989,0.07038123167155426,0.6486486486486487,0.12698412698412698,0.08
22,CNN,"32 filters, kernel size 3",0.27896995708154504,0.872,0.2540792540792541,0.3935018050541516,0.06158357771260997,0.5675675675675675,0.11111111111111113,0.08
23,CNN,"64 filters, kernel size 7",0.34763948497854075,0.861271676300578,0.3473193473193473,0.4950166112956811,0.04436860068259386,0.35135135135135137,0.0787878787878788,0.08
24,CNN,"64 filters, kernel size 5",0.3648068669527897,0.884393063583815,0.35664335664335667,0.5083056478405316,0.05802047781569966,0.4594594594594595,0.10303030303030303,0.08
25,CNN,"64 filters, kernel size 3",0.30472103004291845,0.8947368421052632,0.2773892773892774,0.4234875444839858,0.06906906906906907,0.6216216216216216,0.12432432432432432,0.08
26,CNN,"128 filters, kernel size 7",0.3540772532188841,0.8516483516483516,0.3613053613053613,0.5073649754500819,0.035211267605633804,0.2702702702702703,0.06230529595015576,0.08
27,CNN,"128 filters, kernel size 5",0.3240343347639485,0.88,0.3076923076923077,0.4559585492227979,0.060126582278481014,0.5135135135135135,0.1076487252124646,0.08
28,CNN,"128 filters, kernel size 3",0.351931330472103,0.8848484848484849,0.34032634032634035,0.49158249158249157,0.059800664451827246,0.4864864864864865,0.10650887573964497,0.08
29,CNN,"256 filters, kernel size 7",0.3648068669527897,0.8518518518518519,0.3752913752913753,0.5210355987055016,0.032490974729241874,0.24324324324324326,0.0573248407643312,0.08
30,CNN,"256 filters, kernel size 5",0.34334763948497854,0.8867924528301887,0.32867132867132864,0.47959183673469385,0.06188925081433225,0.5135135135135135,0.11046511627906977,0.08
31,CNN,"256 filters, kernel size 3",0.34763948497854075,0.8980891719745223,0.32867132867132864,0.48122866894197946,0.06796116504854369,0.5675675675675675,0.12138728323699423,0.08
