,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.5472103004291845,0.9689922480620154,0.5518763796909493,0.7032348804500702,0.02403846153846154,0.38461538461538464,0.04524886877828054,0.03
1,LSTM,128 layers,0.4699570815450644,0.963963963963964,0.47240618101545256,0.634074074074074,0.020491803278688523,0.38461538461538464,0.03891050583657587,0.03
2,LSTM,64 layers,0.44420600858369097,0.9575471698113207,0.4481236203090508,0.6105263157894737,0.015748031496062992,0.3076923076923077,0.0299625468164794,0.03
3,LSTM,32 layers,0.48068669527896996,0.9451476793248945,0.49448123620309054,0.6492753623188405,0.0,0.0,0.0,0.03
4,CNN with Attention,"32 filters, kernel size 7",0.5364806866952789,0.9505703422053232,0.5518763796909493,0.6983240223463688,0.0,0.0,0.0,0.03
5,CNN with Attention,"32 filters, kernel size 5",0.5128755364806867,0.9484126984126984,0.5275938189845475,0.6780141843971631,0.0,0.0,0.0,0.03
6,CNN with Attention,"32 filters, kernel size 3",0.5429184549356223,0.9511278195488722,0.5584988962472406,0.7037552155771906,0.0,0.0,0.0,0.03
7,CNN with Attention,"64 filters, kernel size 7",0.5257510729613734,0.9496124031007752,0.5408388520971302,0.6891701828410688,0.0,0.0,0.0,0.03
8,CNN with Attention,"64 filters, kernel size 5",0.5429184549356223,0.9511278195488722,0.5584988962472406,0.7037552155771906,0.0,0.0,0.0,0.03
9,CNN with Attention,"64 filters, kernel size 3",0.5429184549356223,0.9511278195488722,0.5584988962472406,0.7037552155771906,0.0,0.0,0.0,0.03
10,CNN with Attention,"128 filters, kernel size 7",0.5386266094420601,0.9507575757575758,0.5540838852097131,0.700139470013947,0.0,0.0,0.0,0.03
11,CNN with Attention,"128 filters, kernel size 5",0.5386266094420601,0.9507575757575758,0.5540838852097131,0.700139470013947,0.0,0.0,0.0,0.03
12,CNN with Attention,"128 filters, kernel size 3",0.5364806866952789,0.9505703422053232,0.5518763796909493,0.6983240223463688,0.0,0.0,0.0,0.03
13,CNN with Attention,"256 filters, kernel size 7",0.5300429184549357,0.95,0.5452538631346578,0.6928471248246844,0.0,0.0,0.0,0.03
14,CNN with Attention,"256 filters, kernel size 5",0.5364806866952789,0.9505703422053232,0.5518763796909493,0.6983240223463688,0.0,0.0,0.0,0.03
15,CNN with Attention,"256 filters, kernel size 3",0.5429184549356223,0.9511278195488722,0.5584988962472406,0.7037552155771906,0.0,0.0,0.0,0.03
16,RNN,256 units,0.555793991416309,0.9522058823529411,0.5717439293598234,0.7144827586206898,0.0,0.0,0.0,0.03
17,RNN,128 units,0.575107296137339,0.9636363636363636,0.5849889624724062,0.7280219780219781,0.015706806282722512,0.23076923076923078,0.029411764705882353,0.03
18,RNN,64 units,0.5278969957081545,0.9568627450980393,0.5386313465783664,0.6892655367231638,0.009478672985781991,0.15384615384615385,0.01785714285714286,0.03
19,RNN,32 units,0.5321888412017167,0.9501915708812261,0.5474613686534217,0.6946778711484595,0.0,0.0,0.0,0.03
20,CNN,"32 filters, kernel size 7",0.5085836909871244,0.948,0.5231788079470199,0.6742532005689901,0.0,0.0,0.0,0.03
21,CNN,"32 filters, kernel size 5",0.5257510729613734,0.9496124031007752,0.5408388520971302,0.6891701828410688,0.0,0.0,0.0,0.03
22,CNN,"32 filters, kernel size 3",0.5386266094420601,0.9507575757575758,0.5540838852097131,0.700139470013947,0.0,0.0,0.0,0.03
23,CNN,"64 filters, kernel size 7",0.5257510729613734,0.9496124031007752,0.5408388520971302,0.6891701828410688,0.0,0.0,0.0,0.03
24,CNN,"64 filters, kernel size 5",0.5214592274678111,0.94921875,0.5364238410596026,0.685472496473907,0.0,0.0,0.0,0.03
25,CNN,"64 filters, kernel size 3",0.5364806866952789,0.9505703422053232,0.5518763796909493,0.6983240223463688,0.0,0.0,0.0,0.03
26,CNN,"128 filters, kernel size 7",0.5321888412017167,0.9501915708812261,0.5474613686534217,0.6946778711484595,0.0,0.0,0.0,0.03
27,CNN,"128 filters, kernel size 5",0.5386266094420601,0.9507575757575758,0.5540838852097131,0.700139470013947,0.0,0.0,0.0,0.03
28,CNN,"128 filters, kernel size 3",0.5429184549356223,0.9511278195488722,0.5584988962472406,0.7037552155771906,0.0,0.0,0.0,0.03
29,CNN,"256 filters, kernel size 7",0.5429184549356223,0.9511278195488722,0.5584988962472406,0.7037552155771906,0.0,0.0,0.0,0.03
30,CNN,"256 filters, kernel size 5",0.5364806866952789,0.9505703422053232,0.5518763796909493,0.6983240223463688,0.0,0.0,0.0,0.03
31,CNN,"256 filters, kernel size 3",0.5429184549356223,0.9511278195488722,0.5584988962472406,0.7037552155771906,0.0,0.0,0.0,0.03
