,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
1,LSTM,128 layers,0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
2,LSTM,64 layers,0.9742489270386266,0.9847161572052402,0.9890350877192983,0.986870897155361,0.375,0.3,0.33333333333333326,0.02
3,LSTM,32 layers,0.9699570815450643,0.9783549783549783,0.9912280701754386,0.9847494553376906,0.0,0.0,0.0,0.02
4,CNN with Attention,"32 filters, kernel size 7",0.9763948497854077,0.978494623655914,0.9978070175438597,0.9880564603691641,0.0,0.0,0.0,0.02
5,CNN with Attention,"32 filters, kernel size 5",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
6,CNN with Attention,"32 filters, kernel size 3",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
7,CNN with Attention,"64 filters, kernel size 7",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
8,CNN with Attention,"64 filters, kernel size 5",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
9,CNN with Attention,"64 filters, kernel size 3",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
10,CNN with Attention,"128 filters, kernel size 7",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
11,CNN with Attention,"128 filters, kernel size 5",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
12,CNN with Attention,"128 filters, kernel size 3",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
13,CNN with Attention,"256 filters, kernel size 7",0.9742489270386266,0.978448275862069,0.9956140350877193,0.9869565217391305,0.0,0.0,0.0,0.02
14,CNN with Attention,"256 filters, kernel size 5",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
15,CNN with Attention,"256 filters, kernel size 3",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
16,RNN,256 units,0.9763948497854077,0.9847494553376906,0.9912280701754386,0.9879781420765027,0.42857142857142855,0.3,0.3529411764705882,0.02
17,RNN,128 units,0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
18,RNN,64 units,0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
19,RNN,32 units,0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
20,CNN,"32 filters, kernel size 7",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
21,CNN,"32 filters, kernel size 5",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
22,CNN,"32 filters, kernel size 3",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
23,CNN,"64 filters, kernel size 7",0.9721030042918455,0.978401727861771,0.993421052631579,0.9858541893362351,0.0,0.0,0.0,0.02
24,CNN,"64 filters, kernel size 5",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
25,CNN,"64 filters, kernel size 3",0.9763948497854077,0.978494623655914,0.9978070175438597,0.9880564603691641,0.0,0.0,0.0,0.02
26,CNN,"128 filters, kernel size 7",0.9699570815450643,0.9783549783549783,0.9912280701754386,0.9847494553376906,0.0,0.0,0.0,0.02
27,CNN,"128 filters, kernel size 5",0.9742489270386266,0.978448275862069,0.9956140350877193,0.9869565217391305,0.0,0.0,0.0,0.02
28,CNN,"128 filters, kernel size 3",0.9763948497854077,0.978494623655914,0.9978070175438597,0.9880564603691641,0.0,0.0,0.0,0.02
29,CNN,"256 filters, kernel size 7",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
30,CNN,"256 filters, kernel size 5",0.9763948497854077,0.978494623655914,0.9978070175438597,0.9880564603691641,0.0,0.0,0.0,0.02
31,CNN,"256 filters, kernel size 3",0.9785407725321889,0.9785407725321889,1.0,0.9891540130151844,0.0,0.0,0.0,0.02
