,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9377682403433476,0.9776286353467561,0.9583333333333334,0.9678848283499447,0.0,0.0,0.0,0.02
1,LSTM,128 layers,0.9570815450643777,0.9780701754385965,0.9780701754385965,0.9780701754385965,0.0,0.0,0.0,0.02
2,LSTM,64 layers,0.9613733905579399,0.9781659388646288,0.9824561403508771,0.9803063457330414,0.0,0.0,0.0,0.02
3,LSTM,32 layers,0.776824034334764,0.9782608695652174,0.7894736842105263,0.8737864077669902,0.02040816326530612,0.2,0.03703703703703703,0.02
4,CNN with Attention,"32 filters, kernel size 7",0.9313304721030042,0.9796380090497737,0.9495614035087719,0.9643652561247216,0.041666666666666664,0.1,0.058823529411764705,0.02
5,CNN with Attention,"32 filters, kernel size 5",0.9291845493562232,0.9774266365688488,0.9495614035087719,0.9632925472747497,0.0,0.0,0.0,0.02
6,CNN with Attention,"32 filters, kernel size 3",0.8969957081545065,0.9811320754716981,0.9122807017543859,0.9454545454545454,0.047619047619047616,0.2,0.07692307692307693,0.02
7,CNN with Attention,"64 filters, kernel size 7",0.9184549356223176,0.9815668202764977,0.9342105263157895,0.9573033707865168,0.0625,0.2,0.09523809523809523,0.02
8,CNN with Attention,"64 filters, kernel size 5",0.9184549356223176,0.9793577981651376,0.9364035087719298,0.9573991031390134,0.03333333333333333,0.1,0.05,0.02
9,CNN with Attention,"64 filters, kernel size 3",0.8862660944206009,0.9786223277909739,0.9035087719298246,0.9395667046750285,0.022222222222222223,0.1,0.03636363636363636,0.02
10,CNN with Attention,"128 filters, kernel size 7",0.9034334763948498,0.9790209790209791,0.9210526315789473,0.9491525423728813,0.02702702702702703,0.1,0.0425531914893617,0.02
11,CNN with Attention,"128 filters, kernel size 5",0.9012875536480687,0.9789719626168224,0.918859649122807,0.9479638009049773,0.02631578947368421,0.1,0.041666666666666664,0.02
12,CNN with Attention,"128 filters, kernel size 3",0.8111587982832618,0.9842105263157894,0.8201754385964912,0.8947368421052632,0.046511627906976744,0.4,0.08333333333333333,0.02
13,CNN with Attention,"256 filters, kernel size 7",0.8905579399141631,0.9787234042553191,0.9078947368421053,0.9419795221843004,0.023255813953488372,0.1,0.03773584905660377,0.02
14,CNN with Attention,"256 filters, kernel size 5",0.9055793991416309,0.9790697674418605,0.9232456140350878,0.9503386004514673,0.027777777777777776,0.1,0.04347826086956522,0.02
15,CNN with Attention,"256 filters, kernel size 3",0.8927038626609443,0.981042654028436,0.9078947368421053,0.9430523917995445,0.045454545454545456,0.2,0.07407407407407407,0.02
16,RNN,256 units,0.9506437768240343,0.977924944812362,0.9714912280701754,0.9746974697469747,0.0,0.0,0.0,0.02
17,RNN,128 units,0.9656652360515021,0.9782608695652174,0.9868421052631579,0.982532751091703,0.0,0.0,0.0,0.02
18,RNN,64 units,0.7296137339055794,0.976878612716763,0.7412280701754386,0.8428927680798004,0.016666666666666666,0.2,0.03076923076923077,0.02
19,RNN,32 units,0.9721030042918455,0.978401727861771,0.993421052631579,0.9858541893362351,0.0,0.0,0.0,0.02
20,CNN,"32 filters, kernel size 7",0.924892703862661,0.979498861047836,0.9429824561403509,0.9608938547486034,0.037037037037037035,0.1,0.05405405405405406,0.02
21,CNN,"32 filters, kernel size 5",0.8111587982832618,0.9791666666666666,0.8245614035087719,0.8952380952380952,0.024390243902439025,0.2,0.04347826086956522,0.02
22,CNN,"32 filters, kernel size 3",0.8497854077253219,0.9800995024875622,0.8640350877192983,0.9184149184149184,0.03125,0.2,0.05405405405405406,0.02
23,CNN,"64 filters, kernel size 7",0.9141630901287554,0.9792626728110599,0.9320175438596491,0.9550561797752809,0.03125,0.1,0.047619047619047616,0.02
24,CNN,"64 filters, kernel size 5",0.8862660944206009,0.9786223277909739,0.9035087719298246,0.9395667046750285,0.022222222222222223,0.1,0.03636363636363636,0.02
25,CNN,"64 filters, kernel size 3",0.871244635193133,0.9829268292682927,0.8837719298245614,0.930715935334873,0.05357142857142857,0.3,0.09090909090909091,0.02
26,CNN,"128 filters, kernel size 7",0.8969957081545065,0.9788732394366197,0.9144736842105263,0.945578231292517,0.025,0.1,0.04000000000000001,0.02
27,CNN,"128 filters, kernel size 5",0.924892703862661,0.979498861047836,0.9429824561403509,0.9608938547486034,0.037037037037037035,0.1,0.05405405405405406,0.02
28,CNN,"128 filters, kernel size 3",0.8948497854077253,0.9810874704491725,0.9100877192982456,0.9442548350398179,0.046511627906976744,0.2,0.07547169811320754,0.02
29,CNN,"256 filters, kernel size 7",0.924892703862661,0.979498861047836,0.9429824561403509,0.9608938547486034,0.037037037037037035,0.1,0.05405405405405406,0.02
30,CNN,"256 filters, kernel size 5",0.8798283261802575,0.9807692307692307,0.8947368421052632,0.9357798165137614,0.04,0.2,0.06666666666666667,0.02
31,CNN,"256 filters, kernel size 3",0.9141630901287554,0.9814814814814815,0.9298245614035088,0.954954954954955,0.058823529411764705,0.2,0.0909090909090909,0.02
