,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.4053497942386831,0.9556650246305419,0.4092827004219409,0.5731166912850812,0.01060070671378092,0.25,0.020338983050847456,0.02
1,LSTM,128 layers,0.37448559670781895,0.9521276595744681,0.37763713080168776,0.540785498489426,0.010067114093959731,0.25,0.01935483870967742,0.02
2,LSTM,64 layers,0.42386831275720166,0.9575471698113207,0.4282700421940928,0.5918367346938775,0.010948905109489052,0.25,0.02097902097902098,0.02
3,LSTM,32 layers,0.36419753086419754,0.9508196721311475,0.3670886075949367,0.5296803652968037,0.009900990099009901,0.25,0.019047619047619046,0.02
4,CNN with Attention,"32 filters, kernel size 7",0.3497942386831276,0.9488636363636364,0.35232067510548526,0.5138461538461538,0.00967741935483871,0.25,0.018633540372670808,0.02
5,CNN with Attention,"32 filters, kernel size 5",0.2777777777777778,0.9361702127659575,0.27848101265822783,0.4292682926829268,0.008695652173913044,0.25,0.01680672268907563,0.02
6,CNN with Attention,"32 filters, kernel size 3",0.30246913580246915,0.9411764705882353,0.3037974683544304,0.4593301435406698,0.009009009009009009,0.25,0.017391304347826087,0.02
7,CNN with Attention,"64 filters, kernel size 7",0.2757201646090535,0.9357142857142857,0.27637130801687765,0.4267100977198697,0.008670520231213872,0.25,0.016759776536312845,0.02
8,CNN with Attention,"64 filters, kernel size 5",0.31275720164609055,0.9430379746835443,0.3143459915611814,0.4715189873417722,0.009146341463414634,0.25,0.01764705882352941,0.02
9,CNN with Attention,"64 filters, kernel size 3",0.30864197530864196,0.9423076923076923,0.310126582278481,0.46666666666666656,0.00909090909090909,0.25,0.017543859649122806,0.02
10,CNN with Attention,"128 filters, kernel size 7",0.2736625514403292,0.935251798561151,0.2742616033755274,0.4241435562805872,0.008645533141210375,0.25,0.016713091922005572,0.02
11,CNN with Attention,"128 filters, kernel size 5",0.26954732510288065,0.9343065693430657,0.270042194092827,0.41898527004909975,0.008595988538681949,0.25,0.01662049861495845,0.02
12,CNN with Attention,"128 filters, kernel size 3",0.28600823045267487,0.9379310344827586,0.2869198312236287,0.4394184168012924,0.008797653958944282,0.25,0.0169971671388102,0.02
13,CNN with Attention,"256 filters, kernel size 7",0.29835390946502055,0.9403973509933775,0.29957805907172996,0.4544,0.008955223880597015,0.25,0.01729106628242075,0.02
14,CNN with Attention,"256 filters, kernel size 5",0.3004115226337449,0.9407894736842105,0.30168776371308015,0.4568690095846644,0.008982035928143712,0.25,0.017341040462427744,0.02
15,CNN with Attention,"256 filters, kernel size 3",0.294238683127572,0.9395973154362416,0.29535864978902954,0.449438202247191,0.008902077151335312,0.25,0.0171919770773639,0.02
16,RNN,256 units,0.360082304526749,0.9553072625698324,0.36075949367088606,0.5237366003062788,0.013029315960912053,0.3333333333333333,0.025078369905956115,0.02
17,RNN,128 units,0.33127572016460904,0.9570552147239264,0.3291139240506329,0.4897959183673469,0.015479876160990712,0.4166666666666667,0.029850746268656716,0.02
18,RNN,64 units,0.3868312757201646,0.9536082474226805,0.39029535864978904,0.5538922155688623,0.010273972602739725,0.25,0.019736842105263157,0.02
19,RNN,32 units,0.3333333333333333,0.9518072289156626,0.3333333333333333,0.4937499999999999,0.0125,0.3333333333333333,0.024096385542168676,0.02
20,CNN,"32 filters, kernel size 7",0.23045267489711935,0.9310344827586207,0.22784810126582278,0.3661016949152542,0.010810810810810811,0.3333333333333333,0.020942408376963352,0.02
21,CNN,"32 filters, kernel size 5",0.2613168724279835,0.9323308270676691,0.2616033755274262,0.4085667215815486,0.0084985835694051,0.25,0.016438356164383564,0.02
22,CNN,"32 filters, kernel size 3",0.24897119341563786,0.936,0.2468354430379747,0.39065108514190316,0.0110803324099723,0.3333333333333333,0.021447721179624665,0.02
23,CNN,"64 filters, kernel size 7",0.3065843621399177,0.9419354838709677,0.3080168776371308,0.4642289348171701,0.00906344410876133,0.25,0.017492711370262395,0.02
24,CNN,"64 filters, kernel size 5",0.29218106995884774,0.9391891891891891,0.29324894514767935,0.44694533762057886,0.008875739644970414,0.25,0.017142857142857144,0.02
25,CNN,"64 filters, kernel size 3",0.29218106995884774,0.9391891891891891,0.29324894514767935,0.44694533762057886,0.008875739644970414,0.25,0.017142857142857144,0.02
26,CNN,"128 filters, kernel size 7",0.294238683127572,0.9455782312925171,0.29324894514767935,0.44766505636070864,0.011799410029498525,0.3333333333333333,0.02279202279202279,0.02
27,CNN,"128 filters, kernel size 5",0.28189300411522633,0.9370629370629371,0.28270042194092826,0.4343598055105349,0.008746355685131196,0.25,0.016901408450704224,0.02
28,CNN,"128 filters, kernel size 3",0.33127572016460904,0.9461077844311377,0.3333333333333333,0.49297971918876754,0.009404388714733543,0.25,0.01812688821752266,0.02
29,CNN,"256 filters, kernel size 7",0.33539094650205764,0.9467455621301775,0.33755274261603374,0.4976671850699845,0.00946372239747634,0.25,0.0182370820668693,0.02
30,CNN,"256 filters, kernel size 5",0.3436213991769547,0.9479768786127167,0.3459915611814346,0.5069551777434311,0.009584664536741214,0.25,0.01846153846153846,0.02
31,CNN,"256 filters, kernel size 3",0.35802469135802467,0.95,0.36075949367088606,0.5229357798165137,0.00980392156862745,0.25,0.018867924528301886,0.02
