,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.4276315789473684,0.9601990049751243,0.4327354260089686,0.5965996908809891,0.00784313725490196,0.2,0.01509433962264151,0.02
1,LSTM,128 layers,0.37719298245614036,0.95,0.3834080717488789,0.5463258785942492,0.0036231884057971015,0.1,0.006993006993006993,0.02
2,LSTM,64 layers,0.22807017543859648,0.9519230769230769,0.2219730941704036,0.36,0.014204545454545454,0.5,0.027624309392265196,0.02
3,LSTM,32 layers,0.23903508771929824,0.9380530973451328,0.23766816143497757,0.37924865831842575,0.008746355685131196,0.3,0.0169971671388102,0.02
4,CNN with Attention,"32 filters, kernel size 7",0.25,0.9727272727272728,0.2399103139013453,0.38489208633093525,0.02023121387283237,0.7,0.03932584269662922,0.02
5,CNN with Attention,"32 filters, kernel size 5",0.27631578947368424,0.9833333333333333,0.2645739910313901,0.4169611307420495,0.023809523809523808,0.8,0.046242774566473986,0.02
6,CNN with Attention,"32 filters, kernel size 3",0.2324561403508772,0.9705882352941176,0.2219730941704036,0.3613138686131387,0.01977401129943503,0.7,0.038461538461538464,0.02
7,CNN with Attention,"64 filters, kernel size 7",0.23026315789473684,1.0,0.21300448430493274,0.3512014787430684,0.027700831024930747,1.0,0.05390835579514825,0.02
8,CNN with Attention,"64 filters, kernel size 5",0.25877192982456143,0.990909090909091,0.24439461883408073,0.39208633093525186,0.02601156069364162,0.9,0.050561797752808994,0.02
9,CNN with Attention,"64 filters, kernel size 3",0.2324561403508772,0.98,0.21973094170403587,0.358974358974359,0.02247191011235955,0.8,0.04371584699453552,0.02
10,CNN with Attention,"128 filters, kernel size 7",0.2324561403508772,0.9897959183673469,0.21748878923766815,0.35661764705882354,0.025139664804469275,0.9,0.04891304347826087,0.02
11,CNN with Attention,"128 filters, kernel size 5",0.2324561403508772,1.0,0.21524663677130046,0.3542435424354244,0.027777777777777776,1.0,0.05405405405405406,0.02
12,CNN with Attention,"128 filters, kernel size 3",0.23684210526315788,0.9803921568627451,0.2242152466367713,0.36496350364963503,0.022598870056497175,0.8,0.04395604395604395,0.02
13,CNN with Attention,"256 filters, kernel size 7",0.26096491228070173,0.9823008849557522,0.24887892376681614,0.39713774597495527,0.023323615160349854,0.8,0.04532577903682719,0.02
14,CNN with Attention,"256 filters, kernel size 5",0.24561403508771928,0.9636363636363636,0.23766816143497757,0.38129496402877694,0.017341040462427744,0.6,0.03370786516853932,0.02
15,CNN with Attention,"256 filters, kernel size 3",0.23903508771929824,0.9805825242718447,0.226457399103139,0.36794171220400734,0.0226628895184136,0.8,0.044077134986225903,0.02
16,RNN,256 units,0.43859649122807015,0.9702970297029703,0.43946188340807174,0.6049382716049383,0.015748031496062992,0.4,0.030303030303030304,0.02
17,RNN,128 units,0.36403508771929827,0.9875,0.3542600896860987,0.5214521452145214,0.02702702702702703,0.8,0.05228758169934641,0.02
18,RNN,64 units,0.24561403508771928,0.9396551724137931,0.24439461883408073,0.38790035587188615,0.008823529411764706,0.3,0.01714285714285714,0.02
19,RNN,32 units,0.10526315789473684,0.975,0.08744394618834081,0.16049382716049382,0.021634615384615384,0.9,0.04225352112676056,0.02
20,CNN,"32 filters, kernel size 7",0.14035087719298245,0.9655172413793104,0.12556053811659193,0.22222222222222224,0.020100502512562814,0.8,0.03921568627450981,0.02
21,CNN,"32 filters, kernel size 5",0.16447368421052633,0.9850746268656716,0.14798206278026907,0.2573099415204679,0.02313624678663239,0.9,0.04511278195488722,0.02
22,CNN,"32 filters, kernel size 3",0.1513157894736842,0.9836065573770492,0.13452914798206278,0.23668639053254437,0.02278481012658228,0.9,0.044444444444444446,0.02
23,CNN,"64 filters, kernel size 7",0.16447368421052633,0.9710144927536232,0.15022421524663676,0.2601941747572815,0.020671834625323,0.8,0.0403022670025189,0.02
24,CNN,"64 filters, kernel size 5",0.13157894736842105,0.9807692307692307,0.11434977578475336,0.20481927710843373,0.022277227722772276,0.9,0.043478260869565216,0.02
25,CNN,"64 filters, kernel size 3",0.14912280701754385,0.9833333333333333,0.13228699551569506,0.233201581027668,0.022727272727272728,0.9,0.04433497536945813,0.02
26,CNN,"128 filters, kernel size 7",0.16885964912280702,1.0,0.15022421524663676,0.26120857699805067,0.02570694087403599,1.0,0.05012531328320802,0.02
27,CNN,"128 filters, kernel size 5",0.12938596491228072,0.9803921568627451,0.11210762331838565,0.2012072434607646,0.022222222222222223,0.9,0.043373493975903614,0.02
28,CNN,"128 filters, kernel size 3",0.14692982456140352,0.9830508474576272,0.13004484304932734,0.2297029702970297,0.022670025188916875,0.9,0.044226044226044224,0.02
29,CNN,"256 filters, kernel size 7",0.17324561403508773,0.9859154929577465,0.15695067264573992,0.2707930367504836,0.023376623376623377,0.9,0.04556962025316456,0.02
30,CNN,"256 filters, kernel size 5",0.18859649122807018,0.9871794871794872,0.1726457399103139,0.2938931297709924,0.023809523809523808,0.9,0.04639175257731958,0.02
31,CNN,"256 filters, kernel size 3",0.16666666666666666,0.9852941176470589,0.15022421524663676,0.2607003891050584,0.023195876288659795,0.9,0.04522613065326633,0.02
