,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8975409836065574,0.9324324324324325,0.9539170506912442,0.9430523917995445,0.5454545454545454,0.4444444444444444,0.4897959183673469
1,LSTM,200 layers,0.9057377049180327,0.9409090909090909,0.9539170506912442,0.9473684210526316,0.5833333333333334,0.5185185185185185,0.5490196078431373
2,LSTM,100 layers,0.8729508196721312,0.9305555555555556,0.9262672811059908,0.928406466512702,0.42857142857142855,0.4444444444444444,0.43636363636363634
3,LSTM,50 layers,0.860655737704918,0.933649289099526,0.9078341013824884,0.9205607476635513,0.3939393939393939,0.48148148148148145,0.43333333333333324
4,CNN with Attention,"32 filters, kernel size 5",0.8770491803278688,0.9082969432314411,0.9585253456221198,0.9327354260089685,0.4,0.2222222222222222,0.2857142857142857
5,CNN with Attention,"64 filters, kernel size 5",0.860655737704918,0.9178082191780822,0.9262672811059908,0.9220183486238532,0.36,0.3333333333333333,0.34615384615384615
6,CNN with Attention,"128 filters, kernel size 5",0.8524590163934426,0.9022222222222223,0.9354838709677419,0.918552036199095,0.2631578947368421,0.18518518518518517,0.21739130434782608
7,CNN with Attention,"256 filters, kernel size 5",0.8770491803278688,0.9192825112107623,0.9447004608294931,0.9318181818181819,0.42857142857142855,0.3333333333333333,0.375
8,CNN with Attention,"64 filters, kernel size 3",0.8852459016393442,0.9090909090909091,0.967741935483871,0.9374999999999999,0.46153846153846156,0.2222222222222222,0.3
9,CNN with Attention,"128 filters, kernel size 3",0.8934426229508197,0.9134199134199135,0.9723502304147466,0.9419642857142857,0.5384615384615384,0.25925925925925924,0.35000000000000003
10,CNN with Attention,"256 filters, kernel size 3",0.8770491803278688,0.9118942731277533,0.9539170506912442,0.9324324324324325,0.4117647058823529,0.25925925925925924,0.3181818181818182
11,Random Forest,50 Estimators,0.8811475409836066,0.8884297520661157,0.9907834101382489,0.9368191721132898,0.0,0.0,0.0
12,Random Forest,25 Estimators,0.8811475409836066,0.8884297520661157,0.9907834101382489,0.9368191721132898,0.0,0.0,0.0
13,Random Forest,20 Estimators,0.8811475409836066,0.8884297520661157,0.9907834101382489,0.9368191721132898,0.0,0.0,0.0
14,Random Forest,10 Estimators,0.8811475409836066,0.8884297520661157,0.9907834101382489,0.9368191721132898,0.0,0.0,0.0
15,Random Forest,5 Estimators,0.8811475409836066,0.8884297520661157,0.9907834101382489,0.9368191721132898,0.0,0.0,0.0
16,RNN,200 units,0.8688524590163934,0.9039301310043668,0.9539170506912442,0.9282511210762332,0.3333333333333333,0.18518518518518517,0.23809523809523808
17,RNN,150 units,0.8811475409836066,0.9122807017543859,0.9585253456221198,0.9348314606741571,0.4375,0.25925925925925924,0.3255813953488372
18,RNN,100 units,0.8811475409836066,0.9196428571428571,0.9493087557603687,0.9342403628117913,0.45,0.3333333333333333,0.3829787234042553
19,RNN,50 units,0.8934426229508197,0.9244444444444444,0.9585253456221198,0.9411764705882352,0.5263157894736842,0.37037037037037035,0.43478260869565216
20,CNN,"64 filters, kernel size 3",0.8442622950819673,0.8977777777777778,0.9308755760368663,0.9140271493212669,0.21052631578947367,0.14814814814814814,0.17391304347826086
21,CNN,"128 filters, kernel size 3",0.8688524590163934,0.9039301310043668,0.9539170506912442,0.9282511210762332,0.3333333333333333,0.18518518518518517,0.23809523809523808
22,CNN,"256 filters, kernel size 3",0.8565573770491803,0.90625,0.9354838709677419,0.9206349206349206,0.3,0.2222222222222222,0.25531914893617025
23,CNN,"64 filters, kernel size 5",0.8852459016393442,0.9090909090909091,0.967741935483871,0.9374999999999999,0.46153846153846156,0.2222222222222222,0.3
24,CNN,"128 filters, kernel size 5",0.8811475409836066,0.9122807017543859,0.9585253456221198,0.9348314606741571,0.4375,0.25925925925925924,0.3255813953488372
25,CNN,"256 filters, kernel size 5",0.889344262295082,0.9130434782608695,0.967741935483871,0.9395973154362415,0.5,0.25925925925925924,0.3414634146341463
