,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9290617848970252,0.8921568627450981,0.9528795811518325,0.9215189873417721,0.9613733905579399,0.9105691056910569,0.9352818371607515
1,LSTM,200 layers,0.919908466819222,0.8714285714285714,0.9581151832460733,0.912718204488778,0.9647577092511013,0.8902439024390244,0.9260042283298097
2,LSTM,100 layers,0.919908466819222,0.8861386138613861,0.93717277486911,0.910941475826972,0.948936170212766,0.9065040650406504,0.9272349272349272
3,LSTM,50 layers,0.9221967963386728,0.8792270531400966,0.9528795811518325,0.914572864321608,0.9608695652173913,0.8983739837398373,0.9285714285714285
4,CNN with Attention,"32 filters, kernel size 5",0.88558352402746,0.8439024390243902,0.9057591623036649,0.8737373737373737,0.9224137931034483,0.8699186991869918,0.8953974895397491
5,CNN with Attention,"64 filters, kernel size 5",0.8878718535469108,0.855,0.8952879581151832,0.8746803069053708,0.9156118143459916,0.8821138211382114,0.8985507246376813
6,CNN with Attention,"128 filters, kernel size 5",0.897025171624714,0.865,0.9057591623036649,0.8849104859335037,0.9240506329113924,0.8902439024390244,0.9068322981366461
7,CNN with Attention,"256 filters, kernel size 5",0.8832951945080092,0.8535353535353535,0.8848167539267016,0.8688946015424164,0.9079497907949791,0.8821138211382114,0.8948453608247423
8,CNN with Attention,"64 filters, kernel size 3",0.8741418764302059,0.8238095238095238,0.9057591623036649,0.8628428927680798,0.920704845814978,0.8495934959349594,0.8837209302325582
9,CNN with Attention,"128 filters, kernel size 3",0.8810068649885584,0.845771144278607,0.8900523560209425,0.8673469387755102,0.9110169491525424,0.8739837398373984,0.892116182572614
10,CNN with Attention,"256 filters, kernel size 3",0.9016018306636155,0.8523809523809524,0.93717277486911,0.8927680798004988,0.947136563876652,0.8739837398373984,0.9090909090909092
11,Random Forest,50 Estimators,0.700228832951945,0.6153846153846154,0.837696335078534,0.7095343680709535,0.8248587570621468,0.5934959349593496,0.6903073286052009
12,Random Forest,25 Estimators,0.700228832951945,0.6153846153846154,0.837696335078534,0.7095343680709535,0.8248587570621468,0.5934959349593496,0.6903073286052009
13,Random Forest,20 Estimators,0.700228832951945,0.6153846153846154,0.837696335078534,0.7095343680709535,0.8248587570621468,0.5934959349593496,0.6903073286052009
14,Random Forest,10 Estimators,0.700228832951945,0.6153846153846154,0.837696335078534,0.7095343680709535,0.8248587570621468,0.5934959349593496,0.6903073286052009
15,Random Forest,5 Estimators,0.700228832951945,0.6153846153846154,0.837696335078534,0.7095343680709535,0.8248587570621468,0.5934959349593496,0.6903073286052009
16,RNN,200 units,0.9061784897025171,0.8640776699029126,0.9319371727748691,0.8967254408060452,0.9437229437229437,0.8861788617886179,0.9140461215932915
17,RNN,150 units,0.9107551487414187,0.8725490196078431,0.9319371727748691,0.9012658227848102,0.944206008583691,0.8943089430894309,0.918580375782881
18,RNN,100 units,0.9107551487414187,0.8653846153846154,0.9424083769633508,0.9022556390977444,0.9519650655021834,0.8861788617886179,0.9178947368421053
19,RNN,50 units,0.9153318077803204,0.8598130841121495,0.9633507853403142,0.908641975308642,0.968609865470852,0.8780487804878049,0.9211087420042644
20,CNN,"64 filters, kernel size 3",0.8627002288329519,0.8133971291866029,0.8900523560209425,0.8500000000000001,0.9078947368421053,0.8414634146341463,0.8734177215189874
21,CNN,"128 filters, kernel size 3",0.8558352402745996,0.8047619047619048,0.8848167539267016,0.8428927680798005,0.9030837004405287,0.8333333333333334,0.8668076109936576
22,CNN,"256 filters, kernel size 3",0.8649885583524027,0.8084112149532711,0.9057591623036649,0.854320987654321,0.9192825112107623,0.8333333333333334,0.8742004264392326
23,CNN,"64 filters, kernel size 5",0.8718535469107551,0.813953488372093,0.9162303664921466,0.8620689655172414,0.9279279279279279,0.8373983739837398,0.8803418803418804
24,CNN,"128 filters, kernel size 5",0.8672768878718535,0.8093023255813954,0.9109947643979057,0.8571428571428571,0.9234234234234234,0.8333333333333334,0.8760683760683761
25,CNN,"256 filters, kernel size 5",0.8741418764302059,0.8207547169811321,0.9109947643979057,0.8635235732009927,0.9244444444444444,0.8455284552845529,0.8832271762208069
