,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9607843137254902,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9629629629629629,0.9629629629629629,0.9629629629629629
1,LSTM,200 layers,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,LSTM,100 layers,0.9019607843137255,0.88,0.9166666666666666,0.8979591836734694,0.9230769230769231,0.8888888888888888,0.9056603773584906
3,LSTM,50 layers,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,CNN with Attention,"32 filters, kernel size 5",0.9215686274509803,0.9545454545454546,0.875,0.9130434782608695,0.896551724137931,0.9629629629629629,0.9285714285714286
5,CNN with Attention,"64 filters, kernel size 5",1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,CNN with Attention,"128 filters, kernel size 5",1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,CNN with Attention,"256 filters, kernel size 5",1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,CNN with Attention,"64 filters, kernel size 3",0.8823529411764706,0.8214285714285714,0.9583333333333334,0.8846153846153847,0.9565217391304348,0.8148148148148148,0.8800000000000001
9,CNN with Attention,"128 filters, kernel size 3",0.9411764705882353,0.92,0.9583333333333334,0.9387755102040817,0.9615384615384616,0.9259259259259259,0.9433962264150944
10,CNN with Attention,"256 filters, kernel size 3",0.9607843137254902,1.0,0.9166666666666666,0.9565217391304348,0.9310344827586207,1.0,0.9642857142857143
11,Random Forest,50 Estimators,0.49019607843137253,0.46875,0.625,0.5357142857142857,0.5263157894736842,0.37037037037037035,0.43478260869565216
12,Random Forest,25 Estimators,0.49019607843137253,0.46875,0.625,0.5357142857142857,0.5263157894736842,0.37037037037037035,0.43478260869565216
13,Random Forest,20 Estimators,0.49019607843137253,0.46875,0.625,0.5357142857142857,0.5263157894736842,0.37037037037037035,0.43478260869565216
14,Random Forest,10 Estimators,0.49019607843137253,0.46875,0.625,0.5357142857142857,0.5263157894736842,0.37037037037037035,0.43478260869565216
15,Random Forest,5 Estimators,0.49019607843137253,0.46875,0.625,0.5357142857142857,0.5263157894736842,0.37037037037037035,0.43478260869565216
16,RNN,200 units,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,RNN,150 units,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,RNN,100 units,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,RNN,50 units,0.9607843137254902,0.9230769230769231,1.0,0.9600000000000001,1.0,0.9259259259259259,0.9615384615384615
20,CNN,"64 filters, kernel size 3",0.9019607843137255,0.8518518518518519,0.9583333333333334,0.9019607843137256,0.9583333333333334,0.8518518518518519,0.9019607843137256
21,CNN,"128 filters, kernel size 3",0.9215686274509803,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9259259259259259,0.9259259259259259,0.9259259259259259
22,CNN,"256 filters, kernel size 3",0.8823529411764706,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.92,0.8518518518518519,0.8846153846153846
23,CNN,"64 filters, kernel size 5",0.9803921568627451,0.96,1.0,0.9795918367346939,1.0,0.9629629629629629,0.9811320754716981
24,CNN,"128 filters, kernel size 5",0.9803921568627451,0.96,1.0,0.9795918367346939,1.0,0.9629629629629629,0.9811320754716981
25,CNN,"256 filters, kernel size 5",0.9803921568627451,0.96,1.0,0.9795918367346939,1.0,0.9629629629629629,0.9811320754716981
