,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC
0,0.001,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
1,0.002,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
2,0.003,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
3,0.004,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
4,0.005,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
5,0.006,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
6,0.007,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
7,0.008,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
8,0.009000000000000001,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
9,0.01,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
10,0.011,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
11,0.012,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
12,0.013000000000000001,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
13,0.014,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
14,0.015,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
15,0.016,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
16,0.017,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
17,0.018000000000000002,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
18,0.019,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
19,0.02,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
20,0.021,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
21,0.022,0.5333333333333333,0.47058823529411764,0.5,0,15,0,8
22,0.023,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
23,0.024,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
24,0.025,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
25,0.026000000000000002,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
26,0.027,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
27,0.028,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
28,0.029,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
29,0.03,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
30,0.031,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
31,0.032,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
32,0.033,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
33,0.034,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
34,0.035,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
35,0.036000000000000004,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
36,0.037,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
37,0.038,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
38,0.039,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
39,0.04,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
40,0.041,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
41,0.042,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
42,0.043000000000000003,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
43,0.044,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
44,0.045,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
45,0.046,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
46,0.047,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
47,0.048,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
48,0.049,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
49,0.05,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
50,0.051000000000000004,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
51,0.052000000000000005,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
52,0.053,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
53,0.054,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
54,0.055,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
55,0.056,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
56,0.057,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
57,0.058,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
58,0.059000000000000004,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
59,0.06,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
60,0.061,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
61,0.062,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
62,0.063,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
63,0.064,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
64,0.065,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
65,0.066,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
66,0.067,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
67,0.068,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
68,0.069,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
69,0.07,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
70,0.07100000000000001,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
71,0.07200000000000001,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
72,0.073,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
73,0.074,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
74,0.075,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
75,0.076,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
76,0.077,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
77,0.078,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
78,0.079,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
79,0.08,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
80,0.081,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
81,0.082,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
82,0.083,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
83,0.084,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
84,0.085,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
85,0.08600000000000001,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
86,0.08700000000000001,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
87,0.088,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
88,0.089,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
89,0.09,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
90,0.091,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
91,0.092,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
92,0.093,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
93,0.094,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
94,0.095,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
95,0.096,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
96,0.097,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
97,0.098,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
98,0.099,0.5333333333333333,0.47058823529411764,0.5,0,15,40,8
