,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.15476190476190477,0.0,0.0,0.0,0.15476190476190477,1.0,0.2680412371134021,0.15
1,LSTM,128 layers,0.8432539682539683,0.8490945674044266,0.9906103286384976,0.914409534127844,0.42857142857142855,0.038461538461538464,0.07058823529411765,0.15
2,LSTM,64 layers,0.8591269841269841,0.8571428571428571,1.0,0.923076923076923,1.0,0.08974358974358974,0.1647058823529412,0.15
3,LSTM,32 layers,0.8412698412698413,0.846,0.9929577464788732,0.9136069114470843,0.25,0.01282051282051282,0.024390243902439022,0.15
4,CNN with Attention,"32 filters, kernel size 7",0.8571428571428571,0.8612244897959184,0.9906103286384976,0.9213973799126637,0.7142857142857143,0.1282051282051282,0.21739130434782608,0.15
5,CNN with Attention,"32 filters, kernel size 5",0.8531746031746031,0.8577235772357723,0.9906103286384976,0.9193899782135075,0.6666666666666666,0.10256410256410256,0.17777777777777778,0.15
6,CNN with Attention,"32 filters, kernel size 3",0.8452380952380952,0.8452380952380952,1.0,0.9161290322580644,0.0,0.0,0.0,0.15
7,CNN with Attention,"64 filters, kernel size 7",0.875,0.8903225806451613,0.971830985915493,0.9292929292929293,0.6923076923076923,0.34615384615384615,0.46153846153846156,0.15
8,CNN with Attention,"64 filters, kernel size 5",0.8551587301587301,0.8624229979466119,0.9859154929577465,0.9200438116100766,0.6470588235294118,0.14102564102564102,0.23157894736842105,0.15
9,CNN with Attention,"64 filters, kernel size 3",0.8809523809523809,0.884453781512605,0.9882629107981221,0.9334811529933481,0.8214285714285714,0.2948717948717949,0.4339622641509434,0.15
10,CNN with Attention,"128 filters, kernel size 7",0.8650793650793651,0.8792372881355932,0.9741784037558685,0.9242761692650333,0.65625,0.2692307692307692,0.38181818181818183,0.15
11,CNN with Attention,"128 filters, kernel size 5",0.873015873015873,0.8709016393442623,0.9976525821596244,0.9299781181619255,0.9375,0.19230769230769232,0.3191489361702128,0.15
12,CNN with Attention,"128 filters, kernel size 3",0.8829365079365079,0.8830897703549061,0.9929577464788732,0.9348066298342542,0.88,0.28205128205128205,0.4271844660194175,0.15
13,CNN with Attention,"256 filters, kernel size 7",0.8611111111111112,0.8677685950413223,0.9859154929577465,0.9230769230769231,0.7,0.1794871794871795,0.2857142857142857,0.15
14,CNN with Attention,"256 filters, kernel size 5",0.8630952380952381,0.86652977412731,0.9906103286384976,0.9244249726177437,0.7647058823529411,0.16666666666666666,0.2736842105263158,0.15
15,CNN with Attention,"256 filters, kernel size 3",0.8492063492063492,0.848605577689243,1.0,0.918103448275862,1.0,0.02564102564102564,0.05,0.15
16,RNN,256 units,0.15476190476190477,0.0,0.0,0.0,0.15476190476190477,1.0,0.2680412371134021,0.15
