,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC
0,0.001,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
1,0.002,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
2,0.003,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
3,0.004,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
4,0.005,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
5,0.006,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
6,0.007,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
7,0.008,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
8,0.009000000000000001,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
9,0.01,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
10,0.011,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
11,0.012,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
12,0.013000000000000001,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
13,0.014,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
14,0.015,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
15,0.016,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
16,0.017,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
17,0.018000000000000002,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
18,0.019,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
19,0.02,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
20,0.021,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
21,0.022,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
22,0.023,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
23,0.024,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
24,0.025,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
25,0.026000000000000002,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
26,0.027,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
27,0.028,0.2608695652173913,0.17142857142857143,0.20689655172413796,3,0,3,0
28,0.029,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
29,0.03,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
30,0.031,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
31,0.032,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
32,0.033,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
33,0.034,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
34,0.035,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
35,0.036000000000000004,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
36,0.037,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
37,0.038,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
38,0.039,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
39,0.04,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
40,0.041,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
41,0.042,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
42,0.043000000000000003,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
43,0.044,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
44,0.045,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
45,0.046,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
46,0.047,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
47,0.048,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
48,0.049,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
49,0.05,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
50,0.051000000000000004,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
51,0.052000000000000005,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
52,0.053,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
53,0.054,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
54,0.055,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
55,0.056,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
56,0.057,0.4166666666666667,0.14285714285714285,0.21276595744680848,14,0,8,0
57,0.058,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
58,0.059000000000000004,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
59,0.06,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
60,0.061,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
61,0.062,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
62,0.063,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
63,0.064,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
64,0.065,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
65,0.066,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
66,0.067,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
67,0.068,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
68,0.069,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
69,0.07,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
70,0.07100000000000001,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
71,0.07200000000000001,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
72,0.073,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
73,0.074,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
74,0.075,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
75,0.076,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
76,0.077,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
77,0.078,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
78,0.079,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
79,0.08,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
80,0.081,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
81,0.082,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
82,0.083,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
83,0.084,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
84,0.085,0.5,0.11428571428571428,0.18604651162790695,18,0,9,0
85,0.08600000000000001,0.42857142857142855,0.08571428571428572,0.14285714285714285,19,0,10,0
86,0.08700000000000001,0.42857142857142855,0.08571428571428572,0.14285714285714285,19,0,10,0
87,0.088,0.42857142857142855,0.08571428571428572,0.14285714285714285,19,0,10,0
88,0.089,0.42857142857142855,0.08571428571428572,0.14285714285714285,19,0,10,0
89,0.09,0.42857142857142855,0.08571428571428572,0.14285714285714285,19,0,10,0
90,0.091,0.42857142857142855,0.08571428571428572,0.14285714285714285,19,0,10,0
91,0.092,0.42857142857142855,0.08571428571428572,0.14285714285714285,19,0,10,0
92,0.093,0.42857142857142855,0.08571428571428572,0.14285714285714285,19,0,10,0
93,0.094,0.42857142857142855,0.08571428571428572,0.14285714285714285,19,0,10,0
94,0.095,0.42857142857142855,0.08571428571428572,0.14285714285714285,19,0,10,0
95,0.096,0.42857142857142855,0.08571428571428572,0.14285714285714285,19,0,10,0
96,0.097,0.42857142857142855,0.08571428571428572,0.14285714285714285,19,0,10,0
97,0.098,0.42857142857142855,0.08571428571428572,0.14285714285714285,19,0,10,0
98,0.099,0.42857142857142855,0.08571428571428572,0.14285714285714285,19,0,10,0
