,epsilon,pre,recall,F1,NSC,PSC,NRC,PRC
0,0.001,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
1,0.002,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
2,0.003,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
3,0.004,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
4,0.005,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
5,0.006,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
6,0.007,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
7,0.008,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
8,0.009000000000000001,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
9,0.01,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
10,0.011,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
11,0.012,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
12,0.013000000000000001,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
13,0.014,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
14,0.015,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
15,0.016,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
16,0.017,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
17,0.018000000000000002,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
18,0.019,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
19,0.02,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
20,0.021,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
21,0.022,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
22,0.023,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
23,0.024,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
24,0.025,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
25,0.026000000000000002,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
26,0.027,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
27,0.028,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
28,0.029,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
29,0.03,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
30,0.031,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
31,0.032,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
32,0.033,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
33,0.034,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
34,0.035,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
35,0.036000000000000004,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
36,0.037,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
37,0.038,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
38,0.039,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
39,0.04,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
40,0.041,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
41,0.042,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
42,0.043000000000000003,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
43,0.044,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
44,0.045,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
45,0.046,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
46,0.047,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
47,0.048,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
48,0.049,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
49,0.05,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
50,0.051000000000000004,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
51,0.052000000000000005,0.3023255813953488,0.4262295081967213,0.3537414965986394,0,58,0,1
