,Date,Price,Open,High,Low,Vol.,Change %
0,"Dec 29, 2023",6.4,6.56,6.58,6.35,2.79M,-3.03%
1,"Dec 28, 2023",6.6,6.77,6.87,6.53,4.36M,-2.65%
2,"Dec 27, 2023",6.78,6.82,6.96,6.65,3.19M,1.19%
3,"Dec 26, 2023",6.7,6.53,6.88,6.53,2.80M,3.08%
4,"Dec 22, 2023",6.5,6.37,6.62,6.37,2.97M,0.31%
5,"Dec 21, 2023",6.48,6.33,6.62,6.3,2.59M,5.02%
6,"Dec 20, 2023",6.17,6.61,6.64,6.17,4.13M,-7.91%
7,"Dec 19, 2023",6.7,6.61,6.77,6.58,2.12M,3.24%
8,"Dec 18, 2023",6.49,6.8,6.84,6.46,2.60M,-3.57%
9,"Dec 15, 2023",6.73,6.74,7.13,6.7,5.10M,1.97%
10,"Dec 14, 2023",6.6,6.63,6.76,6.41,3.75M,2.48%
11,"Dec 13, 2023",6.44,5.86,6.44,5.8,4.44M,10.46%
12,"Dec 12, 2023",5.83,6.11,6.11,5.81,3.23M,-4.11%
13,"Dec 11, 2023",6.08,6.5,6.56,6.04,5.01M,-8.30%
14,"Dec 08, 2023",6.63,6.56,6.75,6.54,3.71M,3.43%
15,"Dec 07, 2023",6.41,6.45,6.57,6.28,2.05M,-0.16%
16,"Dec 06, 2023",6.42,6.3,6.65,6.25,4.01M,3.38%
17,"Dec 05, 2023",6.21,6.34,6.5,6.2,3.03M,-3.57%
18,"Dec 04, 2023",6.44,6.47,6.53,6.36,1.56M,-1.23%
19,"Dec 01, 2023",6.52,6.44,6.69,6.33,2.51M,1.09%
20,"Nov 30, 2023",6.45,6.65,6.69,6.35,2.16M,-2.27%
21,"Nov 29, 2023",6.6,6.58,6.74,6.49,2.14M,1.38%
22,"Nov 28, 2023",6.51,6.65,6.78,6.44,2.54M,-2.11%
23,"Nov 27, 2023",6.65,6.99,7.0,6.59,2.47M,-6.07%
24,"Nov 24, 2023",7.08,6.99,7.21,6.99,763.58K,1.29%
25,"Nov 22, 2023",6.99,7.08,7.16,6.82,1.62M,-0.99%
26,"Nov 21, 2023",7.06,7.36,7.36,6.98,1.24M,-2.75%
27,"Nov 20, 2023",7.26,7.26,7.46,7.21,1.45M,0.69%
28,"Nov 17, 2023",7.21,7.0,7.31,6.87,1.35M,3.74%
29,"Nov 16, 2023",6.95,7.6,7.6,6.91,2.00M,-7.82%
30,"Nov 15, 2023",7.54,7.52,7.86,7.37,1.96M,0.94%
31,"Nov 14, 2023",7.47,7.4,7.55,7.24,1.84M,4.04%
32,"Nov 13, 2023",7.18,7.31,7.31,6.92,2.16M,-2.58%
33,"Nov 10, 2023",7.37,7.12,7.4,6.99,1.34M,3.80%
34,"Nov 09, 2023",7.1,7.53,7.53,7.07,2.00M,-5.33%
35,"Nov 08, 2023",7.5,7.33,7.54,7.18,1.66M,3.45%
36,"Nov 07, 2023",7.25,7.05,7.4,6.97,1.17M,1.26%
37,"Nov 06, 2023",7.16,7.55,7.57,7.07,1.47M,-2.72%
38,"Nov 03, 2023",7.36,7.15,7.49,7.08,1.86M,4.55%
39,"Nov 02, 2023",7.04,6.66,7.04,6.61,2.19M,6.67%
40,"Nov 01, 2023",6.6,6.6,6.68,6.41,1.81M,-1.49%
41,"Oct 31, 2023",6.7,6.59,6.89,6.56,1.25M,-0.15%
