,Date,HS Code,Product Description,Consignee,Notify Party Name,Shipper,Std. Quantity,Std. Unit,Standard Unit Rate INR,Value,Country of Origin,Country of Destination,Port of Destination,Quantity,Unit,Unit Rate $,Actual Duty,Port of Origin,Shipment Mode,Measurment,Bill of Entry No,Port of Delivery,Container TEU,Freight Term,Marks Number,HS Product Description,Gross Weight,Consignee Address,Shipper Address,Notify Party Address,Country Name
0,2020-06-09 00:00:00,8104110000,MAGNESIUM METALLIC,CORPORACION ECUATORIANA DE ALUMINIO S A CEDAL,,Ningbo Distant Chemicals Co Ltd,5984.0,KGS,-,18106.33,China,Ecuador,Not Available,5984.0,KGS,-,-,Xingang,-,-,CEC2020MAEU0414,-,-,-,-,"Con un contenido de magnesio superior o igual al 99,8% en peso",0.0,,"Jingjia Road 188 Long Unit, Jiangdong, Ningbo, Zhejiang, China, 315040",,Ecuador T3+  Import
1,2020-11-25 00:00:00,8104110000,MAGNESIUM METALLIC INGOTS 99.95%,CORPORACION ECUATORIANA DE ALUMINIO S A CEDAL,,Ningbo Distant Chemicals Co Ltd,3000.0,KGS,-,9173.5,China,Ecuador,Not Available,3000.0,KGS,-,-,Tianjin Xingang Pt,-,-,CEC2020HLCU0172,-,-,-,-,"Con un contenido de magnesio superior o igual al 99,8% en peso",0.0,,"Jingjia Road 188 Long Unit, Jiangdong, Ningbo, Zhejiang, China, 315040",,Ecuador T3+  Import
2,2020-01-19 00:00:00,81041100,MAGNESIUM,LUCKY DAR INTERNATIONAL CO LTD,,LIJINJI TRADE CO LIMITED,0.0,UNT,-,9.422,China,Bangladesh,Chittagong Custom House,0.0,UNT,0.4,-,Not Available,-,-,123778,-,-,-,-,MAGNESIUM,0.0,"A.B. Super Market, Plot-60,Road-02, Sector-03, Uttara; UttaraPS; Dhaka-1230; Bangladesh",HONG KONG,,Bangladesh T3  Import
3,2020-07-30 00:00:00,81041100,MAGNESIUM INGOT,PT LAUTAN LUAS TBK,,POINTER INVESTEMT HK LTD,25.0,TNE,-,48500.0,China,Indonesia,Tanjung Priok,25.0,TNE,1940,2.5,Xingang,-,-,338575,-,-,-,-,,0.0,"Graha Indramas, Gedung, Jl. Ks. Tubun No.77, RT.14/RW.5, Slipi, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",RM 3408 CHINA MERCHANTS TOWER|SHUN TAK CENTRE 168-200 CONNAUGHT|ROAD CENTRAL 00852 25404489|HONGKONG CN,,Indonesia T3  Import
4,2020-04-15 00:00:00,81041100,"MAGNESIUM INGOT ; SIZE : 7,5 KG",PT METALURGI MITRA ABADI,,UPET INDUSTRIES CO LIMITED,13.0,TNE,-,30964.05,China,Indonesia,Tanjung Priok,13.0,TNE,2381.85,0,Xingang,-,-,183977,-,-,-,-,,0.0,"KAWASAN GRAHA BALARAJA INDUSTRIAL ESTATE KAV.F7,KEL.TOBAT,KEC.BALARAJA","RM 19C LOCKHART CTR 301-307 LOCKHART RD WAN, CHAI",,Indonesia T3  Import
5,2020-03-27 00:00:00,81041100,MAGNESIUM INGOTS 300G,PT LAUTAN LUAS TBK,,POINTER INVESTEMT HK LTD,2.0,TNE,-,4860.0,China,Indonesia,Tanjung Priok,2.0,TNE,2430,2.5,Xingang,-,-,146659,-,-,-,-,,0.0,"Graha Indramas, Gedung, Jl. Ks. Tubun No.77, RT.14/RW.5, Slipi, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11410",RM 3408 CHINA MERCHANTS TOWER|SHUN TAK CENTRE 168-200 CONNAUGHT|ROAD CENTRAL 00852 25404489|HONGKONG CN,,Indonesia T3  Import
6,2020-01-16 00:00:00,81041100,"MAGNESIUM INGOT MG 99.9% MIN, FREE FROM OXIDATION SIZE 7.5+/-0.5KG",PT ALEXINDO,,XIAMEN SIMAG INDUSTRIAL CO,25.0,TNE,-,52250.0,China,Indonesia,Tanjung Priok,25.0,TNE,2090,2.5,Tianjin Xingang Pt,-,-,030790,-,-,-,-,,0.0,"JL. RAYA BEKASI KM 28,7 RT.005/RW.016 KEL. HARAPAN JAYA, KEC. BEKASI U","BUSINESS CENTRE GUANYINSHAN INTERNA|XIAMEN, 360000 CN",,Indonesia T3  Import
7,2020-02-03 00:00:00,81041100,MAGNESIUM INGOT 99.9% MIN 7.5KG+/-0.5KG: PENAMBAH UNSUR MAGNESIUM DI DALAM LOGAM CAIR 1900001719,PT MAKMUR META GRAHA DINAMIKA WISMA 77 TOWER II LT 25 JL,,Jinzhi Group Hong Kong Ltd,50.0,TNE,-,103750.0,China,Indonesia,Tanjung Priok,50.0,TNE,2075,2.5,Xingang,-,-,063498,-,-,-,-,,0.0,"LETJEN S. . PARMAN KAV. 77, 
KEL. SLIPI, KEC. PALMERAH, JAKARTA 
BARAT, INDONESIA, *","216 Fa Yuen St, Prince Edward, Hong Kong",,Indonesia T3  Import
8,2020-09-17 00:00:00,810411,MAGNESIUM INGOT RIO TINTO SERVICE CONTRACT 5861540 PURCHASE ORDER NUMBER 3010898353 XFAX +1(514)288-9161 ,RIO TINTO ALCAN INC,LIVINGSTON INTERNATIONAL INC,SHANXI INT L IMPORT AND EXPORT,75.0,NOS,-,0.0,South Korea,United States,Seattle,75.0,PCS,-,-,Busan,-,-,,-,0,-,AS PER BUYERS REQUEST GCXU2188712/1- 15/ GCXU2188672/ 16-30/ GCXU2188693/31- 45/ GCXU2188625/46-60/ GCXU2188630/61- 75/ . ,,100612.0,C/O BANDSTRA TRANSPORTATION SYSTEMS9920 RIVER DRIVE RICHMOND BC CANADA V6X 3S3 TEL: 1-604-270-0440; EMAIL:,"CO., LTD.ROOM 21-G, KING OFFICEBUILDING, NO.9 FUXI STR.,TAIYUAN,SHANXI,CHINA   ",DUMMY DUMMY WA 99999 US,USA T3+  Import
9,2020-10-10 00:00:00,810411,MAGNESIUM INGOT RIO TINTO SERVICE CONTRACT 5861540 PURCHASE ORDER NUMBER 3011016756 XFAX +1(514)288-9161 ,RIO TINTO ALCAN INC,LIVINGSTON INTERNATIONAL INC,SHANXI INT L IMPORT AND EXPORT,120.0,NOS,-,0.0,South Korea,United States,Tacoma,120.0,PCS,-,-,Busan,-,-,,-,0,-,AS PER BUYERS REQUEST FTAU1232762/41- 60/ FTAU1555868/ 61-80/ FTAU1557120/81- 100/ FTAU1556925/101-120/ FTAU1565824/121- 140/ FTAU1561578 /141-160/ ,,119112.0,C/O BANDSTRA TRANSPORTATION SYSTEMS9920 RIVER DRIVE RICHMOND BC CANADA V6X 3S3 TEL: 1-604-270-0440; EMAIL:,"CO., LTD.ROOM 21-G, KING OFFICEBUILDING, NO.9 FUXI STR.,TAIYUAN,SHANXI,CHINA   ",DUMMY DUMMY WA 99999 US,USA T3+  Import
