,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8789473684210526,0.9146341463414634,0.9433962264150944,0.9287925696594428,0.6538461538461539,0.5483870967741935,0.5964912280701755
1,LSTM,200 layers,0.8736842105263158,0.9041916167664671,0.949685534591195,0.9263803680981595,0.6521739130434783,0.4838709677419355,0.5555555555555556
2,LSTM,100 layers,0.8421052631578947,0.8957055214723927,0.9182389937106918,0.9068322981366461,0.5185185185185185,0.45161290322580644,0.48275862068965514
3,LSTM,50 layers,0.8894736842105263,0.9107142857142857,0.9622641509433962,0.9357798165137615,0.7272727272727273,0.5161290322580645,0.6037735849056604
4,CNN with Attention,"32 filters, kernel size 5",0.8421052631578947,0.8862275449101796,0.9308176100628931,0.9079754601226994,0.5217391304347826,0.3870967741935484,0.4444444444444444
5,CNN with Attention,"64 filters, kernel size 5",0.8368421052631579,0.8855421686746988,0.9245283018867925,0.9046153846153847,0.5,0.3870967741935484,0.43636363636363634
6,CNN with Attention,"128 filters, kernel size 5",0.8526315789473684,0.9171974522292994,0.9056603773584906,0.9113924050632911,0.5454545454545454,0.5806451612903226,0.5625
7,CNN with Attention,"256 filters, kernel size 5",0.8421052631578947,0.8909090909090909,0.9245283018867925,0.9074074074074073,0.52,0.41935483870967744,0.46428571428571425
8,CNN with Attention,"64 filters, kernel size 3",0.8368421052631579,0.8855421686746988,0.9245283018867925,0.9046153846153847,0.5,0.3870967741935484,0.43636363636363634
9,CNN with Attention,"128 filters, kernel size 3",0.8526315789473684,0.8830409356725146,0.949685534591195,0.9151515151515152,0.5789473684210527,0.3548387096774194,0.44000000000000006
10,CNN with Attention,"256 filters, kernel size 3",0.8578947368421053,0.8707865168539326,0.9748427672955975,0.9198813056379822,0.6666666666666666,0.25806451612903225,0.37209302325581395
11,Random Forest,50 Estimators,0.8315789473684211,0.8469945355191257,0.9748427672955975,0.9064327485380117,0.42857142857142855,0.0967741935483871,0.15789473684210525
12,Random Forest,25 Estimators,0.8315789473684211,0.8469945355191257,0.9748427672955975,0.9064327485380117,0.42857142857142855,0.0967741935483871,0.15789473684210525
13,Random Forest,20 Estimators,0.8315789473684211,0.8469945355191257,0.9748427672955975,0.9064327485380117,0.42857142857142855,0.0967741935483871,0.15789473684210525
14,Random Forest,10 Estimators,0.8315789473684211,0.8469945355191257,0.9748427672955975,0.9064327485380117,0.42857142857142855,0.0967741935483871,0.15789473684210525
15,Random Forest,5 Estimators,0.8315789473684211,0.8469945355191257,0.9748427672955975,0.9064327485380117,0.42857142857142855,0.0967741935483871,0.15789473684210525
16,RNN,200 units,0.8578947368421053,0.9024390243902439,0.9308176100628931,0.9164086687306501,0.5769230769230769,0.4838709677419355,0.5263157894736842
17,RNN,150 units,0.8736842105263158,0.9041916167664671,0.949685534591195,0.9263803680981595,0.6521739130434783,0.4838709677419355,0.5555555555555556
18,RNN,100 units,0.8631578947368421,0.8888888888888888,0.9559748427672956,0.9212121212121211,0.631578947368421,0.3870967741935484,0.48000000000000004
19,RNN,50 units,0.8736842105263158,0.9090909090909091,0.9433962264150944,0.9259259259259259,0.64,0.5161290322580645,0.5714285714285714
20,CNN,"64 filters, kernel size 3",0.8526315789473684,0.8875739644970414,0.9433962264150944,0.9146341463414636,0.5714285714285714,0.3870967741935484,0.4615384615384615
21,CNN,"128 filters, kernel size 3",0.8631578947368421,0.8888888888888888,0.9559748427672956,0.9212121212121211,0.631578947368421,0.3870967741935484,0.48000000000000004
22,CNN,"256 filters, kernel size 3",0.8578947368421053,0.8707865168539326,0.9748427672955975,0.9198813056379822,0.6666666666666666,0.25806451612903225,0.37209302325581395
23,CNN,"64 filters, kernel size 5",0.8736842105263158,0.8994082840236687,0.9559748427672956,0.9268292682926831,0.6666666666666666,0.45161290322580644,0.5384615384615384
24,CNN,"128 filters, kernel size 5",0.8631578947368421,0.8982035928143712,0.9433962264150944,0.920245398773006,0.6086956521739131,0.45161290322580644,0.5185185185185185
25,CNN,"256 filters, kernel size 5",0.8526315789473684,0.8922155688622755,0.9371069182389937,0.9141104294478527,0.5652173913043478,0.41935483870967744,0.4814814814814815
