,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9340369393139841,0.9376770538243626,0.9910179640718563,0.9636098981077147,0.8846153846153846,0.5111111111111111,0.6478873239436619,0.12
1,LSTM,128 layers,0.9366754617414248,0.9403409090909091,0.9910179640718563,0.9650145772594753,0.8888888888888888,0.5333333333333333,0.6666666666666667,0.12
2,LSTM,64 layers,0.920844327176781,0.9367816091954023,0.9760479041916168,0.9560117302052786,0.7419354838709677,0.5111111111111111,0.6052631578947368,0.12
3,LSTM,32 layers,0.9102902374670184,0.914364640883978,0.9910179640718563,0.9511494252873564,0.8235294117647058,0.3111111111111111,0.45161290322580644,0.12
4,CNN with Attention,"32 filters, kernel size 7",0.9445910290237467,0.956268221574344,0.9820359281437125,0.9689807976366321,0.8333333333333334,0.6666666666666666,0.7407407407407408,0.12
5,CNN with Attention,"32 filters, kernel size 5",0.9551451187335093,0.9731343283582089,0.9760479041916168,0.9745889387144994,0.8181818181818182,0.8,0.8089887640449439,0.12
6,CNN with Attention,"32 filters, kernel size 3",0.9340369393139841,0.9401709401709402,0.9880239520958084,0.9635036496350365,0.8571428571428571,0.5333333333333333,0.6575342465753424,0.12
7,CNN with Attention,"64 filters, kernel size 7",0.941952506596306,0.9508670520231214,0.9850299401197605,0.9676470588235295,0.8484848484848485,0.6222222222222222,0.7179487179487178,0.12
8,CNN with Attention,"64 filters, kernel size 5",0.9313984168865436,0.9476744186046512,0.9760479041916168,0.9616519174041298,0.7714285714285715,0.6,0.675,0.12
9,CNN with Attention,"64 filters, kernel size 3",0.9234828496042217,0.927170868347339,0.9910179640718563,0.9580318379160638,0.8636363636363636,0.4222222222222222,0.5671641791044777,0.12
10,CNN with Attention,"128 filters, kernel size 7",0.9393139841688655,0.9533527696793003,0.9790419161676647,0.96602658788774,0.8055555555555556,0.6444444444444445,0.7160493827160493,0.12
11,CNN with Attention,"128 filters, kernel size 5",0.9445910290237467,0.9536231884057971,0.9850299401197605,0.9690721649484536,0.8529411764705882,0.6444444444444445,0.7341772151898734,0.12
12,CNN with Attention,"128 filters, kernel size 3",0.9234828496042217,0.9320113314447592,0.9850299401197605,0.9577874818049491,0.8076923076923077,0.4666666666666667,0.5915492957746479,0.12
13,CNN with Attention,"256 filters, kernel size 7",0.9393139841688655,0.9533527696793003,0.9790419161676647,0.96602658788774,0.8055555555555556,0.6444444444444445,0.7160493827160493,0.12
14,CNN with Attention,"256 filters, kernel size 5",0.9393139841688655,0.9533527696793003,0.9790419161676647,0.96602658788774,0.8055555555555556,0.6444444444444445,0.7160493827160493,0.12
15,CNN with Attention,"256 filters, kernel size 3",0.9261213720316622,0.9371428571428572,0.9820359281437125,0.9590643274853802,0.7931034482758621,0.5111111111111111,0.6216216216216216,0.12
16,CNN,"32 filters, kernel size 7",0.9102902374670184,0.9545454545454546,0.9431137724550899,0.9487951807228915,0.6122448979591837,0.6666666666666666,0.6382978723404255,0.12
17,CNN,"32 filters, kernel size 5",0.9287598944591029,0.9528023598820059,0.9670658682634731,0.9598811292719167,0.725,0.6444444444444445,0.6823529411764706,0.12
18,CNN,"32 filters, kernel size 3",0.9313984168865436,0.9529411764705882,0.9700598802395209,0.9614243323442137,0.7435897435897436,0.6444444444444445,0.6904761904761906,0.12
19,CNN,"64 filters, kernel size 7",0.9551451187335093,0.9620991253644315,0.9880239520958084,0.9748892171344166,0.8888888888888888,0.7111111111111111,0.7901234567901234,0.12
20,CNN,"64 filters, kernel size 5",0.9261213720316622,0.925,0.9970059880239521,0.9596541786743517,0.9473684210526315,0.4,0.5625,0.12
21,CNN,"64 filters, kernel size 3",0.9340369393139841,0.9401709401709402,0.9880239520958084,0.9635036496350365,0.8571428571428571,0.5333333333333333,0.6575342465753424,0.12
22,CNN,"128 filters, kernel size 7",0.9498680738786279,0.972972972972973,0.9700598802395209,0.9715142428785607,0.782608695652174,0.8,0.7912087912087912,0.12
23,CNN,"128 filters, kernel size 5",0.9445910290237467,0.943342776203966,0.9970059880239521,0.9694323144104804,0.9615384615384616,0.5555555555555556,0.7042253521126761,0.12
24,CNN,"128 filters, kernel size 3",0.941952506596306,0.9382022471910112,1.0,0.9681159420289854,1.0,0.5111111111111111,0.676470588235294,0.12
25,CNN,"256 filters, kernel size 7",0.9023746701846965,0.9805825242718447,0.907185628742515,0.942457231726283,0.5571428571428572,0.8666666666666667,0.6782608695652174,0.12
26,CNN,"256 filters, kernel size 5",0.9393139841688655,0.9784615384615385,0.9520958083832335,0.9650986342943855,0.7037037037037037,0.8444444444444444,0.7676767676767676,0.12
27,CNN,"256 filters, kernel size 3",0.9551451187335093,0.9703264094955489,0.9790419161676647,0.9746646795827124,0.8333333333333334,0.7777777777777778,0.8045977011494253,0.12
