,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9548387096774194,0.9548387096774194,1.0,0.9768976897689768,0.0,0.0,0.0
1,LSTM,200 layers,0.9548387096774194,0.9548387096774194,1.0,0.9768976897689768,0.0,0.0,0.0
2,LSTM,100 layers,0.9548387096774194,0.9548387096774194,1.0,0.9768976897689768,0.0,0.0,0.0
3,LSTM,50 layers,0.9548387096774194,0.9548387096774194,1.0,0.9768976897689768,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.9548387096774194,0.9548387096774194,1.0,0.9768976897689768,0.0,0.0,0.0
5,CNN with Attention,"32 filters, kernel size 5",0.9483870967741935,0.9545454545454546,0.9932432432432432,0.9735099337748344,0.0,0.0,0.0
6,CNN with Attention,"32 filters, kernel size 3",0.9483870967741935,0.9545454545454546,0.9932432432432432,0.9735099337748344,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.9548387096774194,0.9548387096774194,1.0,0.9768976897689768,0.0,0.0,0.0
8,CNN with Attention,"64 filters, kernel size 5",0.9419354838709677,0.954248366013072,0.9864864864864865,0.9700996677740864,0.0,0.0,0.0
9,CNN with Attention,"64 filters, kernel size 3",0.9548387096774194,0.9548387096774194,1.0,0.9768976897689768,0.0,0.0,0.0
10,CNN with Attention,"128 filters, kernel size 7",0.9548387096774194,0.9548387096774194,1.0,0.9768976897689768,0.0,0.0,0.0
11,CNN with Attention,"128 filters, kernel size 5",0.9483870967741935,0.9545454545454546,0.9932432432432432,0.9735099337748344,0.0,0.0,0.0
12,CNN with Attention,"128 filters, kernel size 3",0.9548387096774194,0.9548387096774194,1.0,0.9768976897689768,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.9548387096774194,0.9548387096774194,1.0,0.9768976897689768,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.9483870967741935,0.9545454545454546,0.9932432432432432,0.9735099337748344,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.9548387096774194,0.9548387096774194,1.0,0.9768976897689768,0.0,0.0,0.0
16,RNN,200 units,0.9548387096774194,0.9548387096774194,1.0,0.9768976897689768,0.0,0.0,0.0
17,RNN,150 units,0.9548387096774194,0.9548387096774194,1.0,0.9768976897689768,0.0,0.0,0.0
18,RNN,100 units,0.9612903225806452,0.961038961038961,1.0,0.9801324503311257,1.0,0.14285714285714285,0.25
19,RNN,50 units,0.9548387096774194,0.9548387096774194,1.0,0.9768976897689768,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.9483870967741935,0.9545454545454546,0.9932432432432432,0.9735099337748344,0.0,0.0,0.0
21,CNN,"32 filters, kernel size 5",0.9419354838709677,0.954248366013072,0.9864864864864865,0.9700996677740864,0.0,0.0,0.0
22,CNN,"32 filters, kernel size 3",0.9290322580645162,0.9536423841059603,0.972972972972973,0.9632107023411371,0.0,0.0,0.0
23,CNN,"64 filters, kernel size 7",0.9419354838709677,0.954248366013072,0.9864864864864865,0.9700996677740864,0.0,0.0,0.0
24,CNN,"64 filters, kernel size 5",0.9290322580645162,0.9536423841059603,0.972972972972973,0.9632107023411371,0.0,0.0,0.0
25,CNN,"64 filters, kernel size 3",0.9225806451612903,0.9533333333333334,0.9662162162162162,0.9597315436241611,0.0,0.0,0.0
26,CNN,"128 filters, kernel size 7",0.9419354838709677,0.954248366013072,0.9864864864864865,0.9700996677740864,0.0,0.0,0.0
27,CNN,"128 filters, kernel size 5",0.9483870967741935,0.9545454545454546,0.9932432432432432,0.9735099337748344,0.0,0.0,0.0
28,CNN,"128 filters, kernel size 3",0.9483870967741935,0.9545454545454546,0.9932432432432432,0.9735099337748344,0.0,0.0,0.0
29,CNN,"256 filters, kernel size 7",0.9419354838709677,0.954248366013072,0.9864864864864865,0.9700996677740864,0.0,0.0,0.0
30,CNN,"256 filters, kernel size 5",0.9483870967741935,0.9545454545454546,0.9932432432432432,0.9735099337748344,0.0,0.0,0.0
31,CNN,"256 filters, kernel size 3",0.9225806451612903,0.9533333333333334,0.9662162162162162,0.9597315436241611,0.0,0.0,0.0
