,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.7184466019417476,0.9583333333333334,0.7263157894736842,0.8263473053892216,0.16129032258064516,0.625,0.2564102564102564,0.08
1,LSTM,128 layers,0.8317152103559871,0.9641434262948207,0.8491228070175438,0.9029850746268656,0.25862068965517243,0.625,0.3658536585365854,0.08
2,LSTM,64 layers,0.8025889967637541,0.9628099173553719,0.8175438596491228,0.8842504743833016,0.22388059701492538,0.625,0.3296703296703297,0.08
3,LSTM,32 layers,0.7119741100323624,1.0,0.6877192982456141,0.814968814968815,0.21238938053097345,1.0,0.35036496350364965,0.08
4,CNN with Attention,"32 filters, kernel size 7",0.5372168284789643,1.0,0.4982456140350877,0.6651053864168618,0.1437125748502994,1.0,0.2513089005235602,0.08
5,CNN with Attention,"32 filters, kernel size 5",0.13268608414239483,1.0,0.05964912280701754,0.11258278145695365,0.0821917808219178,1.0,0.1518987341772152,0.08
6,CNN with Attention,"32 filters, kernel size 3",0.5080906148867314,1.0,0.4666666666666667,0.6363636363636364,0.13636363636363635,1.0,0.24000000000000002,0.08
7,CNN with Attention,"64 filters, kernel size 7",0.540453074433657,1.0,0.5017543859649123,0.6682242990654206,0.14457831325301204,1.0,0.25263157894736843,0.08
8,CNN with Attention,"64 filters, kernel size 5",0.5436893203883495,1.0,0.5052631578947369,0.6713286713286714,0.14545454545454545,1.0,0.25396825396825395,0.08
9,CNN with Attention,"64 filters, kernel size 3",0.5275080906148867,1.0,0.48771929824561405,0.6556603773584906,0.1411764705882353,1.0,0.24742268041237114,0.08
10,CNN with Attention,"128 filters, kernel size 7",0.343042071197411,1.0,0.28771929824561404,0.44686648501362397,0.10572687224669604,1.0,0.1912350597609562,0.08
11,CNN with Attention,"128 filters, kernel size 5",0.35275080906148865,1.0,0.2982456140350877,0.45945945945945943,0.10714285714285714,1.0,0.19354838709677416,0.08
12,CNN with Attention,"128 filters, kernel size 3",0.5631067961165048,1.0,0.5263157894736842,0.6896551724137931,0.1509433962264151,1.0,0.26229508196721313,0.08
13,CNN with Attention,"256 filters, kernel size 7",0.56957928802589,1.0,0.5333333333333333,0.6956521739130436,0.15286624203821655,1.0,0.26519337016574585,0.08
14,CNN with Attention,"256 filters, kernel size 5",0.5954692556634305,1.0,0.5614035087719298,0.7191011235955056,0.1610738255033557,1.0,0.2774566473988439,0.08
15,CNN with Attention,"256 filters, kernel size 3",0.6181229773462783,1.0,0.5859649122807018,0.7389380530973452,0.16901408450704225,1.0,0.2891566265060241,0.08
16,RNN,256 units,0.7249190938511327,0.9672897196261683,0.7263157894736842,0.8296593186372746,0.17894736842105263,0.7083333333333334,0.2857142857142857,0.08
17,RNN,128 units,0.7605177993527508,0.9606986899563319,0.7719298245614035,0.8560311284046692,0.1875,0.625,0.28846153846153844,0.08
18,RNN,64 units,0.8543689320388349,0.9580152671755725,0.8807017543859649,0.9177330895795247,0.2765957446808511,0.5416666666666666,0.3661971830985916,0.08
19,RNN,32 units,0.7216828478964401,0.9585253456221198,0.7298245614035088,0.8286852589641435,0.16304347826086957,0.625,0.25862068965517243,0.08
20,CNN,"32 filters, kernel size 7",0.5210355987055016,1.0,0.4807017543859649,0.6492890995260664,0.13953488372093023,1.0,0.24489795918367346,0.08
21,CNN,"32 filters, kernel size 5",0.44336569579288027,1.0,0.39649122807017545,0.5678391959798995,0.12244897959183673,1.0,0.2181818181818182,0.08
22,CNN,"32 filters, kernel size 3",0.6051779935275081,1.0,0.5719298245614035,0.7276785714285714,0.1643835616438356,1.0,0.2823529411764706,0.08
23,CNN,"64 filters, kernel size 7",0.5372168284789643,1.0,0.4982456140350877,0.6651053864168618,0.1437125748502994,1.0,0.2513089005235602,0.08
24,CNN,"64 filters, kernel size 5",0.32038834951456313,1.0,0.2631578947368421,0.4166666666666667,0.10256410256410256,1.0,0.18604651162790695,0.08
25,CNN,"64 filters, kernel size 3",0.4854368932038835,1.0,0.4421052631578947,0.6131386861313868,0.13114754098360656,1.0,0.23188405797101452,0.08
26,CNN,"128 filters, kernel size 7",0.5242718446601942,1.0,0.4842105263157895,0.6524822695035462,0.14035087719298245,1.0,0.24615384615384614,0.08
27,CNN,"128 filters, kernel size 5",0.17475728155339806,1.0,0.10526315789473684,0.1904761904761905,0.08602150537634409,1.0,0.15841584158415845,0.08
28,CNN,"128 filters, kernel size 3",0.36245954692556637,1.0,0.3087719298245614,0.4718498659517426,0.1085972850678733,1.0,0.19591836734693877,0.08
29,CNN,"256 filters, kernel size 7",0.3559870550161812,1.0,0.3017543859649123,0.4636118598382749,0.10762331838565023,1.0,0.19433198380566802,0.08
30,CNN,"256 filters, kernel size 5",0.4077669902912621,1.0,0.35789473684210527,0.5271317829457365,0.11594202898550725,1.0,0.20779220779220778,0.08
31,CNN,"256 filters, kernel size 3",0.23624595469255663,1.0,0.17192982456140352,0.2934131736526946,0.09230769230769231,1.0,0.16901408450704225,0.08
