,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.7715877437325905,0.9465648854961832,0.7848101265822784,0.8581314878892734,0.29896907216494845,0.6744186046511628,0.4142857142857143,0.12
1,LSTM,128 layers,0.83008356545961,0.9322033898305084,0.870253164556962,0.900163666121113,0.359375,0.5348837209302325,0.42990654205607476,0.12
2,LSTM,64 layers,0.28969359331476324,1.0,0.1930379746835443,0.32360742705570295,0.14429530201342283,1.0,0.2521994134897361,0.12
3,LSTM,32 layers,0.5348189415041783,1.0,0.47151898734177217,0.6408602150537634,0.20476190476190476,1.0,0.33992094861660077,0.12
4,CNN with Attention,"32 filters, kernel size 7",0.7604456824512534,0.9423076923076923,0.7753164556962026,0.8506944444444444,0.2828282828282828,0.6511627906976745,0.39436619718309857,0.12
5,CNN with Attention,"32 filters, kernel size 5",0.7604456824512534,0.9457364341085271,0.7721518987341772,0.8501742160278746,0.2871287128712871,0.6744186046511628,0.40277777777777773,0.12
6,CNN with Attention,"32 filters, kernel size 3",0.6796657381615598,0.9674418604651163,0.6582278481012658,0.783427495291902,0.25,0.8372093023255814,0.3850267379679144,0.12
7,CNN with Attention,"64 filters, kernel size 7",0.7910863509749304,0.9350180505415162,0.819620253164557,0.8735244519392918,0.3048780487804878,0.5813953488372093,0.4,0.12
8,CNN with Attention,"64 filters, kernel size 5",0.7688022284122563,0.946360153256705,0.7816455696202531,0.8561525129982668,0.29591836734693877,0.6744186046511628,0.4113475177304965,0.12
9,CNN with Attention,"64 filters, kernel size 3",0.7688022284122563,0.9429657794676806,0.7848101265822784,0.8566493955094991,0.2916666666666667,0.6511627906976745,0.4028776978417266,0.12
10,CNN with Attention,"128 filters, kernel size 7",0.7827298050139275,0.9343065693430657,0.810126582278481,0.8677966101694915,0.29411764705882354,0.5813953488372093,0.39062500000000006,0.12
11,CNN with Attention,"128 filters, kernel size 5",0.7465181058495822,0.9446640316205533,0.7563291139240507,0.8400702987697716,0.27358490566037735,0.6744186046511628,0.38926174496644295,0.12
12,CNN with Attention,"128 filters, kernel size 3",0.7465181058495822,0.9707112970711297,0.7341772151898734,0.836036036036036,0.3,0.8372093023255814,0.441717791411043,0.12
13,CNN with Attention,"256 filters, kernel size 7",0.7103064066852368,0.9608695652173913,0.6993670886075949,0.8095238095238094,0.26356589147286824,0.7906976744186046,0.3953488372093023,0.12
14,CNN with Attention,"256 filters, kernel size 5",0.8272980501392758,0.950354609929078,0.8481012658227848,0.8963210702341138,0.37662337662337664,0.6744186046511628,0.48333333333333334,0.12
15,CNN with Attention,"256 filters, kernel size 3",0.7186629526462396,0.9574468085106383,0.7120253164556962,0.8166969147005446,0.2661290322580645,0.7674418604651163,0.39520958083832336,0.12
16,RNN,256 units,0.7019498607242339,0.995260663507109,0.6645569620253164,0.7969639468690702,0.28378378378378377,0.9767441860465116,0.4397905759162304,0.12
17,RNN,128 units,0.8161559888579387,0.9664179104477612,0.819620253164557,0.886986301369863,0.37362637362637363,0.7906976744186046,0.5074626865671641,0.12
18,RNN,64 units,0.7576601671309192,0.9455252918287937,0.7689873417721519,0.8481675392670158,0.28431372549019607,0.6744186046511628,0.39999999999999997,0.12
19,RNN,32 units,0.3732590529247911,1.0,0.2879746835443038,0.44717444717444715,0.16044776119402984,1.0,0.2765273311897106,0.12
20,CNN,"32 filters, kernel size 7",0.8105849582172702,0.9305555555555556,0.8481012658227848,0.8874172185430463,0.323943661971831,0.5348837209302325,0.4035087719298246,0.12
21,CNN,"32 filters, kernel size 5",0.7632311977715878,0.9459459459459459,0.7753164556962026,0.8521739130434782,0.29,0.6744186046511628,0.4055944055944056,0.12
22,CNN,"32 filters, kernel size 3",0.7883008356545961,0.9477611940298507,0.8037974683544303,0.8698630136986301,0.31868131868131866,0.6744186046511628,0.43283582089552236,0.12
23,CNN,"64 filters, kernel size 7",0.7799442896935933,0.9340659340659341,0.8069620253164557,0.865874363327674,0.29069767441860467,0.5813953488372093,0.3875968992248062,0.12
24,CNN,"64 filters, kernel size 5",0.7604456824512534,0.94921875,0.7689873417721519,0.8496503496503496,0.2912621359223301,0.6976744186046512,0.410958904109589,0.12
25,CNN,"64 filters, kernel size 3",0.7437325905292479,0.9444444444444444,0.7531645569620253,0.8380281690140845,0.27102803738317754,0.6744186046511628,0.3866666666666666,0.12
26,CNN,"128 filters, kernel size 7",0.7576601671309192,0.9420849420849421,0.7721518987341772,0.8486956521739131,0.28,0.6511627906976745,0.39160839160839167,0.12
27,CNN,"128 filters, kernel size 5",0.7158774373259053,0.9572649572649573,0.7088607594936709,0.8145454545454547,0.264,0.7674418604651163,0.3928571428571429,0.12
28,CNN,"128 filters, kernel size 3",0.7381615598885793,0.978448275862069,0.7183544303797469,0.8284671532846716,0.2992125984251969,0.8837209302325582,0.4470588235294118,0.12
29,CNN,"256 filters, kernel size 7",0.8022284122562674,0.9328621908127208,0.8354430379746836,0.8814691151919867,0.3157894736842105,0.5581395348837209,0.4033613445378151,0.12
30,CNN,"256 filters, kernel size 5",0.7855153203342619,0.9442379182156134,0.8037974683544303,0.8683760683760684,0.3111111111111111,0.6511627906976745,0.42105263157894735,0.12
31,CNN,"256 filters, kernel size 3",0.7827298050139275,0.9473684210526315,0.7974683544303798,0.865979381443299,0.3118279569892473,0.6744186046511628,0.4264705882352941,0.12
