,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.6128133704735376,0.909952606635071,0.6153846153846154,0.7342256214149139,0.1891891891891892,0.5957446808510638,0.28717948717948716,0.13
1,LSTM,128 layers,0.12813370473537605,0.47058823529411764,0.02564102564102564,0.048632218844984795,0.1111111111111111,0.8085106382978723,0.19537275064267354,0.13
2,LSTM,64 layers,0.13649025069637882,0.5833333333333334,0.022435897435897436,0.043209876543209874,0.12103746397694524,0.8936170212765957,0.21319796954314724,0.13
3,LSTM,32 layers,0.14206128133704735,0.6666666666666666,0.02564102564102564,0.04938271604938271,0.1239193083573487,0.9148936170212766,0.2182741116751269,0.13
4,CNN with Attention,"32 filters, kernel size 7",0.17548746518105848,0.75,0.07692307692307693,0.13953488372093026,0.11926605504587157,0.8297872340425532,0.20855614973262035,0.13
5,CNN with Attention,"32 filters, kernel size 5",0.13649025069637882,0.5625,0.028846153846153848,0.05487804878048781,0.11661807580174927,0.851063829787234,0.20512820512820512,0.13
6,CNN with Attention,"32 filters, kernel size 3",0.1392757660167131,0.8,0.01282051282051282,0.025236593059936908,0.12994350282485875,0.9787234042553191,0.22942643391521195,0.13
7,CNN with Attention,"64 filters, kernel size 7",0.12813370473537605,0.46153846153846156,0.019230769230769232,0.03692307692307692,0.11560693641618497,0.851063829787234,0.2035623409669211,0.13
8,CNN with Attention,"64 filters, kernel size 5",0.13370473537604458,0.5294117647058824,0.028846153846153848,0.0547112462006079,0.11403508771929824,0.8297872340425532,0.2005141388174807,0.13
9,CNN with Attention,"64 filters, kernel size 3",0.14484679665738162,0.6923076923076923,0.028846153846153848,0.055384615384615386,0.12427745664739884,0.9148936170212766,0.2188295165394402,0.13
10,CNN with Attention,"128 filters, kernel size 7",0.15877437325905291,0.9166666666666666,0.035256410256410256,0.06790123456790123,0.13256484149855907,0.9787234042553191,0.23350253807106597,0.13
11,CNN with Attention,"128 filters, kernel size 5",0.13370473537604458,0.5555555555555556,0.016025641025641024,0.031152647975077885,0.12285714285714286,0.9148936170212766,0.21662468513853902,0.13
12,CNN with Attention,"128 filters, kernel size 3",0.1392757660167131,0.6153846153846154,0.02564102564102564,0.04923076923076923,0.12138728323699421,0.8936170212765957,0.21374045801526714,0.13
13,CNN with Attention,"256 filters, kernel size 7",0.14206128133704735,0.625,0.03205128205128205,0.06097560975609755,0.119533527696793,0.8723404255319149,0.21025641025641023,0.13
14,CNN with Attention,"256 filters, kernel size 5",0.13649025069637882,0.5454545454545454,0.038461538461538464,0.07185628742514971,0.10979228486646884,0.7872340425531915,0.19270833333333331,0.13
15,CNN with Attention,"256 filters, kernel size 3",0.12534818941504178,0.42857142857142855,0.019230769230769232,0.03680981595092025,0.11304347826086956,0.8297872340425532,0.1989795918367347,0.13
16,RNN,256 units,0.1309192200557103,0.0,0.0,0.0,0.1309192200557103,1.0,0.2315270935960591,0.13
17,RNN,128 units,0.13649025069637882,0.5454545454545454,0.038461538461538464,0.07185628742514971,0.10979228486646884,0.7872340425531915,0.19270833333333331,0.13
18,RNN,64 units,0.12256267409470752,0.42105263157894735,0.02564102564102564,0.04833836858006042,0.10588235294117647,0.7659574468085106,0.18604651162790697,0.13
19,RNN,32 units,0.1392757660167131,0.5652173913043478,0.041666666666666664,0.07761194029850746,0.11011904761904762,0.7872340425531915,0.19321148825065274,0.13
20,CNN,"32 filters, kernel size 7",0.12813370473537605,0.46153846153846156,0.019230769230769232,0.03692307692307692,0.11560693641618497,0.851063829787234,0.2035623409669211,0.13
21,CNN,"32 filters, kernel size 5",0.15041782729805014,0.6666666666666666,0.04487179487179487,0.08408408408408409,0.11834319526627218,0.851063829787234,0.20779220779220778,0.13
22,CNN,"32 filters, kernel size 3",0.14484679665738162,0.6923076923076923,0.028846153846153848,0.055384615384615386,0.12427745664739884,0.9148936170212766,0.2188295165394402,0.13
23,CNN,"64 filters, kernel size 7",0.14206128133704735,0.6666666666666666,0.02564102564102564,0.04938271604938271,0.1239193083573487,0.9148936170212766,0.2182741116751269,0.13
24,CNN,"64 filters, kernel size 5",0.14206128133704735,0.625,0.03205128205128205,0.06097560975609755,0.119533527696793,0.8723404255319149,0.21025641025641023,0.13
25,CNN,"64 filters, kernel size 3",0.14484679665738162,0.8571428571428571,0.019230769230769232,0.03761755485893417,0.13068181818181818,0.9787234042553191,0.23057644110275685,0.13
26,CNN,"128 filters, kernel size 7",0.16991643454038996,0.85,0.05448717948717949,0.10240963855421688,0.12979351032448377,0.9361702127659575,0.22797927461139897,0.13
27,CNN,"128 filters, kernel size 5",0.20334261838440112,0.8823529411764706,0.09615384615384616,0.17341040462427748,0.13230769230769232,0.9148936170212766,0.23118279569892475,0.13
28,CNN,"128 filters, kernel size 3",0.17827298050139276,0.8695652173913043,0.0641025641025641,0.11940298507462685,0.13095238095238096,0.9361702127659575,0.2297650130548303,0.13
29,CNN,"256 filters, kernel size 7",0.2200557103064067,0.9210526315789473,0.11217948717948718,0.19999999999999998,0.13707165109034267,0.9361702127659575,0.23913043478260865,0.13
30,CNN,"256 filters, kernel size 5",0.15598885793871867,0.7142857142857143,0.04807692307692308,0.09009009009009009,0.12130177514792899,0.8723404255319149,0.212987012987013,0.13
31,CNN,"256 filters, kernel size 3",0.26740947075208915,0.8888888888888888,0.1794871794871795,0.2986666666666667,0.13513513513513514,0.851063829787234,0.23323615160349856,0.13
