,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.8699186991869918,0.9663299663299664,0.8830769230769231,0.9228295819935691,0.4722222222222222,0.7727272727272727,0.5862068965517242,0.12
1,LSTM,128 layers,0.9159891598915989,0.9622641509433962,0.9415384615384615,0.9517884914463453,0.6274509803921569,0.7272727272727273,0.6736842105263158,0.12
2,LSTM,64 layers,0.9295392953929539,0.9358600583090378,0.9876923076923076,0.9610778443113771,0.8461538461538461,0.5,0.6285714285714286,0.12
3,LSTM,32 layers,0.9214092140921409,0.9567901234567902,0.9538461538461539,0.9553158705701079,0.6666666666666666,0.6818181818181818,0.6741573033707865,0.12
4,CNN with Attention,"32 filters, kernel size 7",0.9214092140921409,0.9654088050314465,0.9446153846153846,0.9548989113530327,0.6470588235294118,0.75,0.6947368421052633,0.12
5,CNN with Attention,"32 filters, kernel size 5",0.9051490514905149,0.9264705882352942,0.9692307692307692,0.9473684210526316,0.6551724137931034,0.4318181818181818,0.5205479452054794,0.12
6,CNN with Attention,"32 filters, kernel size 3",0.948509485094851,0.9636363636363636,0.9784615384615385,0.9709923664122138,0.8205128205128205,0.7272727272727273,0.7710843373493976,0.12
7,CNN with Attention,"64 filters, kernel size 7",0.8915989159891599,0.9495268138801262,0.9261538461538461,0.9376947040498441,0.5384615384615384,0.6363636363636364,0.5833333333333334,0.12
8,CNN with Attention,"64 filters, kernel size 5",0.9214092140921409,0.9539877300613497,0.9569230769230769,0.955453149001536,0.6744186046511628,0.6590909090909091,0.6666666666666666,0.12
9,CNN with Attention,"64 filters, kernel size 3",0.9349593495934959,0.9465875370919882,0.9815384615384616,0.9637462235649547,0.8125,0.5909090909090909,0.6842105263157896,0.12
10,CNN with Attention,"128 filters, kernel size 7",0.8373983739837398,0.9649122807017544,0.8461538461538461,0.9016393442622951,0.40476190476190477,0.7727272727272727,0.5312499999999999,0.12
11,CNN with Attention,"128 filters, kernel size 5",0.926829268292683,0.965625,0.9507692307692308,0.958139534883721,0.673469387755102,0.75,0.7096774193548386,0.12
12,CNN with Attention,"128 filters, kernel size 3",0.9349593495934959,0.9413489736070382,0.9876923076923076,0.9639639639639639,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.12
13,CNN with Attention,"256 filters, kernel size 7",0.8590785907859079,0.9627118644067797,0.8738461538461538,0.9161290322580644,0.44594594594594594,0.75,0.559322033898305,0.12
14,CNN with Attention,"256 filters, kernel size 5",0.924119241192412,0.9655172413793104,0.9476923076923077,0.9565217391304348,0.66,0.75,0.702127659574468,0.12
15,CNN with Attention,"256 filters, kernel size 3",0.9295392953929539,0.9657320872274143,0.9538461538461539,0.9597523219814241,0.6875,0.75,0.717391304347826,0.12
16,RNN,256 units,0.6639566395663956,1.0,0.6184615384615385,0.7642585551330799,0.2619047619047619,1.0,0.41509433962264153,0.12
17,RNN,128 units,0.6775067750677507,0.9813084112149533,0.6461538461538462,0.7792207792207791,0.25806451612903225,0.9090909090909091,0.4020100502512563,0.12
18,RNN,64 units,0.7479674796747967,0.9566929133858267,0.7476923076923077,0.8393782383419689,0.28695652173913044,0.75,0.4150943396226415,0.12
19,RNN,32 units,0.7235772357723578,0.9551020408163265,0.72,0.8210526315789473,0.2661290322580645,0.75,0.39285714285714285,0.12
20,CNN,"32 filters, kernel size 7",0.8915989159891599,0.9581993569131833,0.916923076923077,0.9371069182389937,0.5344827586206896,0.7045454545454546,0.607843137254902,0.12
21,CNN,"32 filters, kernel size 5",0.6693766937669376,0.9856459330143541,0.6338461538461538,0.7715355805243447,0.25625,0.9318181818181818,0.40196078431372545,0.12
22,CNN,"32 filters, kernel size 3",0.8373983739837398,0.974910394265233,0.8369230769230769,0.9006622516556292,0.4111111111111111,0.8409090909090909,0.5522388059701492,0.12
23,CNN,"64 filters, kernel size 7",0.8157181571815718,0.9672727272727273,0.8184615384615385,0.8866666666666666,0.3723404255319149,0.7954545454545454,0.5072463768115942,0.12
24,CNN,"64 filters, kernel size 5",0.8401084010840109,0.965034965034965,0.8492307692307692,0.9034369885433715,0.40963855421686746,0.7727272727272727,0.5354330708661418,0.12
25,CNN,"64 filters, kernel size 3",0.907859078590786,0.9739413680781759,0.92,0.9462025316455697,0.5806451612903226,0.8181818181818182,0.679245283018868,0.12
26,CNN,"128 filters, kernel size 7",0.94579945799458,0.9607250755287009,0.9784615384615385,0.9695121951219512,0.8157894736842105,0.7045454545454546,0.7560975609756098,0.12
27,CNN,"128 filters, kernel size 5",0.8888888888888888,0.9640522875816994,0.9076923076923077,0.9350237717908082,0.5238095238095238,0.75,0.6168224299065421,0.12
28,CNN,"128 filters, kernel size 3",0.9159891598915989,0.9651898734177216,0.9384615384615385,0.9516380655226209,0.6226415094339622,0.75,0.6804123711340205,0.12
29,CNN,"256 filters, kernel size 7",0.7208672086720868,0.9586776859504132,0.7138461538461538,0.818342151675485,0.2677165354330709,0.7727272727272727,0.3976608187134503,0.12
30,CNN,"256 filters, kernel size 5",0.8536585365853658,0.9656357388316151,0.8646153846153846,0.9123376623376622,0.4358974358974359,0.7727272727272727,0.5573770491803278,0.12
31,CNN,"256 filters, kernel size 3",0.8726287262872628,0.9727891156462585,0.88,0.9240710823909533,0.48,0.8181818181818182,0.6050420168067226,0.12
