,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.23300970873786409,1.0,0.16842105263157894,0.2882882882882883,0.09195402298850575,1.0,0.16842105263157897,0.08
1,LSTM,128 layers,0.19093851132686085,1.0,0.12280701754385964,0.21875,0.08759124087591241,1.0,0.16107382550335572,0.08
2,LSTM,64 layers,0.4045307443365696,1.0,0.3543859649122807,0.5233160621761658,0.11538461538461539,1.0,0.20689655172413793,0.08
3,LSTM,32 layers,0.36893203883495146,0.9891304347826086,0.3192982456140351,0.4827586206896552,0.10599078341013825,0.9583333333333334,0.19087136929460582,0.08
4,CNN with Attention,"32 filters, kernel size 7",0.42394822006472493,0.9349593495934959,0.40350877192982454,0.5637254901960784,0.08602150537634409,0.6666666666666666,0.1523809523809524,0.08
5,CNN with Attention,"32 filters, kernel size 5",0.5210355987055016,0.9477124183006536,0.5087719298245614,0.6621004566210046,0.10256410256410256,0.6666666666666666,0.17777777777777778,0.08
6,CNN with Attention,"32 filters, kernel size 3",0.4336569579288026,0.9435483870967742,0.4105263157894737,0.5721271393643031,0.0918918918918919,0.7083333333333334,0.16267942583732056,0.08
7,CNN with Attention,"64 filters, kernel size 7",0.4854368932038835,0.9565217391304348,0.4631578947368421,0.6241134751773051,0.10526315789473684,0.75,0.1846153846153846,0.08
8,CNN with Attention,"64 filters, kernel size 5",0.46601941747572817,0.9477611940298507,0.4456140350877193,0.6062052505966586,0.09714285714285714,0.7083333333333334,0.1708542713567839,0.08
9,CNN with Attention,"64 filters, kernel size 3",0.517799352750809,0.9358974358974359,0.512280701754386,0.6621315192743765,0.0915032679738562,0.5833333333333334,0.1581920903954802,0.08
10,CNN with Attention,"128 filters, kernel size 7",0.4627831715210356,0.983739837398374,0.4245614035087719,0.5931372549019608,0.11827956989247312,0.9166666666666666,0.20952380952380953,0.08
11,CNN with Attention,"128 filters, kernel size 5",0.44336569579288027,0.959349593495935,0.41403508771929826,0.5784313725490197,0.10215053763440861,0.7916666666666666,0.18095238095238098,0.08
12,CNN with Attention,"128 filters, kernel size 3",0.459546925566343,0.9402985074626866,0.4421052631578947,0.6014319809069213,0.09142857142857143,0.6666666666666666,0.16080402010050251,0.08
13,CNN with Attention,"256 filters, kernel size 7",0.4692556634304207,0.9763779527559056,0.43508771929824563,0.6019417475728156,0.11538461538461539,0.875,0.20388349514563106,0.08
14,CNN with Attention,"256 filters, kernel size 5",0.44660194174757284,0.9453125,0.4245614035087719,0.585956416464891,0.09392265193370165,0.7083333333333334,0.16585365853658535,0.08
15,CNN with Attention,"256 filters, kernel size 3",0.4563106796116505,0.9534883720930233,0.43157894736842106,0.5942028985507247,0.1,0.75,0.17647058823529416,0.08
16,RNN,256 units,0.7152103559870551,0.9417040358744395,0.7368421052631579,0.8267716535433071,0.12790697674418605,0.4583333333333333,0.2,0.08
17,RNN,128 units,0.5501618122977346,0.9620253164556962,0.5333333333333333,0.6862302483069976,0.11920529801324503,0.75,0.20571428571428574,0.08
18,RNN,64 units,0.6472491909385113,0.9583333333333334,0.6456140350877193,0.7714884696016772,0.13675213675213677,0.6666666666666666,0.22695035460992907,0.08
19,RNN,32 units,0.41423948220064727,0.9814814814814815,0.3719298245614035,0.539440203562341,0.10945273631840796,0.9166666666666666,0.19555555555555557,0.08
20,CNN,"32 filters, kernel size 7",0.42718446601941745,0.9655172413793104,0.3929824561403509,0.5586034912718205,0.10362694300518134,0.8333333333333334,0.18433179723502302,0.08
21,CNN,"32 filters, kernel size 5",0.49838187702265374,0.9779411764705882,0.4666666666666667,0.6318289786223278,0.12138728323699421,0.875,0.2131979695431472,0.08
22,CNN,"32 filters, kernel size 3",0.4886731391585761,0.9568345323741008,0.4666666666666667,0.6273584905660379,0.10588235294117647,0.75,0.18556701030927836,0.08
23,CNN,"64 filters, kernel size 7",0.42071197411003236,0.9649122807017544,0.38596491228070173,0.5513784461152882,0.10256410256410256,0.8333333333333334,0.182648401826484,0.08
24,CNN,"64 filters, kernel size 5",0.4692556634304207,0.984,0.43157894736842106,0.6,0.11956521739130435,0.9166666666666666,0.21153846153846156,0.08
25,CNN,"64 filters, kernel size 3",0.5048543689320388,0.9647887323943662,0.4807017543859649,0.6416861826697893,0.11377245508982035,0.7916666666666666,0.19895287958115182,0.08
26,CNN,"128 filters, kernel size 7",0.49838187702265374,0.9710144927536232,0.47017543859649125,0.6335697399527187,0.11695906432748537,0.8333333333333334,0.20512820512820512,0.08
27,CNN,"128 filters, kernel size 5",0.47572815533980584,0.9767441860465116,0.4421052631578947,0.608695652173913,0.11666666666666667,0.875,0.20588235294117646,0.08
28,CNN,"128 filters, kernel size 3",0.49514563106796117,0.9708029197080292,0.4666666666666667,0.6303317535545023,0.11627906976744186,0.8333333333333334,0.20408163265306123,0.08
29,CNN,"256 filters, kernel size 7",0.5275080906148867,0.9426751592356688,0.519298245614035,0.669683257918552,0.09868421052631579,0.625,0.17045454545454547,0.08
30,CNN,"256 filters, kernel size 5",0.45307443365695793,0.9603174603174603,0.4245614035087719,0.5888077858880778,0.10382513661202186,0.7916666666666666,0.18357487922705315,0.08
31,CNN,"256 filters, kernel size 3",0.511326860841424,0.958904109589041,0.49122807017543857,0.6496519721577726,0.11042944785276074,0.75,0.1925133689839572,0.08
