,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.11924119241192412,0.0,0.0,0.0,0.11924119241192412,1.0,0.21307506053268765,0.12
1,LSTM,128 layers,0.3089430894308943,0.9605263157894737,0.2246153846153846,0.36408977556109723,0.13993174061433447,0.9318181818181818,0.2433234421364985,0.12
2,LSTM,64 layers,0.2005420054200542,1.0,0.09230769230769231,0.16901408450704225,0.12979351032448377,1.0,0.22976501305483027,0.12
3,LSTM,32 layers,0.12466124661246612,0.625,0.015384615384615385,0.030030030030030033,0.11357340720221606,0.9318181818181818,0.20246913580246914,0.12
4,CNN with Attention,"32 filters, kernel size 7",0.11924119241192412,0.0,0.0,0.0,0.11924119241192412,1.0,0.21307506053268765,0.12
5,CNN with Attention,"32 filters, kernel size 5",0.14092140921409213,1.0,0.024615384615384615,0.04804804804804804,0.12188365650969529,1.0,0.21728395061728398,0.12
6,CNN with Attention,"32 filters, kernel size 3",0.15176151761517614,1.0,0.036923076923076927,0.07121661721068251,0.12324929971988796,1.0,0.21945137157107233,0.12
7,CNN with Attention,"64 filters, kernel size 7",0.12195121951219512,1.0,0.003076923076923077,0.006134969325153375,0.11956521739130435,1.0,0.21359223300970873,0.12
8,CNN with Attention,"64 filters, kernel size 5",0.11924119241192412,0.0,0.0,0.0,0.11924119241192412,1.0,0.21307506053268765,0.12
9,CNN with Attention,"64 filters, kernel size 3",0.12195121951219512,1.0,0.003076923076923077,0.006134969325153375,0.11956521739130435,1.0,0.21359223300970873,0.12
10,CNN with Attention,"128 filters, kernel size 7",0.12195121951219512,1.0,0.003076923076923077,0.006134969325153375,0.11956521739130435,1.0,0.21359223300970873,0.12
11,CNN with Attention,"128 filters, kernel size 5",0.11924119241192412,0.0,0.0,0.0,0.11924119241192412,1.0,0.21307506053268765,0.12
12,CNN with Attention,"128 filters, kernel size 3",0.11924119241192412,0.0,0.0,0.0,0.11924119241192412,1.0,0.21307506053268765,0.12
13,CNN with Attention,"256 filters, kernel size 7",0.14092140921409213,1.0,0.024615384615384615,0.04804804804804804,0.12188365650969529,1.0,0.21728395061728398,0.12
14,CNN with Attention,"256 filters, kernel size 5",0.13279132791327913,1.0,0.015384615384615385,0.030303030303030307,0.12087912087912088,1.0,0.21568627450980393,0.12
15,CNN with Attention,"256 filters, kernel size 3",0.1842818428184282,1.0,0.07384615384615385,0.13753581661891118,0.12753623188405797,1.0,0.2262210796915167,0.12
16,RNN,256 units,0.2764227642276423,0.953125,0.18769230769230769,0.31362467866323906,0.13442622950819672,0.9318181818181818,0.23495702005730656,0.12
17,RNN,128 units,0.11924119241192412,0.0,0.0,0.0,0.11924119241192412,1.0,0.21307506053268765,0.12
18,RNN,64 units,0.13279132791327913,1.0,0.015384615384615385,0.030303030303030307,0.12087912087912088,1.0,0.21568627450980393,0.12
19,RNN,32 units,0.18157181571815717,1.0,0.07076923076923076,0.13218390804597702,0.12716763005780346,1.0,0.22564102564102562,0.12
20,CNN,"32 filters, kernel size 7",0.13279132791327913,1.0,0.015384615384615385,0.030303030303030307,0.12087912087912088,1.0,0.21568627450980393,0.12
21,CNN,"32 filters, kernel size 5",0.14905149051490515,1.0,0.033846153846153845,0.06547619047619048,0.12290502793296089,1.0,0.21890547263681592,0.12
22,CNN,"32 filters, kernel size 3",0.13008130081300814,1.0,0.012307692307692308,0.0243161094224924,0.12054794520547946,1.0,0.215158924205379,0.12
23,CNN,"64 filters, kernel size 7",0.15447154471544716,0.8421052631578947,0.04923076923076923,0.0930232558139535,0.11714285714285715,0.9318181818181818,0.20812182741116753,0.12
24,CNN,"64 filters, kernel size 5",0.11924119241192412,0.0,0.0,0.0,0.11924119241192412,1.0,0.21307506053268765,0.12
25,CNN,"64 filters, kernel size 3",0.18157181571815717,0.96,0.07384615384615385,0.13714285714285715,0.125,0.9772727272727273,0.22164948453608246,0.12
26,CNN,"128 filters, kernel size 7",0.13550135501355012,1.0,0.018461538461538463,0.03625377643504532,0.12121212121212122,1.0,0.21621621621621626,0.12
27,CNN,"128 filters, kernel size 5",0.12466124661246612,1.0,0.006153846153846154,0.012232415902140673,0.11989100817438691,1.0,0.2141119221411192,0.12
28,CNN,"128 filters, kernel size 3",0.13008130081300814,0.8333333333333334,0.015384615384615385,0.030211480362537763,0.1184573002754821,0.9772727272727273,0.2113022113022113,0.12
29,CNN,"256 filters, kernel size 7",0.19241192411924118,0.8648648648648649,0.09846153846153846,0.17679558011049723,0.11746987951807229,0.8863636363636364,0.20744680851063832,0.12
30,CNN,"256 filters, kernel size 5",0.14092140921409213,1.0,0.024615384615384615,0.04804804804804804,0.12188365650969529,1.0,0.21728395061728398,0.12
31,CNN,"256 filters, kernel size 3",0.16531165311653118,1.0,0.052307692307692305,0.09941520467836255,0.125,1.0,0.2222222222222222,0.12
