,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9683377308707124,0.9916434540389972,0.9753424657534246,0.9834254143646408,0.55,0.7857142857142857,0.6470588235294117,0.04
1,LSTM,128 layers,0.9551451187335093,0.9887640449438202,0.9643835616438357,0.9764216366158114,0.43478260869565216,0.7142857142857143,0.5405405405405405,0.04
2,LSTM,64 layers,0.5883905013192612,0.986046511627907,0.5808219178082191,0.7310344827586207,0.06707317073170732,0.7857142857142857,0.12359550561797755,0.04
3,LSTM,32 layers,0.9551451187335093,0.9887640449438202,0.9643835616438357,0.9764216366158114,0.43478260869565216,0.7142857142857143,0.5405405405405405,0.04
4,CNN with Attention,"32 filters, kernel size 7",0.8944591029023746,0.9969418960244648,0.8931506849315068,0.9421965317919075,0.25,0.9285714285714286,0.3939393939393939,0.04
5,CNN with Attention,"32 filters, kernel size 5",0.8865435356200527,0.9969135802469136,0.8849315068493151,0.9375907111756169,0.23636363636363636,0.9285714285714286,0.37681159420289856,0.04
6,CNN with Attention,"32 filters, kernel size 3",0.9472295514511874,0.9971181556195965,0.947945205479452,0.9719101123595505,0.40625,0.9285714285714286,0.5652173913043478,0.04
7,CNN with Attention,"64 filters, kernel size 7",0.862796833773087,0.9968253968253968,0.8602739726027397,0.9235294117647058,0.203125,0.9285714285714286,0.3333333333333333,0.04
8,CNN with Attention,"64 filters, kernel size 5",0.8812664907651715,0.9968944099378882,0.8794520547945206,0.9344978165938865,0.22807017543859648,0.9285714285714286,0.3661971830985915,0.04
9,CNN with Attention,"64 filters, kernel size 3",0.8970976253298153,0.9969512195121951,0.8958904109589041,0.9437229437229439,0.2549019607843137,0.9285714285714286,0.39999999999999997,0.04
10,CNN with Attention,"128 filters, kernel size 7",0.8548812664907651,0.9967948717948718,0.852054794520548,0.9187592319054654,0.19402985074626866,0.9285714285714286,0.32098765432098764,0.04
11,CNN with Attention,"128 filters, kernel size 5",0.8707124010554089,0.9968553459119497,0.8684931506849315,0.9282576866764276,0.21311475409836064,0.9285714285714286,0.3466666666666666,0.04
12,CNN with Attention,"128 filters, kernel size 3",0.8970976253298153,0.9969512195121951,0.8958904109589041,0.9437229437229439,0.2549019607843137,0.9285714285714286,0.39999999999999997,0.04
13,CNN with Attention,"256 filters, kernel size 7",0.8601583113456465,0.9968152866242038,0.8575342465753425,0.9219440353460973,0.2,0.9285714285714286,0.32911392405063294,0.04
14,CNN with Attention,"256 filters, kernel size 5",0.8469656992084432,0.9967637540453075,0.8438356164383561,0.913946587537092,0.18571428571428572,0.9285714285714286,0.30952380952380953,0.04
15,CNN with Attention,"256 filters, kernel size 3",0.899736147757256,0.9969604863221885,0.8986301369863013,0.9452449567723343,0.26,0.9285714285714286,0.40625,0.04
16,RNN,256 units,0.9709762532981531,0.9916666666666667,0.9780821917808219,0.9848275862068965,0.5789473684210527,0.7857142857142857,0.6666666666666667,0.04
17,RNN,128 units,0.9261213720316622,0.9884057971014493,0.9342465753424658,0.9605633802816901,0.29411764705882354,0.7142857142857143,0.4166666666666667,0.04
18,RNN,64 units,0.9050131926121372,0.9969788519637462,0.9041095890410958,0.9482758620689654,0.2708333333333333,0.9285714285714286,0.41935483870967744,0.04
19,RNN,32 units,0.8839050131926122,0.9969040247678018,0.8821917808219178,0.936046511627907,0.23214285714285715,0.9285714285714286,0.3714285714285714,0.04
20,CNN,"32 filters, kernel size 7",0.7941952506596306,0.9965397923875432,0.7890410958904109,0.8807339449541284,0.14444444444444443,0.9285714285714286,0.25,0.04
21,CNN,"32 filters, kernel size 5",0.8680738786279684,0.9968454258675079,0.8657534246575342,0.9266862170087976,0.20967741935483872,0.9285714285714286,0.34210526315789475,0.04
22,CNN,"32 filters, kernel size 3",0.9129287598944591,0.9940476190476191,0.915068493150685,0.9529243937232524,0.27906976744186046,0.8571428571428571,0.4210526315789474,0.04
23,CNN,"64 filters, kernel size 7",0.8707124010554089,0.9968553459119497,0.8684931506849315,0.9282576866764276,0.21311475409836064,0.9285714285714286,0.3466666666666666,0.04
24,CNN,"64 filters, kernel size 5",0.8759894459102903,0.996875,0.873972602739726,0.9313868613138685,0.22033898305084745,0.9285714285714286,0.3561643835616438,0.04
25,CNN,"64 filters, kernel size 3",0.920844327176781,0.9970326409495549,0.9205479452054794,0.9572649572649572,0.30952380952380953,0.9285714285714286,0.46428571428571436,0.04
26,CNN,"128 filters, kernel size 7",0.9023746701846965,0.996969696969697,0.9013698630136986,0.9467625899280574,0.2653061224489796,0.9285714285714286,0.4126984126984127,0.04
27,CNN,"128 filters, kernel size 5",0.9023746701846965,0.996969696969697,0.9013698630136986,0.9467625899280574,0.2653061224489796,0.9285714285714286,0.4126984126984127,0.04
28,CNN,"128 filters, kernel size 3",0.9234828496042217,0.9970414201183432,0.9232876712328767,0.9587482219061166,0.3170731707317073,0.9285714285714286,0.4727272727272727,0.04
29,CNN,"256 filters, kernel size 7",0.9050131926121372,0.9969788519637462,0.9041095890410958,0.9482758620689654,0.2708333333333333,0.9285714285714286,0.41935483870967744,0.04
30,CNN,"256 filters, kernel size 5",0.9129287598944591,0.9970059880239521,0.9123287671232877,0.9527896995708155,0.28888888888888886,0.9285714285714286,0.44067796610169485,0.04
31,CNN,"256 filters, kernel size 3",0.920844327176781,0.9970326409495549,0.9205479452054794,0.9572649572649572,0.30952380952380953,0.9285714285714286,0.46428571428571436,0.04
