,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.8575197889182058,0.9935275080906149,0.8551532033426184,0.9191616766467066,0.2571428571428571,0.9,0.39999999999999997,0.05
1,LSTM,128 layers,0.5936675461741425,0.9904306220095693,0.5766016713091922,0.7288732394366196,0.10588235294117647,0.9,0.18947368421052632,0.05
2,LSTM,64 layers,0.3324538258575198,0.9907407407407407,0.298050139275766,0.4582441113490364,0.07011070110701106,0.95,0.13058419243986252,0.05
3,LSTM,32 layers,0.9577836411609498,0.9942363112391931,0.9610027855153204,0.9773371104815864,0.5625,0.9,0.6923076923076923,0.05
4,CNN with Attention,"32 filters, kernel size 7",0.9498680738786279,1.0,0.947075208913649,0.972818311874106,0.5128205128205128,1.0,0.6779661016949152,0.05
5,CNN with Attention,"32 filters, kernel size 5",0.9709762532981531,0.9943181818181818,0.9749303621169917,0.9845288326300984,0.6666666666666666,0.9,0.7659574468085106,0.05
6,CNN with Attention,"32 filters, kernel size 3",0.9604221635883905,0.9942528735632183,0.9637883008356546,0.9787835926449788,0.5806451612903226,0.9,0.7058823529411764,0.05
7,CNN with Attention,"64 filters, kernel size 7",0.9656992084432717,0.9942857142857143,0.9693593314763231,0.9816643159379409,0.6206896551724138,0.9,0.7346938775510204,0.05
8,CNN with Attention,"64 filters, kernel size 5",0.9604221635883905,0.9942528735632183,0.9637883008356546,0.9787835926449788,0.5806451612903226,0.9,0.7058823529411764,0.05
9,CNN with Attention,"64 filters, kernel size 3",0.9656992084432717,0.9942857142857143,0.9693593314763231,0.9816643159379409,0.6206896551724138,0.9,0.7346938775510204,0.05
10,CNN with Attention,"128 filters, kernel size 7",0.9656992084432717,0.9942857142857143,0.9693593314763231,0.9816643159379409,0.6206896551724138,0.9,0.7346938775510204,0.05
11,CNN with Attention,"128 filters, kernel size 5",0.9762532981530343,0.9943502824858758,0.9805013927576601,0.9873772791023843,0.72,0.9,0.7999999999999999,0.05
12,CNN with Attention,"128 filters, kernel size 3",0.9630606860158312,0.994269340974212,0.9665738161559888,0.9802259887005649,0.6,0.9,0.7200000000000001,0.05
13,CNN with Attention,"256 filters, kernel size 7",0.9656992084432717,0.9942857142857143,0.9693593314763231,0.9816643159379409,0.6206896551724138,0.9,0.7346938775510204,0.05
14,CNN with Attention,"256 filters, kernel size 5",0.9683377308707124,0.9943019943019943,0.9721448467966574,0.9830985915492959,0.6428571428571429,0.9,0.75,0.05
15,CNN with Attention,"256 filters, kernel size 3",0.9551451187335093,0.9942196531791907,0.958217270194986,0.975886524822695,0.5454545454545454,0.9,0.679245283018868,0.05
16,RNN,256 units,0.9736147757255936,0.9943342776203966,0.9777158774373259,0.9859550561797753,0.6923076923076923,0.9,0.7826086956521738,0.05
17,RNN,128 units,0.9498680738786279,0.9941860465116279,0.9526462395543176,0.972972972972973,0.5142857142857142,0.9,0.6545454545454545,0.05
18,RNN,64 units,0.9577836411609498,0.9942363112391931,0.9610027855153204,0.9773371104815864,0.5625,0.9,0.6923076923076923,0.05
19,RNN,32 units,0.8100263852242744,1.0,0.7994428969359332,0.8885448916408669,0.21739130434782608,1.0,0.3571428571428571,0.05
20,CNN,"32 filters, kernel size 7",0.9709762532981531,0.9943181818181818,0.9749303621169917,0.9845288326300984,0.6666666666666666,0.9,0.7659574468085106,0.05
21,CNN,"32 filters, kernel size 5",0.9683377308707124,0.9943019943019943,0.9721448467966574,0.9830985915492959,0.6428571428571429,0.9,0.75,0.05
22,CNN,"32 filters, kernel size 3",0.9709762532981531,0.9943181818181818,0.9749303621169917,0.9845288326300984,0.6666666666666666,0.9,0.7659574468085106,0.05
23,CNN,"64 filters, kernel size 7",0.9656992084432717,0.9942857142857143,0.9693593314763231,0.9816643159379409,0.6206896551724138,0.9,0.7346938775510204,0.05
24,CNN,"64 filters, kernel size 5",0.9683377308707124,0.9943019943019943,0.9721448467966574,0.9830985915492959,0.6428571428571429,0.9,0.75,0.05
25,CNN,"64 filters, kernel size 3",0.9815303430079155,0.9943820224719101,0.9860724233983287,0.9902097902097902,0.782608695652174,0.9,0.8372093023255814,0.05
26,CNN,"128 filters, kernel size 7",0.9472295514511874,0.9941690962099126,0.9498607242339833,0.9715099715099714,0.5,0.9,0.6428571428571429,0.05
27,CNN,"128 filters, kernel size 5",0.9709762532981531,0.9943181818181818,0.9749303621169917,0.9845288326300984,0.6666666666666666,0.9,0.7659574468085106,0.05
28,CNN,"128 filters, kernel size 3",0.9604221635883905,0.9942528735632183,0.9637883008356546,0.9787835926449788,0.5806451612903226,0.9,0.7058823529411764,0.05
29,CNN,"256 filters, kernel size 7",0.9630606860158312,0.994269340974212,0.9665738161559888,0.9802259887005649,0.6,0.9,0.7200000000000001,0.05
30,CNN,"256 filters, kernel size 5",0.9736147757255936,0.9943342776203966,0.9777158774373259,0.9859550561797753,0.6923076923076923,0.9,0.7826086956521738,0.05
31,CNN,"256 filters, kernel size 3",0.9894459102902374,0.9944289693593314,0.9944289693593314,0.9944289693593314,0.9,0.9,0.9,0.05
