,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.07736389684813753,1.0,0.027190332326283987,0.05294117647058823,0.052941176470588235,1.0,0.10055865921787709,0.05
1,LSTM,128 layers,0.20630372492836677,1.0,0.16314199395770393,0.2805194805194805,0.061016949152542375,1.0,0.11501597444089458,0.05
2,LSTM,64 layers,0.7822349570200573,0.9775280898876404,0.7885196374622356,0.8729096989966555,0.14634146341463414,0.6666666666666666,0.24,0.05
3,LSTM,32 layers,0.24068767908309455,1.0,0.19939577039274925,0.3324937027707809,0.0636042402826855,1.0,0.11960132890365448,0.05
4,CNN with Attention,"32 filters, kernel size 7",0.1346704871060172,1.0,0.08761329305135952,0.16111111111111112,0.05625,1.0,0.10650887573964499,0.05
5,CNN with Attention,"32 filters, kernel size 5",0.11461318051575932,1.0,0.06646525679758308,0.12464589235127478,0.05504587155963303,1.0,0.10434782608695652,0.05
6,CNN with Attention,"32 filters, kernel size 3",0.11174785100286533,1.0,0.0634441087613293,0.11931818181818181,0.054878048780487805,1.0,0.10404624277456646,0.05
7,CNN with Attention,"64 filters, kernel size 7",0.12893982808022922,1.0,0.08157099697885196,0.15083798882681562,0.055900621118012424,1.0,0.10588235294117647,0.05
8,CNN with Attention,"64 filters, kernel size 5",0.1318051575931232,1.0,0.08459214501510574,0.15598885793871867,0.056074766355140186,1.0,0.10619469026548672,0.05
9,CNN with Attention,"64 filters, kernel size 3",0.13753581661891118,1.0,0.09063444108761329,0.16620498614958448,0.05642633228840126,1.0,0.10682492581602374,0.05
10,CNN with Attention,"128 filters, kernel size 7",0.10315186246418338,1.0,0.054380664652567974,0.10315186246418338,0.054380664652567974,1.0,0.10315186246418338,0.05
11,CNN with Attention,"128 filters, kernel size 5",0.15759312320916904,1.0,0.11178247734138973,0.2010869565217391,0.057692307692307696,1.0,0.1090909090909091,0.05
12,CNN with Attention,"128 filters, kernel size 3",0.12607449856733524,1.0,0.07854984894259819,0.1456582633053221,0.05572755417956656,1.0,0.10557184750733138,0.05
13,CNN with Attention,"256 filters, kernel size 7",0.12893982808022922,1.0,0.08157099697885196,0.15083798882681562,0.055900621118012424,1.0,0.10588235294117647,0.05
14,CNN with Attention,"256 filters, kernel size 5",0.13753581661891118,1.0,0.09063444108761329,0.16620498614958448,0.05642633228840126,1.0,0.10682492581602374,0.05
15,CNN with Attention,"256 filters, kernel size 3",0.12893982808022922,1.0,0.08157099697885196,0.15083798882681562,0.055900621118012424,1.0,0.10588235294117647,0.05
16,RNN,256 units,0.36103151862464183,0.9821428571428571,0.3323262839879154,0.4966139954853273,0.06751054852320675,0.8888888888888888,0.12549019607843137,0.05
17,RNN,128 units,0.8681948424068768,0.9765886287625418,0.8821752265861027,0.9269841269841269,0.22,0.6111111111111112,0.3235294117647059,0.05
18,RNN,64 units,0.9140401146131805,0.9808306709265175,0.9274924471299094,0.953416149068323,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.05
19,RNN,32 units,0.7249283667621776,0.9757085020242915,0.7280966767371602,0.8339100346020762,0.11764705882352941,0.6666666666666666,0.2,0.05
20,CNN,"32 filters, kernel size 7",0.09169054441260745,1.0,0.04229607250755287,0.08115942028985507,0.05373134328358209,1.0,0.1019830028328612,0.05
21,CNN,"32 filters, kernel size 5",0.7994269340974212,0.981549815498155,0.8036253776435045,0.8837209302325582,0.16666666666666666,0.7222222222222222,0.2708333333333333,0.05
22,CNN,"32 filters, kernel size 3",0.22063037249283668,1.0,0.1782477341389728,0.30256410256410254,0.06206896551724138,1.0,0.1168831168831169,0.05
23,CNN,"64 filters, kernel size 7",0.12034383954154727,1.0,0.07250755287009064,0.13521126760563382,0.055384615384615386,1.0,0.10495626822157435,0.05
24,CNN,"64 filters, kernel size 5",0.12034383954154727,1.0,0.07250755287009064,0.13521126760563382,0.055384615384615386,1.0,0.10495626822157435,0.05
25,CNN,"64 filters, kernel size 3",0.18911174785100288,1.0,0.14501510574018128,0.2532981530343008,0.059800664451827246,1.0,0.11285266457680251,0.05
26,CNN,"128 filters, kernel size 7",0.36103151862464183,1.0,0.32628398791540786,0.4920273348519362,0.07468879668049792,1.0,0.138996138996139,0.05
27,CNN,"128 filters, kernel size 5",0.19197707736389685,1.0,0.14803625377643503,0.25789473684210523,0.06,1.0,0.11320754716981131,0.05
28,CNN,"128 filters, kernel size 3",0.27507163323782235,1.0,0.23564954682779457,0.38141809290953543,0.06642066420664207,1.0,0.12456747404844291,0.05
29,CNN,"256 filters, kernel size 7",0.10315186246418338,1.0,0.054380664652567974,0.10315186246418338,0.054380664652567974,1.0,0.10315186246418338,0.05
30,CNN,"256 filters, kernel size 5",0.11461318051575932,1.0,0.06646525679758308,0.12464589235127478,0.05504587155963303,1.0,0.10434782608695652,0.05
31,CNN,"256 filters, kernel size 3",0.2979942693409742,1.0,0.2598187311178248,0.41247002398081534,0.06844106463878327,1.0,0.12811387900355872,0.05
