,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.7452574525745257,0.9847908745247148,0.7421203438395415,0.8464052287581699,0.1509433962264151,0.8,0.25396825396825395,0.05
1,LSTM,128 layers,0.8048780487804879,0.9893992932862191,0.8022922636103151,0.8860759493670884,0.19767441860465115,0.85,0.32075471698113206,0.05
2,LSTM,64 layers,0.4905149051490515,0.9707602339181286,0.47564469914040114,0.6384615384615384,0.07575757575757576,0.75,0.13761467889908258,0.05
3,LSTM,32 layers,0.8915989159891599,0.9753846153846154,0.9083094555873925,0.9406528189910978,0.2727272727272727,0.6,0.37499999999999994,0.05
4,CNN with Attention,"32 filters, kernel size 7",0.07317073170731707,0.6129032258064516,0.054441260744985676,0.1,0.023668639053254437,0.4,0.04469273743016759,0.05
5,CNN with Attention,"32 filters, kernel size 5",0.07046070460704607,0.59375,0.054441260744985676,0.09973753280839895,0.020771513353115726,0.35,0.0392156862745098,0.05
6,CNN with Attention,"32 filters, kernel size 3",0.08130081300813008,0.6785714285714286,0.054441260744985676,0.10079575596816977,0.03225806451612903,0.55,0.060941828254847646,0.05
7,CNN with Attention,"64 filters, kernel size 7",0.08130081300813008,0.6785714285714286,0.054441260744985676,0.10079575596816977,0.03225806451612903,0.55,0.060941828254847646,0.05
8,CNN with Attention,"64 filters, kernel size 5",0.07859078590785908,0.6551724137931034,0.054441260744985676,0.10052910052910054,0.029411764705882353,0.5,0.05555555555555555,0.05
9,CNN with Attention,"64 filters, kernel size 3",0.07859078590785908,0.6551724137931034,0.054441260744985676,0.10052910052910054,0.029411764705882353,0.5,0.05555555555555555,0.05
10,CNN with Attention,"128 filters, kernel size 7",0.06775067750677506,0.5757575757575758,0.054441260744985676,0.09947643979057591,0.017857142857142856,0.3,0.033707865168539325,0.05
11,CNN with Attention,"128 filters, kernel size 5",0.06504065040650407,0.5588235294117647,0.054441260744985676,0.09921671018276762,0.014925373134328358,0.25,0.028169014084507043,0.05
12,CNN with Attention,"128 filters, kernel size 3",0.07588075880758807,0.6333333333333333,0.054441260744985676,0.10026385224274408,0.02654867256637168,0.45,0.05013927576601671,0.05
13,CNN with Attention,"256 filters, kernel size 7",0.07588075880758807,0.6333333333333333,0.054441260744985676,0.10026385224274408,0.02654867256637168,0.45,0.05013927576601671,0.05
14,CNN with Attention,"256 filters, kernel size 5",0.07859078590785908,0.6551724137931034,0.054441260744985676,0.10052910052910054,0.029411764705882353,0.5,0.05555555555555555,0.05
15,CNN with Attention,"256 filters, kernel size 3",0.07859078590785908,0.6551724137931034,0.054441260744985676,0.10052910052910054,0.029411764705882353,0.5,0.05555555555555555,0.05
16,RNN,256 units,0.06504065040650407,0.8333333333333334,0.014326647564469915,0.028169014084507046,0.05234159779614325,0.95,0.09921671018276762,0.05
17,RNN,128 units,0.07588075880758807,0.6333333333333333,0.054441260744985676,0.10026385224274408,0.02654867256637168,0.45,0.05013927576601671,0.05
18,RNN,64 units,0.8834688346883469,0.9872611464968153,0.8882521489971347,0.9351432880844645,0.2909090909090909,0.8,0.4266666666666667,0.05
19,RNN,32 units,0.8455284552845529,0.974025974025974,0.8595988538681948,0.9132420091324202,0.19672131147540983,0.6,0.2962962962962963,0.05
20,CNN,"32 filters, kernel size 7",0.08130081300813008,0.625,0.07163323782234957,0.12853470437017994,0.015197568389057751,0.25,0.028653295128939833,0.05
21,CNN,"32 filters, kernel size 5",0.07859078590785908,0.6666666666666666,0.05157593123209169,0.09574468085106383,0.03216374269005848,0.55,0.06077348066298342,0.05
22,CNN,"32 filters, kernel size 3",0.5799457994579946,0.9532710280373832,0.5845272206303725,0.7246891651865008,0.06451612903225806,0.5,0.1142857142857143,0.05
23,CNN,"64 filters, kernel size 7",0.08401084010840108,0.7037037037037037,0.054441260744985676,0.10106382978723404,0.03508771929824561,0.6,0.06629834254143646,0.05
24,CNN,"64 filters, kernel size 5",0.14905149051490515,0.8181818181818182,0.12893982808022922,0.22277227722772278,0.03184713375796178,0.5,0.059880239520958084,0.05
25,CNN,"64 filters, kernel size 3",0.08130081300813008,0.6785714285714286,0.054441260744985676,0.10079575596816977,0.03225806451612903,0.55,0.060941828254847646,0.05
26,CNN,"128 filters, kernel size 7",0.08401084010840108,0.6774193548387096,0.06017191977077364,0.1105263157894737,0.029585798816568046,0.5,0.05586592178770949,0.05
27,CNN,"128 filters, kernel size 5",0.08672086720867209,0.7,0.06017191977077364,0.1108179419525066,0.032448377581120944,0.55,0.06128133704735375,0.05
28,CNN,"128 filters, kernel size 3",0.11382113821138211,0.775,0.08882521489971347,0.15938303341902313,0.03343465045592705,0.55,0.0630372492836676,0.05
29,CNN,"256 filters, kernel size 7",0.08130081300813008,0.6470588235294118,0.06303724928366762,0.11488250652741513,0.023880597014925373,0.4,0.04507042253521126,0.05
30,CNN,"256 filters, kernel size 5",0.07859078590785908,0.6666666666666666,0.05157593123209169,0.09574468085106383,0.03216374269005848,0.55,0.06077348066298342,0.05
31,CNN,"256 filters, kernel size 3",0.45528455284552843,0.9683544303797469,0.4383954154727794,0.6035502958579881,0.07109004739336493,0.75,0.12987012987012986,0.05
