,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9944289693593314,0.9941348973607038,1.0,0.9970588235294118,1.0,0.9,0.9473684210526316,0.06
1,LSTM,128 layers,0.7855153203342619,1.0,0.7728613569321534,0.8718801996672213,0.20618556701030927,1.0,0.3418803418803419,0.06
2,LSTM,64 layers,0.6350974930362117,1.0,0.6135693215339233,0.7605118829981719,0.13245033112582782,1.0,0.23391812865497078,0.06
3,LSTM,32 layers,0.7437325905292479,1.0,0.7286135693215339,0.8430034129692833,0.17857142857142858,1.0,0.30303030303030304,0.06
4,CNN with Attention,"32 filters, kernel size 7",0.8356545961002786,1.0,0.8259587020648967,0.9046849757673666,0.25316455696202533,1.0,0.4040404040404041,0.06
5,CNN with Attention,"32 filters, kernel size 5",0.9526462395543176,1.0,0.9498525073746312,0.9742813918305598,0.5405405405405406,1.0,0.7017543859649124,0.06
6,CNN with Attention,"32 filters, kernel size 3",0.8022284122562674,1.0,0.7905604719764012,0.8830313014827018,0.21978021978021978,1.0,0.36036036036036034,0.06
7,CNN with Attention,"64 filters, kernel size 7",0.8467966573816156,1.0,0.8377581120943953,0.9117174959871589,0.26666666666666666,1.0,0.4210526315789474,0.06
8,CNN with Attention,"64 filters, kernel size 5",0.83008356545961,1.0,0.8200589970501475,0.9011345218800648,0.24691358024691357,1.0,0.396039603960396,0.06
9,CNN with Attention,"64 filters, kernel size 3",0.8245125348189415,1.0,0.8141592920353983,0.8975609756097562,0.24096385542168675,1.0,0.38834951456310685,0.06
10,CNN with Attention,"128 filters, kernel size 7",0.8384401114206128,1.0,0.8289085545722714,0.9064516129032258,0.2564102564102564,1.0,0.4081632653061224,0.06
11,CNN with Attention,"128 filters, kernel size 5",0.8105849582172702,1.0,0.799410029498525,0.8885245901639345,0.22727272727272727,1.0,0.37037037037037035,0.06
12,CNN with Attention,"128 filters, kernel size 3",0.8607242339832869,1.0,0.8525073746312685,0.9203821656050956,0.2857142857142857,1.0,0.4444444444444445,0.06
13,CNN with Attention,"256 filters, kernel size 7",0.8969359331476323,1.0,0.8908554572271387,0.9422776911076444,0.3508771929824561,1.0,0.5194805194805194,0.06
14,CNN with Attention,"256 filters, kernel size 5",0.807799442896936,1.0,0.7964601769911505,0.8866995073891626,0.2247191011235955,1.0,0.36697247706422015,0.06
15,CNN with Attention,"256 filters, kernel size 3",0.8022284122562674,1.0,0.7905604719764012,0.8830313014827018,0.21978021978021978,1.0,0.36036036036036034,0.06
16,RNN,256 units,0.9610027855153204,0.993920972644377,0.9646017699115044,0.9790419161676647,0.6,0.9,0.7200000000000001,0.06
17,RNN,128 units,0.9832869080779945,1.0,0.9823008849557522,0.9910714285714286,0.7692307692307693,1.0,0.8695652173913044,0.06
18,RNN,64 units,0.9888579387186629,0.9941002949852508,0.9941002949852508,0.9941002949852508,0.9,0.9,0.9,0.06
19,RNN,32 units,0.9080779944289693,1.0,0.9026548672566371,0.9488372093023255,0.37735849056603776,1.0,0.5479452054794521,0.06
20,CNN,"32 filters, kernel size 7",0.807799442896936,1.0,0.7964601769911505,0.8866995073891626,0.2247191011235955,1.0,0.36697247706422015,0.06
21,CNN,"32 filters, kernel size 5",0.8105849582172702,1.0,0.799410029498525,0.8885245901639345,0.22727272727272727,1.0,0.37037037037037035,0.06
22,CNN,"32 filters, kernel size 3",0.8189415041782729,1.0,0.8082595870206489,0.8939641109298531,0.23529411764705882,1.0,0.38095238095238093,0.06
23,CNN,"64 filters, kernel size 7",0.7938718662952646,1.0,0.7817109144542773,0.8774834437086093,0.2127659574468085,1.0,0.3508771929824561,0.06
24,CNN,"64 filters, kernel size 5",0.8384401114206128,1.0,0.8289085545722714,0.9064516129032258,0.2564102564102564,1.0,0.4081632653061224,0.06
25,CNN,"64 filters, kernel size 3",0.8690807799442897,1.0,0.8613569321533924,0.9255150554675119,0.29850746268656714,1.0,0.45977011494252873,0.06
26,CNN,"128 filters, kernel size 7",0.8245125348189415,1.0,0.8141592920353983,0.8975609756097562,0.24096385542168675,1.0,0.38834951456310685,0.06
27,CNN,"128 filters, kernel size 5",0.8384401114206128,1.0,0.8289085545722714,0.9064516129032258,0.2564102564102564,1.0,0.4081632653061224,0.06
28,CNN,"128 filters, kernel size 3",0.8969359331476323,1.0,0.8908554572271387,0.9422776911076444,0.3508771929824561,1.0,0.5194805194805194,0.06
29,CNN,"256 filters, kernel size 7",0.8746518105849582,1.0,0.8672566371681416,0.9289099526066351,0.3076923076923077,1.0,0.47058823529411764,0.06
30,CNN,"256 filters, kernel size 5",0.8245125348189415,1.0,0.8141592920353983,0.8975609756097562,0.24096385542168675,1.0,0.38834951456310685,0.06
31,CNN,"256 filters, kernel size 3",0.8551532033426184,1.0,0.8466076696165191,0.9169329073482427,0.2777777777777778,1.0,0.4347826086956522,0.06
