,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9656160458452722,0.990909090909091,0.9732142857142857,0.9819819819819819,0.5263157894736842,0.7692307692307693,0.625,0.04
1,LSTM,128 layers,0.9656160458452722,0.9969325153374233,0.9672619047619048,0.9818731117824773,0.5217391304347826,0.9230769230769231,0.6666666666666667,0.04
2,LSTM,64 layers,0.7449856733524355,0.9959839357429718,0.7380952380952381,0.8478632478632478,0.12,0.9230769230769231,0.21238938053097348,0.04
3,LSTM,32 layers,0.8223495702005731,0.9963768115942029,0.8184523809523809,0.8986928104575164,0.1643835616438356,0.9230769230769231,0.27906976744186046,0.04
4,CNN with Attention,"32 filters, kernel size 7",0.7134670487106017,0.9957983193277311,0.7053571428571429,0.8257839721254356,0.10810810810810811,0.9230769230769231,0.1935483870967742,0.04
5,CNN with Attention,"32 filters, kernel size 5",0.7048710601719198,0.9957446808510638,0.6964285714285714,0.8196147110332749,0.10526315789473684,0.9230769230769231,0.18897637795275588,0.04
6,CNN with Attention,"32 filters, kernel size 3",0.7478510028653295,0.996,0.7410714285714286,0.8498293515358362,0.12121212121212122,0.9230769230769231,0.21428571428571427,0.04
7,CNN with Attention,"64 filters, kernel size 7",0.6962750716332379,0.9956896551724138,0.6875,0.8133802816901409,0.10256410256410256,0.9230769230769231,0.1846153846153846,0.04
8,CNN with Attention,"64 filters, kernel size 5",0.7736389684813754,0.9961389961389961,0.7678571428571429,0.8672268907563025,0.13333333333333333,0.9230769230769231,0.23300970873786409,0.04
9,CNN with Attention,"64 filters, kernel size 3",0.7421203438395415,0.9959677419354839,0.7351190476190477,0.8458904109589043,0.1188118811881188,0.9230769230769231,0.2105263157894737,0.04
10,CNN with Attention,"128 filters, kernel size 7",0.670487106017192,0.9955156950672646,0.6607142857142857,0.7942754919499104,0.09523809523809523,0.9230769230769231,0.17266187050359716,0.04
11,CNN with Attention,"128 filters, kernel size 5",0.7421203438395415,0.9959677419354839,0.7351190476190477,0.8458904109589043,0.1188118811881188,0.9230769230769231,0.2105263157894737,0.04
12,CNN with Attention,"128 filters, kernel size 3",0.6848137535816619,0.9956140350877193,0.6755952380952381,0.8049645390070923,0.09917355371900827,0.9230769230769231,0.17910447761194032,0.04
13,CNN with Attention,"256 filters, kernel size 7",0.667621776504298,0.9954954954954955,0.6577380952380952,0.7921146953405018,0.09448818897637795,0.9230769230769231,0.17142857142857143,0.04
14,CNN with Attention,"256 filters, kernel size 5",0.667621776504298,0.9954954954954955,0.6577380952380952,0.7921146953405018,0.09448818897637795,0.9230769230769231,0.17142857142857143,0.04
15,CNN with Attention,"256 filters, kernel size 3",0.6819484240687679,0.9955947136563876,0.6726190476190477,0.802841918294849,0.09836065573770492,0.9230769230769231,0.1777777777777778,0.04
16,RNN,256 units,0.9713467048710601,0.9969512195121951,0.9732142857142857,0.9849397590361445,0.5714285714285714,0.9230769230769231,0.7058823529411765,0.04
17,RNN,128 units,0.9684813753581661,0.9909365558912386,0.9761904761904762,0.9835082458770614,0.5555555555555556,0.7692307692307693,0.6451612903225806,0.04
18,RNN,64 units,0.9570200573065902,0.9969040247678018,0.9583333333333334,0.9772382397572078,0.46153846153846156,0.9230769230769231,0.6153846153846155,0.04
19,RNN,32 units,0.7421203438395415,0.9959677419354839,0.7351190476190477,0.8458904109589043,0.1188118811881188,0.9230769230769231,0.2105263157894737,0.04
20,CNN,"32 filters, kernel size 7",0.6504297994269341,0.9953703703703703,0.6398809523809523,0.7789855072463767,0.09022556390977443,0.9230769230769231,0.1643835616438356,0.04
21,CNN,"32 filters, kernel size 5",0.6504297994269341,0.9953703703703703,0.6398809523809523,0.7789855072463767,0.09022556390977443,0.9230769230769231,0.1643835616438356,0.04
22,CNN,"32 filters, kernel size 3",0.7020057306590258,0.9957264957264957,0.6934523809523809,0.8175438596491228,0.10434782608695652,0.9230769230769231,0.18749999999999997,0.04
23,CNN,"64 filters, kernel size 7",0.6848137535816619,0.9956140350877193,0.6755952380952381,0.8049645390070923,0.09917355371900827,0.9230769230769231,0.17910447761194032,0.04
24,CNN,"64 filters, kernel size 5",0.7134670487106017,0.9957983193277311,0.7053571428571429,0.8257839721254356,0.10810810810810811,0.9230769230769231,0.1935483870967742,0.04
25,CNN,"64 filters, kernel size 3",0.7020057306590258,0.9957264957264957,0.6934523809523809,0.8175438596491228,0.10434782608695652,0.9230769230769231,0.18749999999999997,0.04
26,CNN,"128 filters, kernel size 7",0.670487106017192,0.9955156950672646,0.6607142857142857,0.7942754919499104,0.09523809523809523,0.9230769230769231,0.17266187050359716,0.04
27,CNN,"128 filters, kernel size 5",0.7478510028653295,0.996,0.7410714285714286,0.8498293515358362,0.12121212121212122,0.9230769230769231,0.21428571428571427,0.04
28,CNN,"128 filters, kernel size 3",0.7564469914040115,0.9960474308300395,0.75,0.8556876061120543,0.125,0.9230769230769231,0.22018348623853212,0.04
29,CNN,"256 filters, kernel size 7",0.66189111747851,0.9954545454545455,0.6517857142857143,0.787769784172662,0.09302325581395349,0.9230769230769231,0.16901408450704228,0.04
30,CNN,"256 filters, kernel size 5",0.7593123209169055,0.9960629921259843,0.7529761904761905,0.8576271186440678,0.12631578947368421,0.9230769230769231,0.22222222222222224,0.04
31,CNN,"256 filters, kernel size 3",0.6905444126074498,0.9956521739130435,0.6815476190476191,0.8091872791519434,0.10084033613445378,0.9230769230769231,0.1818181818181818,0.04
