,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.4670487106017192,1.0,0.43636363636363634,0.6075949367088608,0.09268292682926829,1.0,0.16964285714285712,0.05
1,LSTM,128 layers,0.5272206303724928,1.0,0.5,0.6666666666666666,0.10326086956521739,1.0,0.187192118226601,0.05
2,LSTM,64 layers,0.7793696275071633,0.9922178988326849,0.7727272727272727,0.868824531516184,0.18478260869565216,0.8947368421052632,0.3063063063063063,0.05
3,LSTM,32 layers,0.3839541547277937,1.0,0.3484848484848485,0.5168539325842696,0.0811965811965812,1.0,0.15019762845849804,0.05
4,CNN with Attention,"32 filters, kernel size 7",0.6762177650429799,0.9539748953974896,0.6909090909090909,0.8014059753954306,0.07272727272727272,0.42105263157894735,0.12403100775193797,0.05
5,CNN with Attention,"32 filters, kernel size 5",0.6475644699140402,0.9519650655021834,0.6606060606060606,0.7799642218246869,0.06666666666666667,0.42105263157894735,0.11510791366906474,0.05
6,CNN with Attention,"32 filters, kernel size 3",0.6848137535816619,0.9583333333333334,0.696969696969697,0.8070175438596493,0.08256880733944955,0.47368421052631576,0.140625,0.05
7,CNN with Attention,"64 filters, kernel size 7",0.670487106017192,0.9497907949790795,0.6878787878787879,0.797891036906854,0.06363636363636363,0.3684210526315789,0.10852713178294571,0.05
8,CNN with Attention,"64 filters, kernel size 5",0.664756446991404,0.9493670886075949,0.6818181818181818,0.7936507936507935,0.0625,0.3684210526315789,0.10687022900763359,0.05
9,CNN with Attention,"64 filters, kernel size 3",0.6790830945558739,0.9541666666666667,0.693939393939394,0.8035087719298246,0.07339449541284404,0.42105263157894735,0.125,0.05
10,CNN with Attention,"128 filters, kernel size 7",0.66189111747851,0.9568965517241379,0.6727272727272727,0.790035587188612,0.07692307692307693,0.47368421052631576,0.1323529411764706,0.05
11,CNN with Attention,"128 filters, kernel size 5",0.673352435530086,0.9576271186440678,0.6848484848484848,0.7985865724381626,0.07964601769911504,0.47368421052631576,0.13636363636363638,0.05
12,CNN with Attention,"128 filters, kernel size 3",0.670487106017192,0.9574468085106383,0.6818181818181818,0.7964601769911505,0.07894736842105263,0.47368421052631576,0.13533834586466165,0.05
13,CNN with Attention,"256 filters, kernel size 7",0.6561604584527221,0.9565217391304348,0.6666666666666666,0.7857142857142856,0.07563025210084033,0.47368421052631576,0.13043478260869565,0.05
14,CNN with Attention,"256 filters, kernel size 5",0.6446991404011462,0.9517543859649122,0.6575757575757576,0.7777777777777777,0.06611570247933884,0.42105263157894735,0.1142857142857143,0.05
15,CNN with Attention,"256 filters, kernel size 3",0.667621776504298,0.9533898305084746,0.6818181818181818,0.7950530035335688,0.07079646017699115,0.42105263157894735,0.1212121212121212,0.05
16,RNN,256 units,0.8108882521489972,1.0,0.8,0.888888888888889,0.2235294117647059,1.0,0.36538461538461536,0.05
17,RNN,128 units,0.7535816618911175,0.988,0.7484848484848485,0.8517241379310345,0.16161616161616163,0.8421052631578947,0.27118644067796616,0.05
18,RNN,64 units,0.673352435530086,1.0,0.6545454545454545,0.7912087912087912,0.14285714285714285,1.0,0.25,0.05
19,RNN,32 units,0.6962750716332379,1.0,0.6787878787878788,0.8086642599277979,0.152,1.0,0.2638888888888889,0.05
20,CNN,"32 filters, kernel size 7",0.6790830945558739,0.957983193277311,0.6909090909090909,0.8028169014084506,0.08108108108108109,0.47368421052631576,0.13846153846153847,0.05
21,CNN,"32 filters, kernel size 5",0.6762177650429799,0.9539748953974896,0.6909090909090909,0.8014059753954306,0.07272727272727272,0.42105263157894735,0.12403100775193797,0.05
22,CNN,"32 filters, kernel size 3",0.6962750716332379,0.9516129032258065,0.7151515151515152,0.8166089965397925,0.06930693069306931,0.3684210526315789,0.11666666666666667,0.05
23,CNN,"64 filters, kernel size 7",0.6848137535816619,0.9545454545454546,0.7,0.8076923076923077,0.07476635514018691,0.42105263157894735,0.12698412698412698,0.05
24,CNN,"64 filters, kernel size 5",0.664756446991404,0.9531914893617022,0.6787878787878788,0.792920353982301,0.07017543859649122,0.42105263157894735,0.12030075187969924,0.05
25,CNN,"64 filters, kernel size 3",0.6504297994269341,0.9521739130434783,0.6636363636363637,0.7821428571428573,0.06722689075630252,0.42105263157894735,0.11594202898550725,0.05
26,CNN,"128 filters, kernel size 7",0.673352435530086,0.9576271186440678,0.6848484848484848,0.7985865724381626,0.07964601769911504,0.47368421052631576,0.13636363636363638,0.05
27,CNN,"128 filters, kernel size 5",0.673352435530086,0.9537815126050421,0.6878787878787879,0.7992957746478873,0.07207207207207207,0.42105263157894735,0.12307692307692307,0.05
28,CNN,"128 filters, kernel size 3",0.6848137535816619,0.9545454545454546,0.7,0.8076923076923077,0.07476635514018691,0.42105263157894735,0.12698412698412698,0.05
29,CNN,"256 filters, kernel size 7",0.66189111747851,0.9568965517241379,0.6727272727272727,0.790035587188612,0.07692307692307693,0.47368421052631576,0.1323529411764706,0.05
30,CNN,"256 filters, kernel size 5",0.6790830945558739,0.9541666666666667,0.693939393939394,0.8035087719298246,0.07339449541284404,0.42105263157894735,0.125,0.05
31,CNN,"256 filters, kernel size 3",0.6876790830945558,0.9623430962343096,0.696969696969697,0.8084358523725834,0.09090909090909091,0.5263157894736842,0.15503875968992248,0.05
