,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.22955145118733508,0.9302325581395349,0.2185792349726776,0.35398230088495575,0.023890784982935155,0.5384615384615384,0.0457516339869281,0.03
1,LSTM,128 layers,0.23746701846965698,0.9139784946236559,0.23224043715846995,0.3703703703703704,0.017482517482517484,0.38461538461538464,0.033444816053511704,0.03
2,LSTM,64 layers,0.2638522427440633,0.9142857142857143,0.26229508196721313,0.40764331210191085,0.014598540145985401,0.3076923076923077,0.027874564459930317,0.03
3,LSTM,32 layers,0.21635883905013192,0.9259259259259259,0.20491803278688525,0.33557046979865773,0.02348993288590604,0.5384615384615384,0.04501607717041801,0.03
4,CNN with Attention,"32 filters, kernel size 7",0.1424802110817942,1.0,0.11202185792349727,0.20147420147420148,0.038461538461538464,1.0,0.07407407407407407,0.03
5,CNN with Attention,"32 filters, kernel size 5",0.22691292875989447,0.9397590361445783,0.21311475409836064,0.34743875278396436,0.02702702702702703,0.6153846153846154,0.05177993527508091,0.03
6,CNN with Attention,"32 filters, kernel size 3",0.1345646437994723,0.88,0.12021857923497267,0.21153846153846154,0.02127659574468085,0.5384615384615384,0.04093567251461988,0.03
7,CNN with Attention,"64 filters, kernel size 7",0.09762532981530343,1.0,0.06557377049180328,0.12307692307692307,0.036619718309859155,1.0,0.07065217391304349,0.03
8,CNN with Attention,"64 filters, kernel size 5",0.11081794195250659,0.9393939393939394,0.08469945355191257,0.15538847117794485,0.031791907514450865,0.8461538461538461,0.06128133704735376,0.03
9,CNN with Attention,"64 filters, kernel size 3",0.20316622691292877,0.9324324324324325,0.1885245901639344,0.31363636363636366,0.02622950819672131,0.6153846153846154,0.05031446540880503,0.03
10,CNN with Attention,"128 filters, kernel size 7",0.13984168865435356,1.0,0.1092896174863388,0.19704433497536947,0.038348082595870206,1.0,0.07386363636363637,0.03
11,CNN with Attention,"128 filters, kernel size 5",0.029023746701846966,0.0,0.0,0.0,0.029177718832891247,0.8461538461538461,0.05641025641025641,0.03
12,CNN with Attention,"128 filters, kernel size 3",0.10026385224274406,0.8571428571428571,0.08196721311475409,0.14962593516209477,0.023255813953488372,0.6153846153846154,0.04481792717086834,0.03
13,CNN with Attention,"256 filters, kernel size 7",0.05013192612137203,1.0,0.01639344262295082,0.03225806451612903,0.03485254691689008,1.0,0.06735751295336788,0.03
14,CNN with Attention,"256 filters, kernel size 5",0.0316622691292876,0.0,0.0,0.0,0.031746031746031744,0.9230769230769231,0.06138107416879795,0.03
15,CNN with Attention,"256 filters, kernel size 3",0.0316622691292876,0.3333333333333333,0.00273224043715847,0.005420054200542005,0.02925531914893617,0.8461538461538461,0.05655526992287918,0.03
16,RNN,256 units,0.43535620052770446,0.9871794871794872,0.4207650273224044,0.5900383141762452,0.04932735426008968,0.8461538461538461,0.09322033898305083,0.03
17,RNN,128 units,0.31398416886543534,0.9416666666666667,0.3087431693989071,0.46502057613168724,0.023166023166023165,0.46153846153846156,0.044117647058823525,0.03
18,RNN,64 units,0.24010554089709762,0.975609756097561,0.2185792349726776,0.35714285714285715,0.037037037037037035,0.8461538461538461,0.07096774193548386,0.03
19,RNN,32 units,0.22691292875989447,0.9101123595505618,0.22131147540983606,0.35604395604395606,0.017241379310344827,0.38461538461538464,0.03300330033003301,0.03
20,CNN,"32 filters, kernel size 7",0.026385224274406333,0.3333333333333333,0.00819672131147541,0.016,0.01891891891891892,0.5384615384615384,0.03655352480417755,0.03
21,CNN,"32 filters, kernel size 5",0.06068601583113457,0.7083333333333334,0.04644808743169399,0.08717948717948718,0.016901408450704224,0.46153846153846156,0.03260869565217391,0.03
22,CNN,"32 filters, kernel size 3",0.14775725593667546,0.864406779661017,0.13934426229508196,0.24,0.015625,0.38461538461538464,0.03003003003003003,0.03
23,CNN,"64 filters, kernel size 7",0.19261213720316622,0.9166666666666666,0.18032786885245902,0.3013698630136986,0.02280130293159609,0.5384615384615384,0.04375,0.03
24,CNN,"64 filters, kernel size 5",0.19788918205804748,0.9558823529411765,0.17759562841530055,0.2995391705069125,0.03215434083601286,0.7692307692307693,0.06172839506172839,0.03
25,CNN,"64 filters, kernel size 3",0.23746701846965698,0.9052631578947369,0.23497267759562843,0.3731019522776573,0.014084507042253521,0.3076923076923077,0.026936026936026942,0.03
26,CNN,"128 filters, kernel size 7",0.2638522427440633,0.978021978021978,0.24316939890710382,0.38949671772428884,0.03819444444444445,0.8461538461538461,0.07308970099667775,0.03
27,CNN,"128 filters, kernel size 5",0.2849604221635884,0.9357798165137615,0.2786885245901639,0.4294736842105263,0.022222222222222223,0.46153846153846156,0.042402826855123685,0.03
28,CNN,"128 filters, kernel size 3",0.2928759894459103,0.9298245614035088,0.2896174863387978,0.4416666666666667,0.018867924528301886,0.38461538461538464,0.03597122302158273,0.03
29,CNN,"256 filters, kernel size 7",0.33509234828496043,0.9830508474576272,0.31693989071038253,0.4793388429752067,0.0421455938697318,0.8461538461538461,0.08029197080291971,0.03
30,CNN,"256 filters, kernel size 5",0.31926121372031663,0.9821428571428571,0.3005464480874317,0.4602510460251046,0.04119850187265917,0.8461538461538461,0.07857142857142857,0.03
31,CNN,"256 filters, kernel size 3",0.29815303430079154,0.9385964912280702,0.2923497267759563,0.4458333333333333,0.022641509433962263,0.46153846153846156,0.04316546762589928,0.03
