,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8842105263157894,0.9202453987730062,0.9433962264150944,0.9316770186335405,0.6666666666666666,0.5806451612903226,0.6206896551724138
1,LSTM,200 layers,0.8842105263157894,0.9202453987730062,0.9433962264150944,0.9316770186335405,0.6666666666666666,0.5806451612903226,0.6206896551724138
2,LSTM,100 layers,0.868421052631579,0.9085365853658537,0.9371069182389937,0.9226006191950464,0.6153846153846154,0.5161290322580645,0.5614035087719298
3,LSTM,50 layers,0.8842105263157894,0.9363057324840764,0.9245283018867925,0.930379746835443,0.6363636363636364,0.6774193548387096,0.65625
4,CNN with Attention,"32 filters, kernel size 5",0.8157894736842105,0.8444444444444444,0.9559748427672956,0.8967551622418879,0.3,0.0967741935483871,0.14634146341463414
5,CNN with Attention,"64 filters, kernel size 5",0.8368421052631579,0.8902439024390244,0.9182389937106918,0.9040247678018576,0.5,0.41935483870967744,0.45614035087719296
6,CNN with Attention,"128 filters, kernel size 5",0.8631578947368421,0.88,0.9685534591194969,0.9221556886227544,0.6666666666666666,0.3225806451612903,0.4347826086956521
7,CNN with Attention,"256 filters, kernel size 5",0.8473684210526315,0.8693181818181818,0.9622641509433962,0.9134328358208955,0.5714285714285714,0.25806451612903225,0.35555555555555557
8,CNN with Attention,"64 filters, kernel size 3",0.8315789473684211,0.8944099378881988,0.9056603773584906,0.9,0.4827586206896552,0.45161290322580644,0.4666666666666667
9,CNN with Attention,"128 filters, kernel size 3",0.8578947368421053,0.8975903614457831,0.9371069182389937,0.9169230769230768,0.5833333333333334,0.45161290322580644,0.509090909090909
10,CNN with Attention,"256 filters, kernel size 3",0.8526315789473684,0.8700564971751412,0.9685534591194969,0.9166666666666666,0.6153846153846154,0.25806451612903225,0.36363636363636365
11,Random Forest,50 Estimators,0.8210526315789474,0.8378378378378378,0.9748427672955975,0.9011627906976745,0.2,0.03225806451612903,0.05555555555555555
12,Random Forest,25 Estimators,0.8210526315789474,0.8378378378378378,0.9748427672955975,0.9011627906976745,0.2,0.03225806451612903,0.05555555555555555
13,Random Forest,20 Estimators,0.8210526315789474,0.8378378378378378,0.9748427672955975,0.9011627906976745,0.2,0.03225806451612903,0.05555555555555555
14,Random Forest,10 Estimators,0.8210526315789474,0.8378378378378378,0.9748427672955975,0.9011627906976745,0.2,0.03225806451612903,0.05555555555555555
15,Random Forest,5 Estimators,0.8210526315789474,0.8378378378378378,0.9748427672955975,0.9011627906976745,0.2,0.03225806451612903,0.05555555555555555
16,RNN,200 units,0.8578947368421053,0.8793103448275862,0.9622641509433962,0.9189189189189189,0.625,0.3225806451612903,0.425531914893617
17,RNN,150 units,0.8526315789473684,0.8700564971751412,0.9685534591194969,0.9166666666666666,0.6153846153846154,0.25806451612903225,0.36363636363636365
18,RNN,100 units,0.8526315789473684,0.8830409356725146,0.949685534591195,0.9151515151515152,0.5789473684210527,0.3548387096774194,0.44000000000000006
19,RNN,50 units,0.8789473684210526,0.9047619047619048,0.9559748427672956,0.929663608562691,0.6818181818181818,0.4838709677419355,0.5660377358490567
20,CNN,"64 filters, kernel size 3",0.8421052631578947,0.8771929824561403,0.9433962264150944,0.9090909090909091,0.5263157894736842,0.3225806451612903,0.39999999999999997
21,CNN,"128 filters, kernel size 3",0.8210526315789474,0.8571428571428571,0.9433962264150944,0.8982035928143713,0.4,0.1935483870967742,0.26086956521739135
22,CNN,"256 filters, kernel size 3",0.8315789473684211,0.8587570621468926,0.9559748427672956,0.9047619047619048,0.46153846153846156,0.1935483870967742,0.2727272727272727
23,CNN,"64 filters, kernel size 5",0.8526315789473684,0.861878453038674,0.9811320754716981,0.9176470588235295,0.6666666666666666,0.1935483870967742,0.30000000000000004
24,CNN,"128 filters, kernel size 5",0.8473684210526315,0.8735632183908046,0.9559748427672956,0.912912912912913,0.5625,0.2903225806451613,0.3829787234042554
25,CNN,"256 filters, kernel size 5",0.8526315789473684,0.8742857142857143,0.9622641509433962,0.9161676646706588,0.6,0.2903225806451613,0.3913043478260869
