,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9242424242424242,0.9344262295081968,0.9827586206896551,0.9579831932773109,0.8,0.5,0.6153846153846154
1,LSTM,200 layers,0.9090909090909091,0.9193548387096774,0.9827586206896551,0.95,0.75,0.375,0.5
2,LSTM,100 layers,0.9242424242424242,0.9491525423728814,0.9655172413793104,0.9572649572649573,0.7142857142857143,0.625,0.6666666666666666
3,LSTM,50 layers,0.9242424242424242,0.9491525423728814,0.9655172413793104,0.9572649572649573,0.7142857142857143,0.625,0.6666666666666666
4,CNN with Attention,"32 filters, kernel size 5",0.8939393939393939,0.8923076923076924,1.0,0.9430894308943091,1.0,0.125,0.2222222222222222
5,CNN with Attention,"64 filters, kernel size 5",0.8939393939393939,0.9047619047619048,0.9827586206896551,0.9421487603305785,0.6666666666666666,0.25,0.36363636363636365
6,CNN with Attention,"128 filters, kernel size 5",0.8939393939393939,0.8923076923076924,1.0,0.9430894308943091,1.0,0.125,0.2222222222222222
7,CNN with Attention,"256 filters, kernel size 5",0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.0,0.0,0.0
8,CNN with Attention,"64 filters, kernel size 3",0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.0,0.0,0.0
9,CNN with Attention,"128 filters, kernel size 3",0.9090909090909091,0.90625,1.0,0.9508196721311475,1.0,0.25,0.4
10,CNN with Attention,"256 filters, kernel size 3",0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.0,0.0,0.0
11,Random Forest,50 Estimators,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.0,0.0,0.0
12,Random Forest,25 Estimators,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.0,0.0,0.0
13,Random Forest,20 Estimators,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.0,0.0,0.0
14,Random Forest,10 Estimators,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.0,0.0,0.0
15,Random Forest,5 Estimators,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.0,0.0,0.0
16,RNN,200 units,0.8333333333333334,0.8852459016393442,0.9310344827586207,0.9075630252100839,0.2,0.125,0.15384615384615385
17,RNN,150 units,0.8787878787878788,0.890625,0.9827586206896551,0.9344262295081966,0.5,0.125,0.2
18,RNN,100 units,0.8787878787878788,0.9166666666666666,0.9482758620689655,0.9322033898305084,0.5,0.375,0.42857142857142855
19,RNN,50 units,0.9242424242424242,0.9344262295081968,0.9827586206896551,0.9579831932773109,0.8,0.5,0.6153846153846154
20,CNN,"64 filters, kernel size 3",0.8939393939393939,0.8923076923076924,1.0,0.9430894308943091,1.0,0.125,0.2222222222222222
21,CNN,"128 filters, kernel size 3",0.8939393939393939,0.8923076923076924,1.0,0.9430894308943091,1.0,0.125,0.2222222222222222
22,CNN,"256 filters, kernel size 3",0.8939393939393939,0.8923076923076924,1.0,0.9430894308943091,1.0,0.125,0.2222222222222222
23,CNN,"64 filters, kernel size 5",0.8939393939393939,0.8923076923076924,1.0,0.9430894308943091,1.0,0.125,0.2222222222222222
24,CNN,"128 filters, kernel size 5",0.8939393939393939,0.9047619047619048,0.9827586206896551,0.9421487603305785,0.6666666666666666,0.25,0.36363636363636365
25,CNN,"256 filters, kernel size 5",0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.0,0.0,0.0
