,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8947368421052632,0.9212121212121213,0.9559748427672956,0.9382716049382717,0.72,0.5806451612903226,0.6428571428571428
1,LSTM,200 layers,0.9105263157894737,0.9329268292682927,0.9622641509433962,0.9473684210526315,0.7692307692307693,0.6451612903225806,0.7017543859649122
2,LSTM,100 layers,0.9,0.9375,0.9433962264150944,0.9404388714733543,0.7,0.6774193548387096,0.6885245901639343
3,LSTM,50 layers,0.9,0.9430379746835443,0.9371069182389937,0.9400630914826499,0.6875,0.7096774193548387,0.6984126984126984
4,CNN with Attention,"32 filters, kernel size 5",0.8368421052631579,0.8809523809523809,0.9308176100628931,0.9051987767584098,0.5,0.3548387096774194,0.41509433962264153
5,CNN with Attention,"64 filters, kernel size 5",0.8631578947368421,0.884393063583815,0.9622641509433962,0.9216867469879518,0.6470588235294118,0.3548387096774194,0.4583333333333333
6,CNN with Attention,"128 filters, kernel size 5",0.868421052631579,0.9135802469135802,0.9308176100628931,0.9221183800623053,0.6071428571428571,0.5483870967741935,0.5762711864406779
7,CNN with Attention,"256 filters, kernel size 5",0.8736842105263158,0.8947368421052632,0.9622641509433962,0.9272727272727272,0.6842105263157895,0.41935483870967744,0.5200000000000001
8,CNN with Attention,"64 filters, kernel size 3",0.8789473684210526,0.8953488372093024,0.9685534591194969,0.9305135951661632,0.7222222222222222,0.41935483870967744,0.5306122448979592
9,CNN with Attention,"128 filters, kernel size 3",0.8631578947368421,0.9030303030303031,0.9371069182389937,0.9197530864197531,0.6,0.4838709677419355,0.5357142857142857
10,CNN with Attention,"256 filters, kernel size 3",0.868421052631579,0.8895348837209303,0.9622641509433962,0.9244712990936556,0.6666666666666666,0.3870967741935484,0.4897959183673469
11,Random Forest,50 Estimators,0.8263157894736842,0.842391304347826,0.9748427672955975,0.9037900874635568,0.3333333333333333,0.06451612903225806,0.1081081081081081
12,Random Forest,25 Estimators,0.8263157894736842,0.842391304347826,0.9748427672955975,0.9037900874635568,0.3333333333333333,0.06451612903225806,0.1081081081081081
13,Random Forest,20 Estimators,0.8263157894736842,0.842391304347826,0.9748427672955975,0.9037900874635568,0.3333333333333333,0.06451612903225806,0.1081081081081081
14,Random Forest,10 Estimators,0.8263157894736842,0.842391304347826,0.9748427672955975,0.9037900874635568,0.3333333333333333,0.06451612903225806,0.1081081081081081
15,Random Forest,5 Estimators,0.8263157894736842,0.842391304347826,0.9748427672955975,0.9037900874635568,0.3333333333333333,0.06451612903225806,0.1081081081081081
16,RNN,200 units,0.8473684210526315,0.8869047619047619,0.9371069182389937,0.9113149847094801,0.5454545454545454,0.3870967741935484,0.45283018867924524
17,RNN,150 units,0.868421052631579,0.9085365853658537,0.9371069182389937,0.9226006191950464,0.6153846153846154,0.5161290322580645,0.5614035087719298
18,RNN,100 units,0.8789473684210526,0.9197530864197531,0.9371069182389937,0.9283489096573208,0.6428571428571429,0.5806451612903226,0.6101694915254238
19,RNN,50 units,0.8947368421052632,0.9426751592356688,0.9308176100628931,0.9367088607594937,0.6666666666666666,0.7096774193548387,0.6875
20,CNN,"64 filters, kernel size 3",0.868421052631579,0.8988095238095238,0.949685534591195,0.9235474006116209,0.6363636363636364,0.45161290322580644,0.5283018867924528
21,CNN,"128 filters, kernel size 3",0.8736842105263158,0.8994082840236687,0.9559748427672956,0.9268292682926831,0.6666666666666666,0.45161290322580644,0.5384615384615384
22,CNN,"256 filters, kernel size 3",0.8526315789473684,0.896969696969697,0.9308176100628931,0.9135802469135803,0.56,0.45161290322580644,0.5
23,CNN,"64 filters, kernel size 5",0.8631578947368421,0.8888888888888888,0.9559748427672956,0.9212121212121211,0.631578947368421,0.3870967741935484,0.48000000000000004
24,CNN,"128 filters, kernel size 5",0.8578947368421053,0.888235294117647,0.949685534591195,0.9179331306990881,0.6,0.3870967741935484,0.47058823529411764
25,CNN,"256 filters, kernel size 5",0.8736842105263158,0.8729281767955801,0.9937106918238994,0.9294117647058823,0.8888888888888888,0.25806451612903225,0.39999999999999997
