,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9195046439628483,0.9125,0.9240506329113924,0.9182389937106918,0.9263803680981595,0.9151515151515152,0.9207317073170732
1,LSTM,200 layers,0.9195046439628483,0.9285714285714286,0.9050632911392406,0.9166666666666666,0.9112426035502958,0.9333333333333333,0.9221556886227545
2,LSTM,100 layers,0.9256965944272446,0.9407894736842105,0.9050632911392406,0.9225806451612903,0.9122807017543859,0.9454545454545454,0.9285714285714285
3,LSTM,50 layers,0.9164086687306502,0.9171974522292994,0.9113924050632911,0.9142857142857144,0.9156626506024096,0.9212121212121213,0.918429003021148
4,CNN with Attention,"32 filters, kernel size 5",0.8080495356037152,0.8116883116883117,0.7911392405063291,0.8012820512820513,0.8047337278106509,0.8242424242424242,0.8143712574850299
5,CNN with Attention,"64 filters, kernel size 5",0.8111455108359134,0.8439716312056738,0.7531645569620253,0.7959866220735785,0.7857142857142857,0.8666666666666667,0.8242074927953891
6,CNN with Attention,"128 filters, kernel size 5",0.8513931888544891,0.8481012658227848,0.8481012658227848,0.8481012658227848,0.8545454545454545,0.8545454545454545,0.8545454545454545
7,CNN with Attention,"256 filters, kernel size 5",0.8390092879256966,0.8441558441558441,0.8227848101265823,0.8333333333333334,0.834319526627219,0.8545454545454545,0.844311377245509
8,CNN with Attention,"64 filters, kernel size 3",0.8204334365325078,0.8333333333333334,0.7911392405063291,0.8116883116883117,0.8092485549132948,0.8484848484848485,0.8284023668639054
9,CNN with Attention,"128 filters, kernel size 3",0.8142414860681114,0.80625,0.8164556962025317,0.8113207547169812,0.8220858895705522,0.8121212121212121,0.8170731707317073
10,CNN with Attention,"256 filters, kernel size 3",0.8297213622291022,0.8238993710691824,0.8291139240506329,0.8264984227129338,0.8353658536585366,0.8303030303030303,0.8328267477203648
11,Random Forest,50 Estimators,0.6470588235294118,0.6222222222222222,0.7088607594936709,0.6627218934911242,0.6783216783216783,0.5878787878787879,0.6298701298701299
12,Random Forest,25 Estimators,0.6470588235294118,0.6222222222222222,0.7088607594936709,0.6627218934911242,0.6783216783216783,0.5878787878787879,0.6298701298701299
13,Random Forest,20 Estimators,0.6470588235294118,0.6222222222222222,0.7088607594936709,0.6627218934911242,0.6783216783216783,0.5878787878787879,0.6298701298701299
14,Random Forest,10 Estimators,0.6470588235294118,0.6222222222222222,0.7088607594936709,0.6627218934911242,0.6783216783216783,0.5878787878787879,0.6298701298701299
15,Random Forest,5 Estimators,0.6470588235294118,0.6222222222222222,0.7088607594936709,0.6627218934911242,0.6783216783216783,0.5878787878787879,0.6298701298701299
16,RNN,200 units,0.8854489164086687,0.8497109826589595,0.930379746835443,0.8882175226586102,0.9266666666666666,0.8424242424242424,0.8825396825396825
17,RNN,150 units,0.8978328173374613,0.8980891719745223,0.8924050632911392,0.8952380952380953,0.8975903614457831,0.9030303030303031,0.9003021148036254
18,RNN,100 units,0.8421052631578947,0.8905109489051095,0.7721518987341772,0.8271186440677967,0.8064516129032258,0.9090909090909091,0.8547008547008547
19,RNN,50 units,0.8575851393188855,0.8076923076923077,0.930379746835443,0.8647058823529412,0.9219858156028369,0.7878787878787878,0.8496732026143791
20,CNN,"64 filters, kernel size 3",0.7708978328173375,0.8333333333333334,0.6645569620253164,0.7394366197183099,0.7309644670050761,0.8727272727272727,0.7955801104972376
21,CNN,"128 filters, kernel size 3",0.7832817337461301,0.7857142857142857,0.7658227848101266,0.7756410256410255,0.7810650887573964,0.8,0.7904191616766467
22,CNN,"256 filters, kernel size 3",0.8204334365325078,0.8125,0.8227848101265823,0.8176100628930818,0.8282208588957055,0.8181818181818182,0.8231707317073171
23,CNN,"64 filters, kernel size 5",0.8173374613003096,0.8413793103448276,0.7721518987341772,0.8052805280528053,0.797752808988764,0.8606060606060606,0.8279883381924198
24,CNN,"128 filters, kernel size 5",0.8173374613003096,0.8613138686131386,0.7468354430379747,0.7999999999999999,0.7849462365591398,0.8848484848484849,0.8319088319088318
25,CNN,"256 filters, kernel size 5",0.8235294117647058,0.8344370860927153,0.7974683544303798,0.8155339805825244,0.813953488372093,0.8484848484848485,0.830860534124629
