,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8315789473684211,0.893491124260355,0.9151515151515152,0.9041916167664671,0.3333333333333333,0.28,0.30434782608695654
1,LSTM,200 layers,0.868421052631579,0.8932584269662921,0.9636363636363636,0.9271137026239066,0.5,0.24,0.32432432432432434
2,LSTM,100 layers,0.8473684210526315,0.9047619047619048,0.9212121212121213,0.9129129129129129,0.4090909090909091,0.36,0.3829787234042554
3,LSTM,50 layers,0.8315789473684211,0.8757062146892656,0.9393939393939394,0.9064327485380117,0.23076923076923078,0.12,0.15789473684210525
4,CNN with Attention,,0.8473684210526315,0.8736263736263736,0.9636363636363636,0.9164265129682998,0.25,0.08,0.12121212121212122
5,CNN with Attention,,0.8631578947368421,0.8716577540106952,0.9878787878787879,0.9261363636363636,0.3333333333333333,0.04,0.07142857142857142
6,CNN with Attention,,0.8473684210526315,0.8655913978494624,0.9757575757575757,0.9173789173789173,0.0,0.0,0.0
7,CNN with Attention,,0.8631578947368421,0.8677248677248677,0.9939393939393939,0.9265536723163841,0.0,0.0,0.0
8,CNN with Attention,,0.8473684210526315,0.8736263736263736,0.9636363636363636,0.9164265129682998,0.25,0.08,0.12121212121212122
9,CNN with Attention,,0.8526315789473684,0.8663101604278075,0.9818181818181818,0.9204545454545454,0.0,0.0,0.0
10,CNN with Attention,,0.868421052631579,0.868421052631579,1.0,0.9295774647887324,0.0,0.0,0.0
11,Random Forest,50 Estimators,0.8631578947368421,0.8677248677248677,0.9939393939393939,0.9265536723163841,0.0,0.0,0.0
12,Random Forest,25 Estimators,0.8631578947368421,0.8677248677248677,0.9939393939393939,0.9265536723163841,0.0,0.0,0.0
13,Random Forest,20 Estimators,0.8631578947368421,0.8677248677248677,0.9939393939393939,0.9265536723163841,0.0,0.0,0.0
14,Random Forest,10 Estimators,0.8631578947368421,0.8677248677248677,0.9939393939393939,0.9265536723163841,0.0,0.0,0.0
15,Random Forest,5 Estimators,0.8631578947368421,0.8677248677248677,0.9939393939393939,0.9265536723163841,0.0,0.0,0.0
16,RNN,200 units,0.8,0.8848484848484849,0.8848484848484849,0.8848484848484849,0.24,0.24,0.24
17,RNN,150 units,0.7894736842105263,0.8698224852071006,0.8909090909090909,0.8802395209580838,0.14285714285714285,0.12,0.13043478260869565
18,RNN,100 units,0.7947368421052632,0.8795180722891566,0.8848484848484849,0.8821752265861027,0.20833333333333334,0.2,0.20408163265306126
19,RNN,50 units,0.8157894736842105,0.877906976744186,0.9151515151515152,0.8961424332344213,0.2222222222222222,0.16,0.18604651162790697
20,CNN,"64 filters, kernel size 3",0.7894736842105263,0.874251497005988,0.8848484848484849,0.8795180722891567,0.17391304347826086,0.16,0.16666666666666666
21,CNN,"128 filters, kernel size 3",0.7947368421052632,0.8705882352941177,0.896969696969697,0.8835820895522388,0.15,0.12,0.1333333333333333
22,CNN,"256 filters, kernel size 3",0.8105263157894737,0.8862275449101796,0.896969696969697,0.891566265060241,0.2608695652173913,0.24,0.24999999999999994
23,CNN,"64 filters, kernel size 5",0.7842105263157895,0.8690476190476191,0.8848484848484849,0.8768768768768769,0.13636363636363635,0.12,0.1276595744680851
24,CNN,"128 filters, kernel size 5",0.7842105263157895,0.8827160493827161,0.8666666666666667,0.8746177370030581,0.21428571428571427,0.24,0.2264150943396226
25,CNN,"256 filters, kernel size 5",0.8105263157894737,0.8771929824561403,0.9090909090909091,0.8928571428571428,0.21052631578947367,0.16,0.1818181818181818
