,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.943089430894309,0.9420289855072463,0.9969325153374233,0.9687034277198211,0.9583333333333334,0.5348837209302325,0.6865671641791045,0.12
1,LSTM,128 layers,0.926829268292683,0.9259259259259259,0.9969325153374233,0.9601181683899558,0.9444444444444444,0.3953488372093023,0.5573770491803278,0.12
2,LSTM,64 layers,0.9214092140921409,0.9206798866855525,0.9969325153374233,0.9572901325478644,0.9375,0.3488372093023256,0.5084745762711865,0.12
3,LSTM,32 layers,0.924119241192412,0.9331395348837209,0.9846625766871165,0.9582089552238806,0.8,0.46511627906976744,0.5882352941176471,0.12
4,CNN with Attention,"32 filters, kernel size 7",0.9349593495934959,0.968944099378882,0.9570552147239264,0.962962962962963,0.7021276595744681,0.7674418604651163,0.7333333333333334,0.12
5,CNN with Attention,"32 filters, kernel size 5",0.94579945799458,0.9580838323353293,0.9815950920245399,0.9696969696969697,0.8285714285714286,0.6744186046511628,0.7435897435897435,0.12
6,CNN with Attention,"32 filters, kernel size 3",0.9512195121951219,0.9666666666666667,0.9785276073619632,0.9725609756097562,0.8205128205128205,0.7441860465116279,0.7804878048780488,0.12
7,CNN with Attention,"64 filters, kernel size 7",0.943089430894309,0.9579579579579579,0.9785276073619632,0.9681335356600911,0.8055555555555556,0.6744186046511628,0.7341772151898734,0.12
8,CNN with Attention,"64 filters, kernel size 5",0.94579945799458,0.9580838323353293,0.9815950920245399,0.9696969696969697,0.8285714285714286,0.6744186046511628,0.7435897435897435,0.12
9,CNN with Attention,"64 filters, kernel size 3",0.9349593495934959,0.938953488372093,0.99079754601227,0.964179104477612,0.88,0.5116279069767442,0.6470588235294118,0.12
10,CNN with Attention,"128 filters, kernel size 7",0.940379403794038,0.9606060606060606,0.9723926380368099,0.9664634146341463,0.7692307692307693,0.6976744186046512,0.7317073170731708,0.12
11,CNN with Attention,"128 filters, kernel size 5",0.948509485094851,0.960960960960961,0.9815950920245399,0.9711684370257967,0.8333333333333334,0.6976744186046512,0.759493670886076,0.12
12,CNN with Attention,"128 filters, kernel size 3",0.926829268292683,0.9283667621776505,0.9938650306748467,0.9600000000000001,0.9,0.4186046511627907,0.5714285714285715,0.12
13,CNN with Attention,"256 filters, kernel size 7",0.926829268292683,0.96,0.9570552147239264,0.9585253456221198,0.6818181818181818,0.6976744186046512,0.6896551724137931,0.12
14,CNN with Attention,"256 filters, kernel size 5",0.948509485094851,0.9665653495440729,0.9754601226993865,0.9709923664122138,0.8,0.7441860465116279,0.7710843373493975,0.12
15,CNN with Attention,"256 filters, kernel size 3",0.9349593495934959,0.968944099378882,0.9570552147239264,0.962962962962963,0.7021276595744681,0.7674418604651163,0.7333333333333334,0.12
16,CNN,"32 filters, kernel size 7",0.9051490514905149,0.9589905362776026,0.9325153374233128,0.9455676516329704,0.5769230769230769,0.6976744186046512,0.631578947368421,0.12
17,CNN,"32 filters, kernel size 5",0.924119241192412,0.935672514619883,0.9815950920245399,0.9580838323353292,0.7777777777777778,0.4883720930232558,0.6000000000000001,0.12
18,CNN,"32 filters, kernel size 3",0.943089430894309,0.9498525073746312,0.9877300613496932,0.968421052631579,0.8666666666666667,0.6046511627906976,0.7123287671232877,0.12
19,CNN,"64 filters, kernel size 7",0.9295392953929539,0.96875,0.950920245398773,0.9597523219814241,0.673469387755102,0.7674418604651163,0.7173913043478259,0.12
20,CNN,"64 filters, kernel size 5",0.9186991869918699,0.9378698224852071,0.9723926380368099,0.9548192771084338,0.7096774193548387,0.5116279069767442,0.5945945945945946,0.12
21,CNN,"64 filters, kernel size 3",0.9322493224932249,0.9413489736070382,0.9846625766871165,0.9625187406296852,0.8214285714285714,0.5348837209302325,0.647887323943662,0.12
22,CNN,"128 filters, kernel size 7",0.7967479674796748,0.9735849056603774,0.7914110429447853,0.8730964467005076,0.34615384615384615,0.8372093023255814,0.4897959183673469,0.12
23,CNN,"128 filters, kernel size 5",0.9132791327913279,0.9711538461538461,0.9294478527607362,0.9498432601880878,0.5964912280701754,0.7906976744186046,0.6799999999999999,0.12
24,CNN,"128 filters, kernel size 3",0.967479674796748,0.9700598802395209,0.9938650306748467,0.9818181818181819,0.9428571428571428,0.7674418604651163,0.8461538461538461,0.12
25,CNN,"256 filters, kernel size 7",0.8373983739837398,0.9683098591549296,0.843558282208589,0.901639344262295,0.4,0.7906976744186046,0.53125,0.12
26,CNN,"256 filters, kernel size 5",0.7560975609756098,0.9682539682539683,0.7484662576687117,0.8442906574394464,0.29914529914529914,0.813953488372093,0.4375,0.12
27,CNN,"256 filters, kernel size 3",0.948509485094851,0.9935691318327974,0.9478527607361963,0.9701726844583988,0.7068965517241379,0.9534883720930233,0.8118811881188119,0.12
