,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.667621776504298,1.0,0.6171617161716172,0.763265306122449,0.2839506172839506,1.0,0.4423076923076923,0.13
1,LSTM,128 layers,0.7048710601719198,1.0,0.6600660066006601,0.7952286282306164,0.3087248322147651,1.0,0.4717948717948718,0.13
2,LSTM,64 layers,0.7020057306590258,0.9671361502347418,0.6798679867986799,0.7984496124031008,0.2867647058823529,0.8478260869565217,0.4285714285714285,0.13
3,LSTM,32 layers,0.7020057306590258,0.9901477832512315,0.6633663366336634,0.7944664031620554,0.3013698630136986,0.9565217391304348,0.45833333333333326,0.13
4,CNN with Attention,"32 filters, kernel size 7",0.6762177650429799,0.9797979797979798,0.6402640264026402,0.7744510978043913,0.2781456953642384,0.9130434782608695,0.4263959390862944,0.13
5,CNN with Attention,"32 filters, kernel size 5",0.6934097421203438,1.0,0.6468646864686468,0.7855711422845691,0.3006535947712418,1.0,0.46231155778894467,0.13
6,CNN with Attention,"32 filters, kernel size 3",0.664756446991404,0.9946808510638298,0.6171617161716172,0.7617107942973524,0.2795031055900621,0.9782608695652174,0.43478260869565216,0.13
7,CNN with Attention,"64 filters, kernel size 7",0.6934097421203438,0.9851485148514851,0.6567656765676567,0.7881188118811882,0.2925170068027211,0.9347826086956522,0.44559585492227977,0.13
8,CNN with Attention,"64 filters, kernel size 5",0.6790830945558739,1.0,0.6303630363036303,0.7732793522267206,0.2911392405063291,1.0,0.45098039215686275,0.13
9,CNN with Attention,"64 filters, kernel size 3",0.6561604584527221,0.9945945945945946,0.6072607260726073,0.7540983606557378,0.27439024390243905,0.9782608695652174,0.42857142857142866,0.13
10,CNN with Attention,"128 filters, kernel size 7",0.7449856733524355,0.9652173913043478,0.7326732673267327,0.8330206378986866,0.31932773109243695,0.8260869565217391,0.4606060606060606,0.13
11,CNN with Attention,"128 filters, kernel size 5",0.7163323782234957,1.0,0.6732673267326733,0.8047337278106509,0.31724137931034485,1.0,0.48167539267015713,0.13
12,CNN with Attention,"128 filters, kernel size 3",0.6361031518624641,1.0,0.5808580858085809,0.7348643006263049,0.2658959537572254,1.0,0.4200913242009132,0.13
13,CNN with Attention,"256 filters, kernel size 7",0.7077363896848138,0.9808612440191388,0.6765676567656765,0.80078125,0.3,0.9130434782608695,0.45161290322580644,0.13
14,CNN with Attention,"256 filters, kernel size 5",0.6361031518624641,1.0,0.5808580858085809,0.7348643006263049,0.2658959537572254,1.0,0.4200913242009132,0.13
15,CNN with Attention,"256 filters, kernel size 3",0.6934097421203438,1.0,0.6468646864686468,0.7855711422845691,0.3006535947712418,1.0,0.46231155778894467,0.13
16,CNN,"32 filters, kernel size 7",0.6361031518624641,1.0,0.5808580858085809,0.7348643006263049,0.2658959537572254,1.0,0.4200913242009132,0.13
17,CNN,"32 filters, kernel size 5",0.6275071633237822,1.0,0.570957095709571,0.7268907563025211,0.26136363636363635,1.0,0.41441441441441446,0.13
18,CNN,"32 filters, kernel size 3",0.6303724928366762,1.0,0.5742574257425742,0.7295597484276729,0.26285714285714284,1.0,0.41628959276018096,0.13
19,CNN,"64 filters, kernel size 7",0.6332378223495702,1.0,0.5775577557755776,0.7322175732217573,0.26436781609195403,1.0,0.4181818181818182,0.13
20,CNN,"64 filters, kernel size 5",0.6275071633237822,1.0,0.570957095709571,0.7268907563025211,0.26136363636363635,1.0,0.41441441441441446,0.13
21,CNN,"64 filters, kernel size 3",0.6389684813753582,1.0,0.5841584158415841,0.7374999999999999,0.26744186046511625,1.0,0.4220183486238532,0.13
22,CNN,"128 filters, kernel size 7",0.664756446991404,0.984375,0.6237623762376238,0.7636363636363637,0.27388535031847133,0.9347826086956522,0.4236453201970443,0.13
23,CNN,"128 filters, kernel size 5",0.6389684813753582,0.9732620320855615,0.6006600660066007,0.7428571428571429,0.25308641975308643,0.8913043478260869,0.3942307692307692,0.13
24,CNN,"128 filters, kernel size 3",0.6418338108882522,1.0,0.5874587458745875,0.7401247401247402,0.26900584795321636,1.0,0.42396313364055294,0.13
25,CNN,"256 filters, kernel size 7",0.6590257879656161,0.9646464646464646,0.6303630363036303,0.7624750499001997,0.2582781456953642,0.8478260869565217,0.3959390862944162,0.13
26,CNN,"256 filters, kernel size 5",0.6361031518624641,0.9835164835164835,0.5907590759075908,0.7381443298969073,0.25748502994011974,0.9347826086956522,0.4037558685446009,0.13
27,CNN,"256 filters, kernel size 3",0.8194842406876791,0.9411764705882353,0.8448844884488449,0.8904347826086957,0.38961038961038963,0.6521739130434783,0.4878048780487804,0.13
