,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8571428571428571,0.9017341040462428,0.9341317365269461,0.9176470588235294,0.5217391304347826,0.41379310344827586,0.4615384615384615
1,LSTM,200 layers,0.8622448979591837,0.9117647058823529,0.9281437125748503,0.9198813056379822,0.5384615384615384,0.4827586206896552,0.509090909090909
2,LSTM,100 layers,0.8724489795918368,0.9226190476190477,0.9281437125748503,0.9253731343283582,0.5714285714285714,0.5517241379310345,0.5614035087719299
3,LSTM,50 layers,0.8724489795918368,0.94375,0.9041916167664671,0.9235474006116209,0.5555555555555556,0.6896551724137931,0.6153846153846154
4,CNN with Attention,,0.8214285714285714,0.8666666666666667,0.9341317365269461,0.899135446685879,0.3125,0.1724137931034483,0.22222222222222224
5,CNN with Attention,,0.8061224489795918,0.8486486486486486,0.9401197604790419,0.8920454545454546,0.09090909090909091,0.034482758620689655,0.05
6,CNN with Attention,,0.8418367346938775,0.8541666666666666,0.9820359281437125,0.9136490250696377,0.25,0.034482758620689655,0.0606060606060606
7,CNN with Attention,,0.8520408163265306,0.8520408163265306,1.0,0.9201101928374656,0.0,0.0,0.0
8,CNN with Attention,,0.8418367346938775,0.8617021276595744,0.9700598802395209,0.9126760563380281,0.375,0.10344827586206896,0.16216216216216217
9,CNN with Attention,,0.8163265306122449,0.8502673796791443,0.9520958083832335,0.8983050847457626,0.1111111111111111,0.034482758620689655,0.05263157894736842
10,CNN with Attention,,0.8214285714285714,0.851063829787234,0.9580838323353293,0.9014084507042254,0.125,0.034482758620689655,0.05405405405405405
11,Random Forest,50 Estimators,0.8367346938775511,0.8497409326424871,0.9820359281437125,0.9111111111111111,0.0,0.0,0.0
12,Random Forest,25 Estimators,0.8367346938775511,0.8497409326424871,0.9820359281437125,0.9111111111111111,0.0,0.0,0.0
13,Random Forest,20 Estimators,0.8367346938775511,0.8497409326424871,0.9820359281437125,0.9111111111111111,0.0,0.0,0.0
14,Random Forest,10 Estimators,0.8367346938775511,0.8497409326424871,0.9820359281437125,0.9111111111111111,0.0,0.0,0.0
15,Random Forest,5 Estimators,0.8367346938775511,0.8497409326424871,0.9820359281437125,0.9111111111111111,0.0,0.0,0.0
16,RNN,200 units,0.826530612244898,0.88,0.9221556886227545,0.9005847953216375,0.38095238095238093,0.27586206896551724,0.32
17,RNN,150 units,0.8724489795918368,0.8901098901098901,0.9700598802395209,0.9283667621776505,0.6428571428571429,0.3103448275862069,0.4186046511627907
18,RNN,100 units,0.8367346938775511,0.8857142857142857,0.9281437125748503,0.9064327485380117,0.42857142857142855,0.3103448275862069,0.36000000000000004
19,RNN,50 units,0.8673469387755102,0.8983050847457628,0.9520958083832335,0.9244186046511629,0.5789473684210527,0.3793103448275862,0.45833333333333337
20,CNN,"64 filters, kernel size 3",0.8316326530612245,0.8722222222222222,0.9401197604790419,0.9048991354466859,0.375,0.20689655172413793,0.26666666666666666
21,CNN,"128 filters, kernel size 3",0.8622448979591837,0.8804347826086957,0.9700598802395209,0.923076923076923,0.5833333333333334,0.2413793103448276,0.34146341463414637
22,CNN,"256 filters, kernel size 3",0.8214285714285714,0.8626373626373627,0.9401197604790419,0.8997134670487106,0.2857142857142857,0.13793103448275862,0.18604651162790697
23,CNN,"64 filters, kernel size 5",0.8418367346938775,0.8695652173913043,0.9580838323353293,0.9116809116809117,0.4166666666666667,0.1724137931034483,0.2439024390243903
24,CNN,"128 filters, kernel size 5",0.8520408163265306,0.8876404494382022,0.9461077844311377,0.9159420289855073,0.5,0.3103448275862069,0.3829787234042554
25,CNN,"256 filters, kernel size 5",0.8418367346938775,0.8777777777777778,0.9461077844311377,0.9106628242074927,0.4375,0.2413793103448276,0.3111111111111111
