,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8811475409836066,0.9241071428571429,0.9452054794520548,0.9345372460496614,0.4,0.32,0.35555555555555557
1,LSTM,200 layers,0.8565573770491803,0.9220183486238532,0.9178082191780822,0.919908466819222,0.3076923076923077,0.32,0.3137254901960784
2,LSTM,100 layers,0.8688524590163934,0.9230769230769231,0.9315068493150684,0.9272727272727274,0.34782608695652173,0.32,0.3333333333333333
3,LSTM,50 layers,0.889344262295082,0.9210526315789473,0.958904109589041,0.9395973154362416,0.4375,0.28,0.34146341463414637
4,Random Forest,50 Estimators,0.889344262295082,0.9,0.9863013698630136,0.9411764705882354,0.25,0.04,0.06896551724137932
5,Random Forest,25 Estimators,0.889344262295082,0.9,0.9863013698630136,0.9411764705882354,0.25,0.04,0.06896551724137932
6,Random Forest,20 Estimators,0.889344262295082,0.9,0.9863013698630136,0.9411764705882354,0.25,0.04,0.06896551724137932
7,Random Forest,10 Estimators,0.889344262295082,0.9,0.9863013698630136,0.9411764705882354,0.25,0.04,0.06896551724137932
8,Random Forest,5 Estimators,0.889344262295082,0.9,0.9863013698630136,0.9411764705882354,0.25,0.04,0.06896551724137932
9,RNN,200 units,0.8483606557377049,0.9136363636363637,0.9178082191780822,0.9157175398633258,0.25,0.24,0.24489795918367346
10,RNN,150 units,0.8688524590163934,0.9047619047619048,0.954337899543379,0.9288888888888889,0.23076923076923078,0.12,0.15789473684210525
11,RNN,100 units,0.8729508196721312,0.915929203539823,0.9452054794520548,0.9303370786516854,0.3333333333333333,0.24,0.27906976744186046
12,RNN,50 units,0.8647540983606558,0.9151785714285714,0.9360730593607306,0.9255079006772009,0.3,0.24,0.2666666666666666
13,CNN with Attention,"32 filters, kernel size 7",0.8770491803278688,0.9126637554585153,0.954337899543379,0.9330357142857144,0.3333333333333333,0.2,0.25
14,CNN with Attention,"64 filters, kernel size 7",0.8852459016393442,0.9134199134199135,0.9634703196347032,0.9377777777777778,0.38461538461538464,0.2,0.2631578947368421
15,CNN with Attention,"128 filters, kernel size 7",0.8729508196721312,0.9196428571428571,0.9406392694063926,0.9300225733634311,0.35,0.28,0.3111111111111111
16,CNN with Attention,"256 filters, kernel size 7",0.9057377049180327,0.9260869565217391,0.9726027397260274,0.9487750556792872,0.5714285714285714,0.32,0.41025641025641024
17,CNN with Attention,"32 filters, kernel size 5",0.8688524590163934,0.9155555555555556,0.9406392694063926,0.927927927927928,0.3157894736842105,0.24,0.2727272727272727
18,CNN with Attention,"64 filters, kernel size 5",0.8975409836065574,0.9292035398230089,0.958904109589041,0.9438202247191011,0.5,0.36,0.41860465116279066
19,CNN with Attention,"128 filters, kernel size 5",0.8770491803278688,0.9162995594713657,0.9497716894977168,0.9327354260089686,0.35294117647058826,0.24,0.28571428571428564
20,CNN with Attention,"256 filters, kernel size 5",0.8811475409836066,0.9203539823008849,0.9497716894977168,0.9348314606741572,0.3888888888888889,0.28,0.32558139534883723
21,CNN with Attention,"64 filters, kernel size 3",0.8647540983606558,0.926605504587156,0.9223744292237442,0.9244851258581236,0.34615384615384615,0.36,0.35294117647058826
22,CNN with Attention,"128 filters, kernel size 3",0.860655737704918,0.918552036199095,0.9269406392694064,0.9227272727272728,0.30434782608695654,0.28,0.2916666666666667
23,CNN with Attention,"256 filters, kernel size 3",0.8729508196721312,0.908695652173913,0.954337899543379,0.9309576837416481,0.2857142857142857,0.16,0.20512820512820512
