,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9290617848970252,0.8773584905660378,0.9738219895287958,0.9230769230769232,0.9777777777777777,0.8943089430894309,0.9341825902335457
1,LSTM,200 layers,0.9290617848970252,0.8883495145631068,0.9581151832460733,0.9219143576826196,0.9653679653679653,0.9065040650406504,0.9350104821802935
2,LSTM,100 layers,0.9130434782608695,0.8883248730964467,0.9162303664921466,0.9020618556701031,0.9333333333333333,0.9105691056910569,0.9218106995884775
3,LSTM,50 layers,0.9153318077803204,0.8774509803921569,0.93717277486911,0.9063291139240506,0.9484978540772532,0.8983739837398373,0.9227557411273486
4,CNN with Attention,"32 filters, kernel size 5",0.8993135011441648,0.8418604651162791,0.9476439790575916,0.8916256157635468,0.954954954954955,0.8617886178861789,0.905982905982906
5,CNN with Attention,"64 filters, kernel size 5",0.897025171624714,0.8476190476190476,0.9319371727748691,0.8877805486284288,0.9427312775330396,0.8699186991869918,0.904862579281184
6,CNN with Attention,"128 filters, kernel size 5",0.9061784897025171,0.8537735849056604,0.9476439790575916,0.8982630272952854,0.9555555555555556,0.8739837398373984,0.9129511677282378
7,CNN with Attention,"256 filters, kernel size 5",0.9130434782608695,0.8591549295774648,0.9581151832460733,0.905940594059406,0.9642857142857143,0.8780487804878049,0.9191489361702128
8,CNN with Attention,"64 filters, kernel size 3",0.8924485125858124,0.8495145631067961,0.9162303664921466,0.8816120906801007,0.9307359307359307,0.8739837398373984,0.9014675052410901
9,CNN with Attention,"128 filters, kernel size 3",0.8878718535469108,0.8349056603773585,0.9267015706806283,0.8784119106699753,0.9377777777777778,0.8577235772357723,0.8959660297239914
10,CNN with Attention,"256 filters, kernel size 3",0.8947368421052632,0.8502415458937198,0.9214659685863874,0.8844221105527639,0.9347826086956522,0.8739837398373984,0.9033613445378151
11,Random Forest,50 Estimators,0.700228832951945,0.6153846153846154,0.837696335078534,0.7095343680709535,0.8248587570621468,0.5934959349593496,0.6903073286052009
12,Random Forest,25 Estimators,0.700228832951945,0.6153846153846154,0.837696335078534,0.7095343680709535,0.8248587570621468,0.5934959349593496,0.6903073286052009
13,Random Forest,20 Estimators,0.700228832951945,0.6153846153846154,0.837696335078534,0.7095343680709535,0.8248587570621468,0.5934959349593496,0.6903073286052009
14,Random Forest,10 Estimators,0.700228832951945,0.6153846153846154,0.837696335078534,0.7095343680709535,0.8248587570621468,0.5934959349593496,0.6903073286052009
15,Random Forest,5 Estimators,0.700228832951945,0.6153846153846154,0.837696335078534,0.7095343680709535,0.8248587570621468,0.5934959349593496,0.6903073286052009
16,RNN,200 units,0.9084668192219679,0.8647342995169082,0.93717277486911,0.8994974874371858,0.9478260869565217,0.8861788617886179,0.9159663865546218
17,RNN,150 units,0.9290617848970252,0.8809523809523809,0.9685863874345549,0.9226932668329177,0.973568281938326,0.8983739837398373,0.9344608879492601
18,RNN,100 units,0.9221967963386728,0.8720379146919431,0.9633507853403142,0.9154228855721392,0.9690265486725663,0.8902439024390244,0.9279661016949152
19,RNN,50 units,0.9221967963386728,0.8829268292682927,0.9476439790575916,0.9141414141414141,0.9568965517241379,0.9024390243902439,0.9288702928870294
20,CNN,"64 filters, kernel size 3",0.8558352402745996,0.8076923076923077,0.8795811518324608,0.8421052631578947,0.8995633187772926,0.8373983739837398,0.8673684210526315
21,CNN,"128 filters, kernel size 3",0.8558352402745996,0.7962962962962963,0.900523560209424,0.8452088452088453,0.9140271493212669,0.8211382113821138,0.8650963597430408
22,CNN,"256 filters, kernel size 3",0.8604118993135011,0.8155339805825242,0.8795811518324608,0.8463476070528967,0.9004329004329005,0.8455284552845529,0.8721174004192873
23,CNN,"64 filters, kernel size 5",0.8558352402745996,0.7935779816513762,0.9057591623036649,0.8459657701711492,0.9178082191780822,0.8170731707317073,0.864516129032258
24,CNN,"128 filters, kernel size 5",0.8741418764302059,0.8207547169811321,0.9109947643979057,0.8635235732009927,0.9244444444444444,0.8455284552845529,0.8832271762208069
25,CNN,"256 filters, kernel size 5",0.88558352402746,0.8309859154929577,0.9267015706806283,0.8762376237623762,0.9375,0.8536585365853658,0.8936170212765958
