,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.6768558951965066,0.9130434782608695,0.7101449275362319,0.7989130434782608,0.11764705882352941,0.36363636363636365,0.17777777777777776
1,LSTM,200 layers,0.74235807860262,0.9204545454545454,0.782608695652174,0.8459530026109661,0.1509433962264151,0.36363636363636365,0.21333333333333335
2,LSTM,100 layers,0.7117903930131004,0.9272727272727272,0.7391304347826086,0.8225806451612903,0.15625,0.45454545454545453,0.2325581395348837
3,LSTM,50 layers,0.8253275109170306,0.9073170731707317,0.8985507246376812,0.9029126213592233,0.125,0.13636363636363635,0.13043478260869565
4,CNN with Attention,"32 filters, kernel size 7",0.7074235807860262,0.9166666666666666,0.7439613526570048,0.8213333333333332,0.13114754098360656,0.36363636363636365,0.1927710843373494
5,CNN with Attention,"32 filters, kernel size 5",0.7510917030567685,0.9120879120879121,0.8019323671497585,0.853470437017995,0.1276595744680851,0.2727272727272727,0.17391304347826086
6,CNN with Attention,"32 filters, kernel size 3",0.8384279475982532,0.9086538461538461,0.9130434782608695,0.9108433734939758,0.14285714285714285,0.13636363636363635,0.1395348837209302
7,CNN with Attention,"64 filters, kernel size 7",0.6768558951965066,0.9130434782608695,0.7101449275362319,0.7989130434782608,0.11764705882352941,0.36363636363636365,0.17777777777777776
8,CNN with Attention,"64 filters, kernel size 5",0.8384279475982532,0.9047619047619048,0.9178743961352657,0.9112709832134293,0.10526315789473684,0.09090909090909091,0.0975609756097561
9,CNN with Attention,"64 filters, kernel size 3",0.6812227074235808,0.91875,0.7101449275362319,0.8010899182561307,0.13043478260869565,0.4090909090909091,0.19780219780219782
10,CNN with Attention,"128 filters, kernel size 7",0.7205240174672489,0.9132947976878613,0.7632850241545893,0.8315789473684211,0.125,0.3181818181818182,0.1794871794871795
11,CNN with Attention,"128 filters, kernel size 5",0.7903930131004366,0.9162303664921466,0.8454106280193237,0.8793969849246231,0.15789473684210525,0.2727272727272727,0.19999999999999998
12,CNN with Attention,"128 filters, kernel size 3",0.759825327510917,0.9222222222222223,0.8019323671497585,0.8578811369509044,0.16326530612244897,0.36363636363636365,0.22535211267605632
13,CNN with Attention,"256 filters, kernel size 7",0.7729257641921398,0.9144385026737968,0.8260869565217391,0.8680203045685279,0.14285714285714285,0.2727272727272727,0.18749999999999997
14,CNN with Attention,"256 filters, kernel size 5",0.7685589519650655,0.9184782608695652,0.8164251207729468,0.8644501278772379,0.15555555555555556,0.3181818181818182,0.208955223880597
15,CNN with Attention,"256 filters, kernel size 3",0.8034934497816594,0.921875,0.855072463768116,0.887218045112782,0.1891891891891892,0.3181818181818182,0.23728813559322035
16,RNN,200 units,0.7729257641921398,0.9057591623036649,0.8357487922705314,0.8693467336683417,0.10526315789473684,0.18181818181818182,0.13333333333333333
17,RNN,150 units,0.6724890829694323,0.9125,0.7053140096618358,0.7956403269754768,0.11594202898550725,0.36363636363636365,0.1758241758241758
18,RNN,100 units,0.7903930131004366,0.9162303664921466,0.8454106280193237,0.8793969849246231,0.15789473684210525,0.2727272727272727,0.19999999999999998
19,RNN,50 units,0.7860262008733624,0.9202127659574468,0.8357487922705314,0.8759493670886077,0.17073170731707318,0.3181818181818182,0.22222222222222224
20,CNN,"32 filters, kernel size 7",0.6899563318777293,0.9197530864197531,0.7198067632850241,0.8075880758807588,0.13432835820895522,0.4090909090909091,0.20224719101123595
21,CNN,"32 filters, kernel size 5",0.611353711790393,0.9338235294117647,0.6135265700483091,0.7405247813411079,0.13978494623655913,0.5909090909090909,0.2260869565217391
22,CNN,"32 filters, kernel size 3",0.7641921397379913,0.9090909090909091,0.821256038647343,0.8629441624365483,0.11904761904761904,0.22727272727272727,0.15624999999999997
23,CNN,"64 filters, kernel size 7",0.7510917030567685,0.9120879120879121,0.8019323671497585,0.853470437017995,0.1276595744680851,0.2727272727272727,0.17391304347826086
24,CNN,"64 filters, kernel size 5",0.6986899563318777,0.9107142857142857,0.7391304347826086,0.8159999999999998,0.11475409836065574,0.3181818181818182,0.1686746987951807
25,CNN,"64 filters, kernel size 3",0.7816593886462883,0.9153439153439153,0.8357487922705314,0.8737373737373737,0.15,0.2727272727272727,0.19354838709677416
26,CNN,"128 filters, kernel size 7",0.7860262008733624,0.9072164948453608,0.8502415458937198,0.8778054862842892,0.11428571428571428,0.18181818181818182,0.14035087719298245
27,CNN,"128 filters, kernel size 5",0.777292576419214,0.9193548387096774,0.8260869565217391,0.8702290076335878,0.16279069767441862,0.3181818181818182,0.2153846153846154
28,CNN,"128 filters, kernel size 3",0.759825327510917,0.9222222222222223,0.8019323671497585,0.8578811369509044,0.16326530612244897,0.36363636363636365,0.22535211267605632
29,CNN,"256 filters, kernel size 7",0.7860262008733624,0.9030612244897959,0.855072463768116,0.8784119106699751,0.09090909090909091,0.13636363636363635,0.10909090909090909
30,CNN,"256 filters, kernel size 5",0.7991266375545851,0.900497512437811,0.8743961352657005,0.8872549019607843,0.07142857142857142,0.09090909090909091,0.08
31,CNN,"256 filters, kernel size 3",0.777292576419214,0.9148936170212766,0.8309178743961353,0.8708860759493672,0.14634146341463414,0.2727272727272727,0.19047619047619044
