,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8820960698689956,0.9245283018867925,0.9468599033816425,0.9355608591885441,0.35294117647058826,0.2727272727272727,0.30769230769230765
1,LSTM,200 layers,0.8646288209606987,0.9583333333333334,0.8888888888888888,0.9223057644110275,0.3783783783783784,0.6363636363636364,0.4745762711864407
2,LSTM,100 layers,0.868995633187773,0.9317073170731708,0.9227053140096618,0.9271844660194175,0.3333333333333333,0.36363636363636365,0.34782608695652173
3,LSTM,50 layers,0.834061135371179,0.9333333333333333,0.8792270531400966,0.9054726368159204,0.2647058823529412,0.4090909090909091,0.3214285714285714
4,CNN with Attention,"32 filters, kernel size 7",0.8777292576419214,0.9162790697674419,0.9516908212560387,0.933649289099526,0.2857142857142857,0.18181818181818182,0.2222222222222222
5,CNN with Attention,"32 filters, kernel size 5",0.8471615720524017,0.9134615384615384,0.9178743961352657,0.9156626506024096,0.19047619047619047,0.18181818181818182,0.18604651162790697
6,CNN with Attention,"32 filters, kernel size 3",0.8820960698689956,0.9017857142857143,0.9758454106280193,0.9373549883990719,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.8296943231441049,0.9242424242424242,0.8840579710144928,0.9037037037037037,0.22580645161290322,0.3181818181818182,0.2641509433962264
8,CNN with Attention,"64 filters, kernel size 5",0.8820960698689956,0.9128440366972477,0.961352657004831,0.936470588235294,0.2727272727272727,0.13636363636363635,0.1818181818181818
9,CNN with Attention,"64 filters, kernel size 3",0.8777292576419214,0.9162790697674419,0.9516908212560387,0.933649289099526,0.2857142857142857,0.18181818181818182,0.2222222222222222
10,CNN with Attention,"128 filters, kernel size 7",0.8558951965065502,0.9142857142857143,0.927536231884058,0.920863309352518,0.21052631578947367,0.18181818181818182,0.1951219512195122
11,CNN with Attention,"128 filters, kernel size 5",0.8034934497816594,0.9308510638297872,0.8454106280193237,0.8860759493670886,0.21951219512195122,0.4090909090909091,0.28571428571428575
12,CNN with Attention,"128 filters, kernel size 3",0.8820960698689956,0.95,0.9178743961352657,0.9336609336609336,0.41379310344827586,0.5454545454545454,0.47058823529411764
13,CNN with Attention,"256 filters, kernel size 7",0.7860262008733624,0.9293478260869565,0.8260869565217391,0.8746803069053708,0.2,0.4090909090909091,0.2686567164179105
14,CNN with Attention,"256 filters, kernel size 5",0.868995633187773,0.9234449760765551,0.9323671497584541,0.9278846153846153,0.3,0.2727272727272727,0.28571428571428564
15,CNN with Attention,"256 filters, kernel size 3",0.868995633187773,0.919431279620853,0.9371980676328503,0.9282296650717703,0.2777777777777778,0.22727272727272727,0.25
16,RNN,200 units,0.7816593886462883,0.9243243243243243,0.8260869565217391,0.8724489795918368,0.18181818181818182,0.36363636363636365,0.24242424242424246
17,RNN,150 units,0.8820960698689956,0.9205607476635514,0.9516908212560387,0.9358669833729217,0.3333333333333333,0.22727272727272727,0.27027027027027023
18,RNN,100 units,0.8034934497816594,0.900990099009901,0.8792270531400966,0.8899755501222494,0.07407407407407407,0.09090909090909091,0.08163265306122448
19,RNN,50 units,0.8165938864628821,0.9024390243902439,0.893719806763285,0.8980582524271845,0.08333333333333333,0.09090909090909091,0.08695652173913043
20,CNN,"32 filters, kernel size 7",0.8034934497816594,0.9090909090909091,0.8695652173913043,0.888888888888889,0.12903225806451613,0.18181818181818182,0.1509433962264151
21,CNN,"32 filters, kernel size 5",0.8296943231441049,0.9117647058823529,0.8985507246376812,0.9051094890510949,0.16,0.18181818181818182,0.1702127659574468
22,CNN,"32 filters, kernel size 3",0.8820960698689956,0.9285714285714286,0.9420289855072463,0.935251798561151,0.3684210526315789,0.3181818181818182,0.3414634146341463
23,CNN,"64 filters, kernel size 7",0.7641921397379913,0.9090909090909091,0.821256038647343,0.8629441624365483,0.11904761904761904,0.22727272727272727,0.15624999999999997
24,CNN,"64 filters, kernel size 5",0.851528384279476,0.9219512195121952,0.9130434782608695,0.9174757281553397,0.25,0.2727272727272727,0.2608695652173913
25,CNN,"64 filters, kernel size 3",0.8078602620087336,0.9405405405405406,0.8405797101449275,0.8877551020408163,0.25,0.5,0.3333333333333333
26,CNN,"128 filters, kernel size 7",0.8296943231441049,0.9285714285714286,0.8792270531400966,0.9032258064516129,0.24242424242424243,0.36363636363636365,0.2909090909090909
27,CNN,"128 filters, kernel size 5",0.8908296943231441,0.9026548672566371,0.9855072463768116,0.9422632794457274,0.0,0.0,0.0
28,CNN,"128 filters, kernel size 3",0.8820960698689956,0.9411764705882353,0.927536231884058,0.9343065693430658,0.4,0.45454545454545453,0.4255319148936171
29,CNN,"256 filters, kernel size 7",0.8471615720524017,0.9056603773584906,0.927536231884058,0.9164677804295943,0.11764705882352941,0.09090909090909091,0.10256410256410256
30,CNN,"256 filters, kernel size 5",0.8951965065502183,0.9178082191780822,0.9710144927536232,0.943661971830986,0.4,0.18181818181818182,0.25000000000000006
31,CNN,"256 filters, kernel size 3",0.9039301310043668,0.9342723004694836,0.961352657004831,0.9476190476190477,0.5,0.36363636363636365,0.4210526315789474
