,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.6768558951965066,0.9182389937106918,0.7053140096618358,0.7978142076502732,0.12857142857142856,0.4090909090909091,0.19565217391304343
1,LSTM,200 layers,0.6637554585152838,0.9166666666666666,0.6908212560386473,0.7878787878787878,0.1232876712328767,0.4090909090909091,0.18947368421052632
2,LSTM,100 layers,0.8034934497816594,0.905,0.8743961352657005,0.8894348894348894,0.10344827586206896,0.13636363636363635,0.11764705882352941
3,LSTM,50 layers,0.7903930131004366,0.8994974874371859,0.8647342995169082,0.8817733990147784,0.06666666666666667,0.09090909090909091,0.07692307692307691
4,CNN with Attention,"32 filters, kernel size 7",0.8646288209606987,0.9074074074074074,0.9468599033816425,0.9267139479905437,0.15384615384615385,0.09090909090909091,0.1142857142857143
5,CNN with Attention,"32 filters, kernel size 5",0.6899563318777293,0.9047619047619048,0.7342995169082126,0.8106666666666666,0.09836065573770492,0.2727272727272727,0.14457831325301204
6,CNN with Attention,"32 filters, kernel size 3",0.8296943231441049,0.9,0.9130434782608695,0.9064748201438848,0.05263157894736842,0.045454545454545456,0.04878048780487805
7,CNN with Attention,"64 filters, kernel size 7",0.8427947598253275,0.9052132701421801,0.9227053140096618,0.9138755980861244,0.1111111111111111,0.09090909090909091,0.09999999999999999
8,CNN with Attention,"64 filters, kernel size 5",0.6724890829694323,0.9074074074074074,0.7101449275362319,0.7967479674796749,0.1044776119402985,0.3181818181818182,0.15730337078651685
9,CNN with Attention,"64 filters, kernel size 3",0.8384279475982532,0.9047619047619048,0.9178743961352657,0.9112709832134293,0.10526315789473684,0.09090909090909091,0.0975609756097561
10,CNN with Attention,"128 filters, kernel size 7",0.8165938864628821,0.9024390243902439,0.893719806763285,0.8980582524271845,0.08333333333333333,0.09090909090909091,0.08695652173913043
11,CNN with Attention,"128 filters, kernel size 5",0.7117903930131004,0.9122807017543859,0.7536231884057971,0.8253968253968254,0.1206896551724138,0.3181818181818182,0.175
12,CNN with Attention,"128 filters, kernel size 3",0.8296943231441049,0.9,0.9130434782608695,0.9064748201438848,0.05263157894736842,0.045454545454545456,0.04878048780487805
13,CNN with Attention,"256 filters, kernel size 7",0.8427947598253275,0.8976744186046511,0.9323671497584541,0.9146919431279621,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.8733624454148472,0.9009009009009009,0.966183574879227,0.9324009324009324,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.8427947598253275,0.9052132701421801,0.9227053140096618,0.9138755980861244,0.1111111111111111,0.09090909090909091,0.09999999999999999
16,RNN,200 units,0.6724890829694323,0.9024390243902439,0.714975845410628,0.7978436657681941,0.09230769230769231,0.2727272727272727,0.13793103448275862
17,RNN,150 units,0.6812227074235808,0.9135802469135802,0.714975845410628,0.8021680216802167,0.11940298507462686,0.36363636363636365,0.1797752808988764
18,RNN,100 units,0.7030567685589519,0.9064327485380117,0.748792270531401,0.8201058201058201,0.10344827586206896,0.2727272727272727,0.15
19,RNN,50 units,0.6550218340611353,0.9102564102564102,0.6859903381642513,0.7823691460055097,0.1095890410958904,0.36363636363636365,0.16842105263157894
20,CNN,"32 filters, kernel size 7",0.7161572052401747,0.9080459770114943,0.7632850241545893,0.8293963254593176,0.10909090909090909,0.2727272727272727,0.15584415584415584
21,CNN,"32 filters, kernel size 5",0.834061135371179,0.9004739336492891,0.9178743961352657,0.9090909090909091,0.05555555555555555,0.045454545454545456,0.049999999999999996
22,CNN,"32 filters, kernel size 3",0.6768558951965066,0.9030303030303031,0.7198067632850241,0.8010752688172044,0.09375,0.2727272727272727,0.13953488372093023
23,CNN,"64 filters, kernel size 7",0.6986899563318777,0.9058823529411765,0.7439613526570048,0.8169761273209549,0.1016949152542373,0.2727272727272727,0.14814814814814817
24,CNN,"64 filters, kernel size 5",0.7030567685589519,0.9161676646706587,0.7391304347826086,0.8181818181818181,0.12903225806451613,0.36363636363636365,0.19047619047619047
25,CNN,"64 filters, kernel size 3",0.6681222707423581,0.901840490797546,0.7101449275362319,0.7945945945945946,0.09090909090909091,0.2727272727272727,0.13636363636363635
26,CNN,"128 filters, kernel size 7",0.6855895196506551,0.9090909090909091,0.7246376811594203,0.8064516129032259,0.109375,0.3181818181818182,0.1627906976744186
27,CNN,"128 filters, kernel size 5",0.7074235807860262,0.9069767441860465,0.7536231884057971,0.8232189973614775,0.10526315789473684,0.2727272727272727,0.1518987341772152
28,CNN,"128 filters, kernel size 3",0.7030567685589519,0.9112426035502958,0.7439613526570048,0.8191489361702128,0.11666666666666667,0.3181818181818182,0.17073170731707318
29,CNN,"256 filters, kernel size 7",0.6899563318777293,0.9096385542168675,0.7294685990338164,0.8096514745308312,0.1111111111111111,0.3181818181818182,0.16470588235294117
30,CNN,"256 filters, kernel size 5",0.6986899563318777,0.9058823529411765,0.7439613526570048,0.8169761273209549,0.1016949152542373,0.2727272727272727,0.14814814814814817
31,CNN,"256 filters, kernel size 3",0.7074235807860262,0.9117647058823529,0.748792270531401,0.8222811671087532,0.11864406779661017,0.3181818181818182,0.1728395061728395
