,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.7991266375545851,0.896551724137931,0.8792270531400966,0.8878048780487805,0.038461538461538464,0.045454545454545456,0.04166666666666667
1,LSTM,200 layers,0.7947598253275109,0.9040404040404041,0.8647342995169082,0.8839506172839506,0.0967741935483871,0.13636363636363635,0.11320754716981131
2,LSTM,100 layers,0.7991266375545851,0.9045226130653267,0.8695652173913043,0.8866995073891626,0.1,0.13636363636363635,0.11538461538461538
3,LSTM,50 layers,0.8034934497816594,0.900990099009901,0.8792270531400966,0.8899755501222494,0.07407407407407407,0.09090909090909091,0.08163265306122448
4,CNN with Attention,"32 filters, kernel size 7",0.851528384279476,0.9023255813953488,0.9371980676328503,0.9194312796208531,0.07142857142857142,0.045454545454545456,0.05555555555555555
5,CNN with Attention,"32 filters, kernel size 5",0.8908296943231441,0.9026548672566371,0.9855072463768116,0.9422632794457274,0.0,0.0,0.0
6,CNN with Attention,"32 filters, kernel size 3",0.8733624454148472,0.9045454545454545,0.961352657004831,0.9320843091334894,0.1111111111111111,0.045454545454545456,0.06451612903225805
7,CNN with Attention,"64 filters, kernel size 7",0.8558951965065502,0.9027777777777778,0.9420289855072463,0.9219858156028369,0.07692307692307693,0.045454545454545456,0.05714285714285715
8,CNN with Attention,"64 filters, kernel size 5",0.868995633187773,0.9041095890410958,0.9565217391304348,0.9295774647887325,0.1,0.045454545454545456,0.06250000000000001
9,CNN with Attention,"64 filters, kernel size 3",0.8733624454148472,0.908256880733945,0.9565217391304348,0.931764705882353,0.18181818181818182,0.09090909090909091,0.12121212121212123
10,CNN with Attention,"128 filters, kernel size 7",0.868995633187773,0.9041095890410958,0.9565217391304348,0.9295774647887325,0.1,0.045454545454545456,0.06250000000000001
11,CNN with Attention,"128 filters, kernel size 5",0.8820960698689956,0.9017857142857143,0.9758454106280193,0.9373549883990719,0.0,0.0,0.0
12,CNN with Attention,"128 filters, kernel size 3",0.868995633187773,0.9041095890410958,0.9565217391304348,0.9295774647887325,0.1,0.045454545454545456,0.06250000000000001
13,CNN with Attention,"256 filters, kernel size 7",0.8733624454148472,0.9045454545454545,0.961352657004831,0.9320843091334894,0.1111111111111111,0.045454545454545456,0.06451612903225805
14,CNN with Attention,"256 filters, kernel size 5",0.8951965065502183,0.9030837004405287,0.9903381642512077,0.944700460829493,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.8820960698689956,0.9017857142857143,0.9758454106280193,0.9373549883990719,0.0,0.0,0.0
16,RNN,200 units,0.8602620087336245,0.9107981220657277,0.9371980676328503,0.9238095238095239,0.1875,0.13636363636363635,0.15789473684210525
17,RNN,150 units,0.8558951965065502,0.9065420560747663,0.9371980676328503,0.9216152019002376,0.13333333333333333,0.09090909090909091,0.10810810810810811
18,RNN,100 units,0.8646288209606987,0.9074074074074074,0.9468599033816425,0.9267139479905437,0.15384615384615385,0.09090909090909091,0.1142857142857143
19,RNN,50 units,0.8558951965065502,0.9065420560747663,0.9371980676328503,0.9216152019002376,0.13333333333333333,0.09090909090909091,0.10810810810810811
20,CNN,"32 filters, kernel size 7",0.8384279475982532,0.9009433962264151,0.9227053140096618,0.9116945107398567,0.058823529411764705,0.045454545454545456,0.05128205128205128
21,CNN,"32 filters, kernel size 5",0.8384279475982532,0.9009433962264151,0.9227053140096618,0.9116945107398567,0.058823529411764705,0.045454545454545456,0.05128205128205128
22,CNN,"32 filters, kernel size 3",0.8646288209606987,0.9036697247706422,0.9516908212560387,0.9270588235294117,0.09090909090909091,0.045454545454545456,0.060606060606060615
23,CNN,"64 filters, kernel size 7",0.851528384279476,0.9023255813953488,0.9371980676328503,0.9194312796208531,0.07142857142857142,0.045454545454545456,0.05555555555555555
24,CNN,"64 filters, kernel size 5",0.8471615720524017,0.9018691588785047,0.9323671497584541,0.9168646080760096,0.06666666666666667,0.045454545454545456,0.05405405405405406
25,CNN,"64 filters, kernel size 3",0.8602620087336245,0.9032258064516129,0.9468599033816425,0.9245283018867925,0.08333333333333333,0.045454545454545456,0.05882352941176471
26,CNN,"128 filters, kernel size 7",0.8602620087336245,0.8995433789954338,0.9516908212560387,0.9248826291079811,0.0,0.0,0.0
27,CNN,"128 filters, kernel size 5",0.8558951965065502,0.9027777777777778,0.9420289855072463,0.9219858156028369,0.07692307692307693,0.045454545454545456,0.05714285714285715
28,CNN,"128 filters, kernel size 3",0.8602620087336245,0.9032258064516129,0.9468599033816425,0.9245283018867925,0.08333333333333333,0.045454545454545456,0.05882352941176471
29,CNN,"256 filters, kernel size 7",0.8646288209606987,0.9,0.9565217391304348,0.9274004683840749,0.0,0.0,0.0
30,CNN,"256 filters, kernel size 5",0.8602620087336245,0.9032258064516129,0.9468599033816425,0.9245283018867925,0.08333333333333333,0.045454545454545456,0.05882352941176471
31,CNN,"256 filters, kernel size 3",0.8864628820960698,0.9022222222222223,0.9806763285024155,0.9398148148148148,0.0,0.0,0.0
