,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8315789473684211,0.9096774193548387,0.8867924528301887,0.8980891719745223,0.4857142857142857,0.5483870967741935,0.5151515151515151
1,LSTM,200 layers,0.868421052631579,0.9135802469135802,0.9308176100628931,0.9221183800623053,0.6071428571428571,0.5483870967741935,0.5762711864406779
2,LSTM,100 layers,0.8947368421052632,0.9316770186335404,0.9433962264150944,0.9375,0.6896551724137931,0.6451612903225806,0.6666666666666667
3,LSTM,50 layers,0.8526315789473684,0.9171974522292994,0.9056603773584906,0.9113924050632911,0.5454545454545454,0.5806451612903226,0.5625
4,CNN with Attention,"32 filters, kernel size 5",0.8263157894736842,0.875,0.9245283018867925,0.8990825688073395,0.45454545454545453,0.3225806451612903,0.3773584905660377
5,CNN with Attention,"64 filters, kernel size 5",0.8526315789473684,0.8742857142857143,0.9622641509433962,0.9161676646706588,0.6,0.2903225806451613,0.3913043478260869
6,CNN with Attention,"128 filters, kernel size 5",0.8631578947368421,0.88,0.9685534591194969,0.9221556886227544,0.6666666666666666,0.3225806451612903,0.4347826086956521
7,CNN with Attention,"256 filters, kernel size 5",0.8473684210526315,0.877906976744186,0.949685534591195,0.9123867069486405,0.5555555555555556,0.3225806451612903,0.40816326530612246
8,CNN with Attention,"64 filters, kernel size 3",0.8421052631578947,0.8957055214723927,0.9182389937106918,0.9068322981366461,0.5185185185185185,0.45161290322580644,0.48275862068965514
9,CNN with Attention,"128 filters, kernel size 3",0.8473684210526315,0.8823529411764706,0.9433962264150944,0.911854103343465,0.55,0.3548387096774194,0.43137254901960786
10,CNN with Attention,"256 filters, kernel size 3",0.8578947368421053,0.8707865168539326,0.9748427672955975,0.9198813056379822,0.6666666666666666,0.25806451612903225,0.37209302325581395
11,Random Forest,50 Estimators,0.8263157894736842,0.8387096774193549,0.9811320754716981,0.9043478260869565,0.25,0.03225806451612903,0.05714285714285715
12,Random Forest,25 Estimators,0.8263157894736842,0.8387096774193549,0.9811320754716981,0.9043478260869565,0.25,0.03225806451612903,0.05714285714285715
13,Random Forest,20 Estimators,0.8263157894736842,0.8387096774193549,0.9811320754716981,0.9043478260869565,0.25,0.03225806451612903,0.05714285714285715
14,Random Forest,10 Estimators,0.8263157894736842,0.8387096774193549,0.9811320754716981,0.9043478260869565,0.25,0.03225806451612903,0.05714285714285715
15,Random Forest,5 Estimators,0.8263157894736842,0.8387096774193549,0.9811320754716981,0.9043478260869565,0.25,0.03225806451612903,0.05714285714285715
16,RNN,200 units,0.8894736842105263,0.9156626506024096,0.9559748427672956,0.9353846153846154,0.7083333333333334,0.5483870967741935,0.6181818181818182
17,RNN,150 units,0.8421052631578947,0.8771929824561403,0.9433962264150944,0.9090909090909091,0.5263157894736842,0.3225806451612903,0.39999999999999997
18,RNN,100 units,0.8105263157894737,0.8682634730538922,0.9119496855345912,0.8895705521472391,0.391304347826087,0.2903225806451613,0.33333333333333337
19,RNN,50 units,0.8578947368421053,0.8928571428571429,0.9433962264150944,0.9174311926605505,0.5909090909090909,0.41935483870967744,0.4905660377358491
20,CNN,"64 filters, kernel size 3",0.8368421052631579,0.8764705882352941,0.9371069182389937,0.9057750759878419,0.5,0.3225806451612903,0.39215686274509803
21,CNN,"128 filters, kernel size 3",0.8263157894736842,0.875,0.9245283018867925,0.8990825688073395,0.45454545454545453,0.3225806451612903,0.3773584905660377
22,CNN,"256 filters, kernel size 3",0.8578947368421053,0.8793103448275862,0.9622641509433962,0.9189189189189189,0.625,0.3225806451612903,0.425531914893617
23,CNN,"64 filters, kernel size 5",0.8736842105263158,0.8947368421052632,0.9622641509433962,0.9272727272727272,0.6842105263157895,0.41935483870967744,0.5200000000000001
24,CNN,"128 filters, kernel size 5",0.8526315789473684,0.8700564971751412,0.9685534591194969,0.9166666666666666,0.6153846153846154,0.25806451612903225,0.36363636363636365
25,CNN,"256 filters, kernel size 5",0.8631578947368421,0.8715083798882681,0.9811320754716981,0.923076923076923,0.7272727272727273,0.25806451612903225,0.38095238095238093
