,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8947368421052632,0.9316770186335404,0.9433962264150944,0.9375,0.6896551724137931,0.6451612903225806,0.6666666666666667
1,LSTM,200 layers,0.9,0.9216867469879518,0.9622641509433962,0.9415384615384617,0.75,0.5806451612903226,0.6545454545454547
2,LSTM,100 layers,0.9157894736842105,0.9440993788819876,0.9559748427672956,0.95,0.7586206896551724,0.7096774193548387,0.7333333333333333
3,LSTM,50 layers,0.9052631578947369,0.9272727272727272,0.9622641509433962,0.9444444444444444,0.76,0.6129032258064516,0.6785714285714285
4,LSTM,10 layers,0.868421052631579,0.8722222222222222,0.9874213836477987,0.9262536873156343,0.8,0.25806451612903225,0.3902439024390244
5,Random Forest,50 Estimators,0.8157894736842105,0.8563218390804598,0.9371069182389937,0.8948948948948949,0.375,0.1935483870967742,0.25531914893617014
6,Random Forest,25 Estimators,0.8157894736842105,0.8563218390804598,0.9371069182389937,0.8948948948948949,0.375,0.1935483870967742,0.25531914893617014
7,Random Forest,20 Estimators,0.8157894736842105,0.8563218390804598,0.9371069182389937,0.8948948948948949,0.375,0.1935483870967742,0.25531914893617014
8,Random Forest,10 Estimators,0.8157894736842105,0.8563218390804598,0.9371069182389937,0.8948948948948949,0.375,0.1935483870967742,0.25531914893617014
9,Random Forest,5 Estimators,0.8157894736842105,0.8563218390804598,0.9371069182389937,0.8948948948948949,0.375,0.1935483870967742,0.25531914893617014
10,RNN,200 units,0.8210526315789474,0.874251497005988,0.9182389937106918,0.8957055214723927,0.43478260869565216,0.3225806451612903,0.37037037037037035
11,RNN,150 units,0.8421052631578947,0.8816568047337278,0.9371069182389937,0.9085365853658537,0.5238095238095238,0.3548387096774194,0.4230769230769231
12,RNN,100 units,0.868421052631579,0.9085365853658537,0.9371069182389937,0.9226006191950464,0.6153846153846154,0.5161290322580645,0.5614035087719298
13,RNN,50 units,0.8052631578947368,0.8719512195121951,0.89937106918239,0.8854489164086686,0.38461538461538464,0.3225806451612903,0.3508771929824561
14,CNN with Attention,"32 filters, kernel size 7",0.8315789473684211,0.8848484848484849,0.9182389937106918,0.9012345679012345,0.48,0.3870967741935484,0.42857142857142855
15,CNN with Attention,"64 filters, kernel size 7",0.8315789473684211,0.8757396449704142,0.9308176100628931,0.9024390243902439,0.47619047619047616,0.3225806451612903,0.3846153846153846
16,CNN with Attention,"128 filters, kernel size 7",0.8473684210526315,0.90625,0.9119496855345912,0.9090909090909092,0.5333333333333333,0.5161290322580645,0.5245901639344263
17,CNN with Attention,"256 filters, kernel size 7",0.8421052631578947,0.8685714285714285,0.9559748427672956,0.9101796407185628,0.5333333333333333,0.25806451612903225,0.34782608695652173
18,CNN with Attention,"32 filters, kernel size 5",0.8315789473684211,0.89937106918239,0.89937106918239,0.89937106918239,0.4838709677419355,0.4838709677419355,0.4838709677419355
19,CNN with Attention,"64 filters, kernel size 5",0.8526315789473684,0.901840490797546,0.9245283018867925,0.9130434782608695,0.5555555555555556,0.4838709677419355,0.5172413793103449
20,CNN with Attention,"128 filters, kernel size 5",0.8526315789473684,0.901840490797546,0.9245283018867925,0.9130434782608695,0.5555555555555556,0.4838709677419355,0.5172413793103449
21,CNN with Attention,"256 filters, kernel size 5",0.8473684210526315,0.891566265060241,0.9308176100628931,0.9107692307692308,0.5416666666666666,0.41935483870967744,0.4727272727272728
22,CNN with Attention,"64 filters, kernel size 3",0.8421052631578947,0.8957055214723927,0.9182389937106918,0.9068322981366461,0.5185185185185185,0.45161290322580644,0.48275862068965514
23,CNN with Attention,"128 filters, kernel size 3",0.8473684210526315,0.891566265060241,0.9308176100628931,0.9107692307692308,0.5416666666666666,0.41935483870967744,0.4727272727272728
24,CNN with Attention,"256 filters, kernel size 3",0.8263157894736842,0.875,0.9245283018867925,0.8990825688073395,0.45454545454545453,0.3225806451612903,0.3773584905660377
