,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.7368421052631579,0.8758169934640523,0.8121212121212121,0.8427672955974844,0.16216216216216217,0.24,0.1935483870967742
1,LSTM,200 layers,0.7526315789473684,0.8734177215189873,0.8363636363636363,0.8544891640866873,0.15625,0.2,0.17543859649122806
2,LSTM,100 layers,0.7052631578947368,0.8707482993197279,0.7757575757575758,0.8205128205128205,0.13953488372093023,0.24,0.17647058823529407
3,LSTM,50 layers,0.8,0.8944099378881988,0.8727272727272727,0.8834355828220859,0.27586206896551724,0.32,0.29629629629629634
4,CNN with Attention,"32 filters, kernel size 5",0.7947368421052632,0.8662790697674418,0.9030303030303031,0.884272997032641,0.1111111111111111,0.08,0.09302325581395349
5,CNN with Attention,"64 filters, kernel size 5",0.8210526315789474,0.8742857142857143,0.9272727272727272,0.9,0.2,0.12,0.15
6,CNN with Attention,"128 filters, kernel size 5",0.8,0.8848484848484849,0.8848484848484849,0.8848484848484849,0.24,0.24,0.24
7,CNN with Attention,"256 filters, kernel size 5",0.7421052631578947,0.8866666666666667,0.806060606060606,0.8444444444444444,0.2,0.32,0.24615384615384614
8,CNN with Attention,"64 filters, kernel size 3",0.8263157894736842,0.875,0.9333333333333333,0.9032258064516129,0.21428571428571427,0.12,0.15384615384615383
9,CNN with Attention,"128 filters, kernel size 3",0.8052631578947368,0.872093023255814,0.9090909090909091,0.8902077151335313,0.16666666666666666,0.12,0.13953488372093023
10,CNN with Attention,"256 filters, kernel size 3",0.8052631578947368,0.8764705882352941,0.9030303030303031,0.8895522388059701,0.2,0.16,0.17777777777777778
11,RNN,200 units,0.8,0.8848484848484849,0.8848484848484849,0.8848484848484849,0.24,0.24,0.24
12,RNN,150 units,0.8052631578947368,0.8764705882352941,0.9030303030303031,0.8895522388059701,0.2,0.16,0.17777777777777778
13,RNN,100 units,0.8,0.8713450292397661,0.9030303030303031,0.8869047619047619,0.15789473684210525,0.12,0.13636363636363635
14,RNN,50 units,0.7894736842105263,0.8787878787878788,0.8787878787878788,0.8787878787878788,0.2,0.2,0.20000000000000004
15,CNN,"64 filters, kernel size 3",0.7526315789473684,0.8782051282051282,0.8303030303030303,0.853582554517134,0.17647058823529413,0.24,0.20338983050847456
16,CNN,"128 filters, kernel size 3",0.7105263157894737,0.8819444444444444,0.7696969696969697,0.8220064724919093,0.17391304347826086,0.32,0.22535211267605634
17,CNN,"256 filters, kernel size 3",0.8052631578947368,0.8902439024390244,0.8848484848484849,0.8875379939209727,0.2692307692307692,0.28,0.27450980392156865
18,CNN,"64 filters, kernel size 5",0.6947368421052632,0.8848920863309353,0.7454545454545455,0.8092105263157896,0.17647058823529413,0.36,0.2368421052631579
19,CNN,"128 filters, kernel size 5",0.7631578947368421,0.8846153846153846,0.8363636363636363,0.8598130841121494,0.20588235294117646,0.28,0.23728813559322035
20,CNN,"256 filters, kernel size 5",0.7,0.8802816901408451,0.7575757575757576,0.8143322475570032,0.16666666666666666,0.32,0.2191780821917808
21,Transformer,1 encoder layers,0.7684210526315789,0.8711656441717791,0.8606060606060606,0.8658536585365852,0.14814814814814814,0.16,0.15384615384615383
22,Transformer,2 encoder layers,0.8,0.8628571428571429,0.9151515151515152,0.8882352941176471,0.06666666666666667,0.04,0.05
23,Transformer,3 encoder layers,0.8105263157894737,0.8771929824561403,0.9090909090909091,0.8928571428571428,0.21052631578947367,0.16,0.1818181818181818
24,Transformer,4 encoder layers,0.7578947368421053,0.8789808917197452,0.8363636363636363,0.8571428571428572,0.18181818181818182,0.24,0.20689655172413793
