,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.7526315789473684,0.86875,0.8424242424242424,0.8553846153846153,0.13333333333333333,0.16,0.14545454545454545
1,LSTM,200 layers,0.6473684210526316,0.8602941176470589,0.7090909090909091,0.7774086378737542,0.1111111111111111,0.24,0.1518987341772152
2,LSTM,100 layers,0.7157894736842105,0.87248322147651,0.7878787878787878,0.8280254777070063,0.14634146341463414,0.24,0.1818181818181818
3,LSTM,50 layers,0.7947368421052632,0.8662790697674418,0.9030303030303031,0.884272997032641,0.1111111111111111,0.08,0.09302325581395349
4,CNN with Attention,"32 filters, kernel size 5",0.8210526315789474,0.861878453038674,0.9454545454545454,0.9017341040462428,0.0,0.0,0.0
5,CNN with Attention,"64 filters, kernel size 5",0.8526315789473684,0.8784530386740331,0.9636363636363636,0.9190751445086706,0.3333333333333333,0.12,0.1764705882352941
6,CNN with Attention,"128 filters, kernel size 5",0.8210526315789474,0.8700564971751412,0.9333333333333333,0.9005847953216375,0.15384615384615385,0.08,0.10526315789473685
7,CNN with Attention,"256 filters, kernel size 5",0.7526315789473684,0.8734177215189873,0.8363636363636363,0.8544891640866873,0.15625,0.2,0.17543859649122806
8,CNN with Attention,"64 filters, kernel size 3",0.8526315789473684,0.8663101604278075,0.9818181818181818,0.9204545454545454,0.0,0.0,0.0
9,CNN with Attention,"128 filters, kernel size 3",0.8263157894736842,0.8837209302325582,0.9212121212121213,0.9020771513353116,0.2777777777777778,0.2,0.23255813953488372
10,CNN with Attention,"256 filters, kernel size 3",0.8052631578947368,0.8902439024390244,0.8848484848484849,0.8875379939209727,0.2692307692307692,0.28,0.27450980392156865
11,RNN,200 units,0.8368421052631579,0.8764044943820225,0.9454545454545454,0.9096209912536443,0.25,0.12,0.16216216216216217
12,RNN,150 units,0.8105263157894737,0.8685714285714285,0.9212121212121213,0.8941176470588236,0.13333333333333333,0.08,0.1
13,RNN,100 units,0.8,0.8713450292397661,0.9030303030303031,0.8869047619047619,0.15789473684210525,0.12,0.13636363636363635
14,RNN,50 units,0.8,0.8757396449704142,0.896969696969697,0.8862275449101796,0.19047619047619047,0.16,0.17391304347826086
15,CNN,"64 filters, kernel size 3",0.7578947368421053,0.8789808917197452,0.8363636363636363,0.8571428571428572,0.18181818181818182,0.24,0.20689655172413793
16,CNN,"128 filters, kernel size 3",0.8421052631578947,0.8729281767955801,0.9575757575757575,0.9132947976878613,0.2222222222222222,0.08,0.11764705882352941
17,CNN,"256 filters, kernel size 3",0.8421052631578947,0.8770949720670391,0.9515151515151515,0.9127906976744187,0.2727272727272727,0.12,0.16666666666666666
18,CNN,"64 filters, kernel size 5",0.7684210526315789,0.8711656441717791,0.8606060606060606,0.8658536585365852,0.14814814814814814,0.16,0.15384615384615383
19,CNN,"128 filters, kernel size 5",0.6,0.8739495798319328,0.6303030303030303,0.732394366197183,0.14084507042253522,0.4,0.20833333333333334
20,CNN,"256 filters, kernel size 5",0.8368421052631579,0.8806818181818182,0.9393939393939394,0.9090909090909091,0.2857142857142857,0.16,0.20512820512820512
21,Transformer,1 encoder layers,0.868421052631579,0.8723404255319149,0.9939393939393939,0.9291784702549575,0.5,0.04,0.07407407407407407
22,Transformer,2 encoder layers,0.8368421052631579,0.8681318681318682,0.9575757575757575,0.9106628242074928,0.125,0.04,0.06060606060606061
23,Transformer,3 encoder layers,0.8631578947368421,0.8797814207650273,0.9757575757575757,0.925287356321839,0.42857142857142855,0.12,0.1875
24,Transformer,4 encoder layers,0.8263157894736842,0.875,0.9333333333333333,0.9032258064516129,0.21428571428571427,0.12,0.15384615384615383
