,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9411764705882353,0.9316770186335404,0.9493670886075949,0.9404388714733543,0.9506172839506173,0.9333333333333333,0.9418960244648319
1,LSTM,200 layers,0.934984520123839,0.9363057324840764,0.930379746835443,0.9333333333333332,0.9337349397590361,0.9393939393939394,0.9365558912386707
2,LSTM,100 layers,0.9318885448916409,0.930379746835443,0.930379746835443,0.930379746835443,0.9333333333333333,0.9333333333333333,0.9333333333333333
3,LSTM,50 layers,0.9287925696594427,0.9192546583850931,0.9367088607594937,0.9278996865203761,0.9382716049382716,0.9212121212121213,0.9296636085626911
4,CNN with Attention,"32 filters, kernel size 5",0.8544891640866873,0.8404907975460123,0.8670886075949367,0.8535825545171339,0.86875,0.8424242424242424,0.8553846153846153
5,CNN with Attention,"64 filters, kernel size 5",0.8390092879256966,0.8192771084337349,0.8607594936708861,0.8395061728395061,0.8598726114649682,0.8181818181818182,0.8385093167701864
6,CNN with Attention,"128 filters, kernel size 5",0.8390092879256966,0.863013698630137,0.7974683544303798,0.8289473684210525,0.8192090395480226,0.8787878787878788,0.847953216374269
7,CNN with Attention,"256 filters, kernel size 5",0.8730650154798761,0.8502994011976048,0.8987341772151899,0.8738461538461538,0.8974358974358975,0.8484848484848485,0.8722741433021807
8,CNN with Attention,"64 filters, kernel size 3",0.8235294117647058,0.8300653594771242,0.8037974683544303,0.8167202572347267,0.8176470588235294,0.8424242424242424,0.8298507462686566
9,CNN with Attention,"128 filters, kernel size 3",0.8575851393188855,0.8636363636363636,0.8417721518987342,0.8525641025641025,0.8520710059171598,0.8727272727272727,0.8622754491017964
10,CNN with Attention,"256 filters, kernel size 3",0.8668730650154799,0.8807947019867549,0.8417721518987342,0.8608414239482202,0.8546511627906976,0.8909090909090909,0.8724035608308605
11,Random Forest,50 Estimators,0.6439628482972136,0.6201117318435754,0.7025316455696202,0.658753709198813,0.6736111111111112,0.5878787878787879,0.627831715210356
12,Random Forest,25 Estimators,0.6439628482972136,0.6201117318435754,0.7025316455696202,0.658753709198813,0.6736111111111112,0.5878787878787879,0.627831715210356
13,Random Forest,20 Estimators,0.6439628482972136,0.6201117318435754,0.7025316455696202,0.658753709198813,0.6736111111111112,0.5878787878787879,0.627831715210356
14,Random Forest,10 Estimators,0.6439628482972136,0.6201117318435754,0.7025316455696202,0.658753709198813,0.6736111111111112,0.5878787878787879,0.627831715210356
15,Random Forest,5 Estimators,0.6439628482972136,0.6201117318435754,0.7025316455696202,0.658753709198813,0.6736111111111112,0.5878787878787879,0.627831715210356
16,RNN,200 units,0.9071207430340558,0.9050632911392406,0.9050632911392406,0.9050632911392406,0.9090909090909091,0.9090909090909091,0.9090909090909091
17,RNN,150 units,0.9009287925696594,0.9038461538461539,0.8924050632911392,0.8980891719745223,0.8982035928143712,0.9090909090909091,0.9036144578313253
18,RNN,100 units,0.9195046439628483,0.9074074074074074,0.930379746835443,0.91875,0.9316770186335404,0.9090909090909091,0.9202453987730062
19,RNN,50 units,0.8978328173374613,0.874251497005988,0.9240506329113924,0.8984615384615384,0.9230769230769231,0.8727272727272727,0.897196261682243
20,CNN,"64 filters, kernel size 3",0.8668730650154799,0.8571428571428571,0.8734177215189873,0.8652037617554859,0.8765432098765432,0.8606060606060606,0.8685015290519877
21,CNN,"128 filters, kernel size 3",0.8513931888544891,0.8618421052631579,0.8291139240506329,0.8451612903225806,0.8421052631578947,0.8727272727272727,0.8571428571428571
22,CNN,"256 filters, kernel size 3",0.8668730650154799,0.844311377245509,0.8924050632911392,0.8676923076923077,0.8910256410256411,0.8424242424242424,0.8660436137071651
23,CNN,"64 filters, kernel size 5",0.8575851393188855,0.845679012345679,0.8670886075949367,0.8562500000000001,0.8695652173913043,0.8484848484848485,0.8588957055214724
24,CNN,"128 filters, kernel size 5",0.8513931888544891,0.8481012658227848,0.8481012658227848,0.8481012658227848,0.8545454545454545,0.8545454545454545,0.8545454545454545
25,CNN,"256 filters, kernel size 5",0.8637770897832817,0.85625,0.8670886075949367,0.8616352201257861,0.8711656441717791,0.8606060606060606,0.8658536585365852
