,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9827586206896551,0.9655172413793104,1.0,0.9824561403508771,1.0,0.9666666666666667,0.983050847457627
1,LSTM,200 layers,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,LSTM,100 layers,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,LSTM,50 layers,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,CNN with Attention,"32 filters, kernel size 5",1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,CNN with Attention,"64 filters, kernel size 5",1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,CNN with Attention,"128 filters, kernel size 5",1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,CNN with Attention,"256 filters, kernel size 5",1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,CNN with Attention,"64 filters, kernel size 3",0.9827586206896551,0.9655172413793104,1.0,0.9824561403508771,1.0,0.9666666666666667,0.983050847457627
9,CNN with Attention,"128 filters, kernel size 3",0.9827586206896551,0.9655172413793104,1.0,0.9824561403508771,1.0,0.9666666666666667,0.983050847457627
10,CNN with Attention,"256 filters, kernel size 3",1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,Random Forest,50 Estimators,0.6379310344827587,0.6206896551724138,0.6428571428571429,0.6315789473684211,0.6551724137931034,0.6333333333333333,0.6440677966101694
12,Random Forest,25 Estimators,0.6379310344827587,0.6206896551724138,0.6428571428571429,0.6315789473684211,0.6551724137931034,0.6333333333333333,0.6440677966101694
13,Random Forest,20 Estimators,0.6379310344827587,0.6206896551724138,0.6428571428571429,0.6315789473684211,0.6551724137931034,0.6333333333333333,0.6440677966101694
14,Random Forest,10 Estimators,0.6379310344827587,0.6206896551724138,0.6428571428571429,0.6315789473684211,0.6551724137931034,0.6333333333333333,0.6440677966101694
15,Random Forest,5 Estimators,0.6379310344827587,0.6206896551724138,0.6428571428571429,0.6315789473684211,0.6551724137931034,0.6333333333333333,0.6440677966101694
16,RNN,200 units,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,RNN,150 units,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,RNN,100 units,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,RNN,50 units,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,CNN,"64 filters, kernel size 3",1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,CNN,"128 filters, kernel size 3",1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,CNN,"256 filters, kernel size 3",1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,CNN,"64 filters, kernel size 5",1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,CNN,"128 filters, kernel size 5",1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,CNN,"256 filters, kernel size 5",1.0,1.0,1.0,1.0,1.0,1.0,1.0
