,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8052631578947368,0.8674698795180723,0.9056603773584906,0.8861538461538463,0.375,0.2903225806451613,0.3272727272727273
1,LSTM,200 layers,0.8578947368421053,0.9024390243902439,0.9308176100628931,0.9164086687306501,0.5769230769230769,0.4838709677419355,0.5263157894736842
2,LSTM,100 layers,0.8736842105263158,0.8994082840236687,0.9559748427672956,0.9268292682926831,0.6666666666666666,0.45161290322580644,0.5384615384615384
3,LSTM,50 layers,0.8578947368421053,0.888235294117647,0.949685534591195,0.9179331306990881,0.6,0.3870967741935484,0.47058823529411764
4,CNN with Attention,"32 filters, kernel size 5",0.8368421052631579,0.8809523809523809,0.9308176100628931,0.9051987767584098,0.5,0.3548387096774194,0.41509433962264153
5,CNN with Attention,"64 filters, kernel size 5",0.8421052631578947,0.8909090909090909,0.9245283018867925,0.9074074074074073,0.52,0.41935483870967744,0.46428571428571425
6,CNN with Attention,"128 filters, kernel size 5",0.8578947368421053,0.8928571428571429,0.9433962264150944,0.9174311926605505,0.5909090909090909,0.41935483870967744,0.4905660377358491
7,CNN with Attention,"256 filters, kernel size 5",0.8473684210526315,0.877906976744186,0.949685534591195,0.9123867069486405,0.5555555555555556,0.3225806451612903,0.40816326530612246
8,CNN with Attention,"64 filters, kernel size 3",0.8578947368421053,0.8837209302325582,0.9559748427672956,0.9184290030211482,0.6111111111111112,0.3548387096774194,0.4489795918367347
9,CNN with Attention,"128 filters, kernel size 3",0.8368421052631579,0.867816091954023,0.949685534591195,0.906906906906907,0.5,0.25806451612903225,0.3404255319148936
10,CNN with Attention,"256 filters, kernel size 3",0.8526315789473684,0.8502673796791443,1.0,0.9190751445086706,1.0,0.0967741935483871,0.17647058823529413
11,Random Forest,50 Estimators,0.7947368421052632,0.8529411764705882,0.9119496855345912,0.8814589665653494,0.3,0.1935483870967742,0.23529411764705882
12,Random Forest,25 Estimators,0.7947368421052632,0.8529411764705882,0.9119496855345912,0.8814589665653494,0.3,0.1935483870967742,0.23529411764705882
13,Random Forest,20 Estimators,0.7947368421052632,0.8529411764705882,0.9119496855345912,0.8814589665653494,0.3,0.1935483870967742,0.23529411764705882
14,Random Forest,10 Estimators,0.7947368421052632,0.8529411764705882,0.9119496855345912,0.8814589665653494,0.3,0.1935483870967742,0.23529411764705882
15,Random Forest,5 Estimators,0.7947368421052632,0.8529411764705882,0.9119496855345912,0.8814589665653494,0.3,0.1935483870967742,0.23529411764705882
16,RNN,200 units,0.8526315789473684,0.8830409356725146,0.949685534591195,0.9151515151515152,0.5789473684210527,0.3548387096774194,0.44000000000000006
17,RNN,150 units,0.8526315789473684,0.8786127167630058,0.9559748427672956,0.9156626506024096,0.5882352941176471,0.3225806451612903,0.41666666666666663
18,RNN,100 units,0.8421052631578947,0.8816568047337278,0.9371069182389937,0.9085365853658537,0.5238095238095238,0.3548387096774194,0.4230769230769231
19,RNN,50 units,0.8736842105263158,0.8994082840236687,0.9559748427672956,0.9268292682926831,0.6666666666666666,0.45161290322580644,0.5384615384615384
20,CNN,"64 filters, kernel size 3",0.8421052631578947,0.8816568047337278,0.9371069182389937,0.9085365853658537,0.5238095238095238,0.3548387096774194,0.4230769230769231
21,CNN,"128 filters, kernel size 3",0.8368421052631579,0.8855421686746988,0.9245283018867925,0.9046153846153847,0.5,0.3870967741935484,0.43636363636363634
22,CNN,"256 filters, kernel size 3",0.8315789473684211,0.8670520231213873,0.9433962264150944,0.9036144578313252,0.47058823529411764,0.25806451612903225,0.3333333333333333
23,CNN,"64 filters, kernel size 5",0.8421052631578947,0.864406779661017,0.9622641509433962,0.9107142857142857,0.5384615384615384,0.22580645161290322,0.3181818181818182
24,CNN,"128 filters, kernel size 5",0.8473684210526315,0.8869047619047619,0.9371069182389937,0.9113149847094801,0.5454545454545454,0.3870967741935484,0.45283018867924524
25,CNN,"256 filters, kernel size 5",0.8631578947368421,0.8982035928143712,0.9433962264150944,0.920245398773006,0.6086956521739131,0.45161290322580644,0.5185185185185185
