,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
1,LSTM,200 layers,0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
2,LSTM,100 layers,0.8285714285714286,0.8703703703703703,0.94,0.9038461538461539,0.3076923076923077,0.16,0.2105263157894737
3,LSTM,50 layers,0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
4,CNN with Attention,"32 filters, kernel size 7",0.8342857142857143,0.8622754491017964,0.96,0.9085173501577287,0.25,0.08,0.12121212121212122
5,CNN with Attention,"32 filters, kernel size 5",0.84,0.8630952380952381,0.9666666666666667,0.9119496855345911,0.2857142857142857,0.08,0.125
6,CNN with Attention,"32 filters, kernel size 3",0.76,0.86,0.86,0.8599999999999999,0.16,0.16,0.16
7,CNN with Attention,"64 filters, kernel size 7",0.7714285714285715,0.8571428571428571,0.88,0.8684210526315789,0.14285714285714285,0.12,0.13043478260869565
8,CNN with Attention,"64 filters, kernel size 5",0.8228571428571428,0.8650306748466258,0.94,0.9009584664536742,0.25,0.12,0.16216216216216217
9,CNN with Attention,"64 filters, kernel size 3",0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
10,CNN with Attention,"128 filters, kernel size 7",0.8,0.8662420382165605,0.9066666666666666,0.8859934853420196,0.2222222222222222,0.16,0.18604651162790697
11,CNN with Attention,"128 filters, kernel size 5",0.8228571428571428,0.8606060606060606,0.9466666666666667,0.9015873015873016,0.2,0.08,0.11428571428571428
12,CNN with Attention,"128 filters, kernel size 3",0.84,0.8630952380952381,0.9666666666666667,0.9119496855345911,0.2857142857142857,0.08,0.125
13,CNN with Attention,"256 filters, kernel size 7",0.84,0.8630952380952381,0.9666666666666667,0.9119496855345911,0.2857142857142857,0.08,0.125
14,CNN with Attention,"256 filters, kernel size 5",0.8285714285714286,0.8614457831325302,0.9533333333333334,0.9050632911392406,0.2222222222222222,0.08,0.11764705882352941
15,CNN with Attention,"256 filters, kernel size 3",0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
16,RNN,200 units,0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
17,RNN,150 units,0.8285714285714286,0.8614457831325302,0.9533333333333334,0.9050632911392406,0.2222222222222222,0.08,0.11764705882352941
18,RNN,100 units,0.8228571428571428,0.8695652173913043,0.9333333333333333,0.90032154340836,0.2857142857142857,0.16,0.20512820512820512
19,RNN,50 units,0.8057142857142857,0.8625,0.92,0.8903225806451613,0.2,0.12,0.15
20,CNN,"32 filters, kernel size 7",0.8171428571428572,0.8597560975609756,0.94,0.8980891719745222,0.18181818181818182,0.08,0.1111111111111111
21,CNN,"32 filters, kernel size 5",0.7942857142857143,0.85625,0.9133333333333333,0.8838709677419355,0.13333333333333333,0.08,0.1
22,CNN,"32 filters, kernel size 3",0.8228571428571428,0.8606060606060606,0.9466666666666667,0.9015873015873016,0.2,0.08,0.11428571428571428
23,CNN,"64 filters, kernel size 7",0.7828571428571428,0.8544303797468354,0.9,0.8766233766233766,0.11764705882352941,0.08,0.09523809523809526
24,CNN,"64 filters, kernel size 5",0.84,0.8630952380952381,0.9666666666666667,0.9119496855345911,0.2857142857142857,0.08,0.125
25,CNN,"64 filters, kernel size 3",0.8285714285714286,0.8658536585365854,0.9466666666666667,0.9044585987261147,0.2727272727272727,0.12,0.16666666666666666
26,CNN,"128 filters, kernel size 7",0.7714285714285715,0.8618421052631579,0.8733333333333333,0.8675496688741722,0.17391304347826086,0.16,0.16666666666666666
27,CNN,"128 filters, kernel size 5",0.8285714285714286,0.8658536585365854,0.9466666666666667,0.9044585987261147,0.2727272727272727,0.12,0.16666666666666666
28,CNN,"128 filters, kernel size 3",0.8057142857142857,0.8717948717948718,0.9066666666666666,0.8888888888888887,0.2631578947368421,0.2,0.22727272727272727
29,CNN,"256 filters, kernel size 7",0.7942857142857143,0.8701298701298701,0.8933333333333333,0.881578947368421,0.23809523809523808,0.2,0.21739130434782608
30,CNN,"256 filters, kernel size 5",0.8,0.8571428571428571,0.92,0.887459807073955,0.14285714285714285,0.08,0.10256410256410256
31,CNN,"256 filters, kernel size 3",0.7314285714285714,0.8759124087591241,0.8,0.8362369337979094,0.21052631578947367,0.32,0.25396825396825395
