,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8514285714285714,0.8690476190476191,0.9733333333333334,0.9182389937106918,0.42857142857142855,0.12,0.1875
1,LSTM,200 layers,0.8628571428571429,0.8705882352941177,0.9866666666666667,0.925,0.6,0.12,0.19999999999999998
2,LSTM,100 layers,0.7942857142857143,0.85625,0.9133333333333333,0.8838709677419355,0.13333333333333333,0.08,0.1
3,LSTM,50 layers,0.7257142857142858,0.8805970149253731,0.7866666666666666,0.8309859154929576,0.21951219512195122,0.36,0.27272727272727276
4,CNN with Attention,"32 filters, kernel size 7",0.84,0.8630952380952381,0.9666666666666667,0.9119496855345911,0.2857142857142857,0.08,0.125
5,CNN with Attention,"32 filters, kernel size 5",0.7771428571428571,0.9236641221374046,0.8066666666666666,0.8612099644128113,0.3409090909090909,0.6,0.43478260869565216
6,CNN with Attention,"32 filters, kernel size 3",0.8171428571428572,0.8597560975609756,0.94,0.8980891719745222,0.18181818181818182,0.08,0.1111111111111111
7,CNN with Attention,"64 filters, kernel size 7",0.8457142857142858,0.8727272727272727,0.96,0.9142857142857144,0.4,0.16,0.22857142857142856
8,CNN with Attention,"64 filters, kernel size 5",0.8228571428571428,0.9047619047619048,0.8866666666666667,0.8956228956228958,0.39285714285714285,0.44,0.4150943396226415
9,CNN with Attention,"64 filters, kernel size 3",0.84,0.8719512195121951,0.9533333333333334,0.9108280254777071,0.36363636363636365,0.16,0.2222222222222222
10,CNN with Attention,"128 filters, kernel size 7",0.8342857142857143,0.8711656441717791,0.9466666666666667,0.9073482428115016,0.3333333333333333,0.16,0.21621621621621623
11,CNN with Attention,"128 filters, kernel size 5",0.8285714285714286,0.879746835443038,0.9266666666666666,0.9025974025974027,0.35294117647058826,0.24,0.28571428571428564
12,CNN with Attention,"128 filters, kernel size 3",0.84,0.8674698795180723,0.96,0.9113924050632911,0.3333333333333333,0.12,0.1764705882352941
13,CNN with Attention,"256 filters, kernel size 7",0.7771428571428571,0.8627450980392157,0.88,0.8712871287128714,0.18181818181818182,0.16,0.1702127659574468
14,CNN with Attention,"256 filters, kernel size 5",0.8514285714285714,0.8827160493827161,0.9533333333333334,0.9166666666666666,0.46153846153846156,0.24,0.3157894736842105
15,CNN with Attention,"256 filters, kernel size 3",0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
16,RNN,200 units,0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
17,RNN,150 units,0.8514285714285714,0.8647058823529412,0.98,0.9187500000000001,0.4,0.08,0.13333333333333333
18,RNN,100 units,0.8114285714285714,0.8774193548387097,0.9066666666666666,0.8918032786885245,0.3,0.24,0.2666666666666666
19,RNN,50 units,0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
20,CNN,"32 filters, kernel size 7",0.7542857142857143,0.9147286821705426,0.7866666666666666,0.8458781362007168,0.30434782608695654,0.56,0.3943661971830986
21,CNN,"32 filters, kernel size 5",0.84,0.8674698795180723,0.96,0.9113924050632911,0.3333333333333333,0.12,0.1764705882352941
22,CNN,"32 filters, kernel size 3",0.84,0.8719512195121951,0.9533333333333334,0.9108280254777071,0.36363636363636365,0.16,0.2222222222222222
23,CNN,"64 filters, kernel size 7",0.84,0.8719512195121951,0.9533333333333334,0.9108280254777071,0.36363636363636365,0.16,0.2222222222222222
24,CNN,"64 filters, kernel size 5",0.8457142857142858,0.8773006134969326,0.9533333333333334,0.9137380191693292,0.4166666666666667,0.2,0.2702702702702703
25,CNN,"64 filters, kernel size 3",0.8457142857142858,0.89171974522293,0.9333333333333333,0.9120521172638437,0.4444444444444444,0.32,0.37209302325581395
26,CNN,"128 filters, kernel size 7",0.84,0.8674698795180723,0.96,0.9113924050632911,0.3333333333333333,0.12,0.1764705882352941
27,CNN,"128 filters, kernel size 5",0.84,0.9178082191780822,0.8933333333333333,0.9054054054054055,0.4482758620689655,0.52,0.48148148148148145
28,CNN,"128 filters, kernel size 3",0.8285714285714286,0.8614457831325302,0.9533333333333334,0.9050632911392406,0.2222222222222222,0.08,0.11764705882352941
29,CNN,"256 filters, kernel size 7",0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
30,CNN,"256 filters, kernel size 5",0.8457142857142858,0.863905325443787,0.9733333333333334,0.9153605015673981,0.3333333333333333,0.08,0.12903225806451613
31,CNN,"256 filters, kernel size 3",0.8457142857142858,0.8819875776397516,0.9466666666666667,0.9131832797427653,0.42857142857142855,0.24,0.30769230769230765
