,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8473684210526315,0.9,0.9272727272727272,0.9134328358208956,0.4,0.32,0.35555555555555557
1,LSTM,200 layers,0.8368421052631579,0.8895348837209303,0.9272727272727272,0.9080118694362018,0.3333333333333333,0.24,0.27906976744186046
2,LSTM,100 layers,0.8736842105263158,0.9028571428571428,0.9575757575757575,0.9294117647058823,0.5333333333333333,0.32,0.4
3,LSTM,50 layers,0.8526315789473684,0.8870056497175142,0.9515151515151515,0.9181286549707602,0.38461538461538464,0.2,0.2631578947368421
4,CNN with Attention,,0.8421052631578947,0.8648648648648649,0.9696969696969697,0.9142857142857143,0.0,0.0,0.0
5,CNN with Attention,,0.8473684210526315,0.8655913978494624,0.9757575757575757,0.9173789173789173,0.0,0.0,0.0
6,CNN with Attention,,0.8578947368421053,0.8709677419354839,0.9818181818181818,0.923076923076923,0.25,0.04,0.06896551724137932
7,CNN with Attention,,0.868421052631579,0.868421052631579,1.0,0.9295774647887324,0.0,0.0,0.0
8,CNN with Attention,,0.8210526315789474,0.861878453038674,0.9454545454545454,0.9017341040462428,0.0,0.0,0.0
9,CNN with Attention,,0.8421052631578947,0.8648648648648649,0.9696969696969697,0.9142857142857143,0.0,0.0,0.0
10,CNN with Attention,,0.8421052631578947,0.8648648648648649,0.9696969696969697,0.9142857142857143,0.0,0.0,0.0
11,Random Forest,50 Estimators,0.8631578947368421,0.8677248677248677,0.9939393939393939,0.9265536723163841,0.0,0.0,0.0
12,Random Forest,25 Estimators,0.8631578947368421,0.8677248677248677,0.9939393939393939,0.9265536723163841,0.0,0.0,0.0
13,Random Forest,20 Estimators,0.8631578947368421,0.8677248677248677,0.9939393939393939,0.9265536723163841,0.0,0.0,0.0
14,Random Forest,10 Estimators,0.8631578947368421,0.8677248677248677,0.9939393939393939,0.9265536723163841,0.0,0.0,0.0
15,Random Forest,5 Estimators,0.8631578947368421,0.8677248677248677,0.9939393939393939,0.9265536723163841,0.0,0.0,0.0
16,RNN,200 units,0.8,0.8757396449704142,0.896969696969697,0.8862275449101796,0.19047619047619047,0.16,0.17391304347826086
17,RNN,150 units,0.7947368421052632,0.875,0.8909090909090909,0.8828828828828829,0.18181818181818182,0.16,0.1702127659574468
18,RNN,100 units,0.8157894736842105,0.8823529411764706,0.9090909090909091,0.8955223880597014,0.25,0.2,0.22222222222222224
19,RNN,50 units,0.7631578947368421,0.8703703703703703,0.8545454545454545,0.8623853211009175,0.14285714285714285,0.16,0.15094339622641512
20,CNN,"64 filters, kernel size 3",0.8105263157894737,0.8728323699421965,0.9151515151515152,0.893491124260355,0.17647058823529413,0.12,0.14285714285714282
21,CNN,"128 filters, kernel size 3",0.7894736842105263,0.8698224852071006,0.8909090909090909,0.8802395209580838,0.14285714285714285,0.12,0.13043478260869565
22,CNN,"256 filters, kernel size 3",0.8157894736842105,0.877906976744186,0.9151515151515152,0.8961424332344213,0.2222222222222222,0.16,0.18604651162790697
23,CNN,"64 filters, kernel size 5",0.8105263157894737,0.8862275449101796,0.896969696969697,0.891566265060241,0.2608695652173913,0.24,0.24999999999999994
24,CNN,"128 filters, kernel size 5",0.8105263157894737,0.8816568047337278,0.9030303030303031,0.8922155688622754,0.23809523809523808,0.2,0.21739130434782608
25,CNN,"256 filters, kernel size 5",0.8157894736842105,0.8823529411764706,0.9090909090909091,0.8955223880597014,0.25,0.2,0.22222222222222224
