,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9655172413793104,0.9719101123595506,0.9885714285714285,0.9801699716713881,0.92,0.8214285714285714,0.8679245283018867
1,LSTM,200 layers,0.9655172413793104,0.9719101123595506,0.9885714285714285,0.9801699716713881,0.92,0.8214285714285714,0.8679245283018867
2,LSTM,100 layers,0.9704433497536946,0.9774011299435028,0.9885714285714285,0.9829545454545454,0.9230769230769231,0.8571428571428571,0.888888888888889
3,LSTM,50 layers,0.9605911330049262,0.9826589595375722,0.9714285714285714,0.9770114942528735,0.8333333333333334,0.8928571428571429,0.8620689655172413
4,CNN with Attention,"32 filters, kernel size 7",0.9605911330049262,0.9883040935672515,0.9657142857142857,0.9768786127167629,0.8125,0.9285714285714286,0.8666666666666666
5,CNN with Attention,"32 filters, kernel size 5",0.9655172413793104,0.9883720930232558,0.9714285714285714,0.9798270893371757,0.8387096774193549,0.9285714285714286,0.8813559322033899
6,CNN with Attention,"32 filters, kernel size 3",0.9556650246305419,0.9882352941176471,0.96,0.9739130434782609,0.7878787878787878,0.9285714285714286,0.8524590163934426
7,CNN with Attention,"64 filters, kernel size 7",0.9704433497536946,0.9884393063583815,0.9771428571428571,0.9827586206896551,0.8666666666666667,0.9285714285714286,0.896551724137931
8,CNN with Attention,"64 filters, kernel size 5",0.9655172413793104,0.9883720930232558,0.9714285714285714,0.9798270893371757,0.8387096774193549,0.9285714285714286,0.8813559322033899
9,CNN with Attention,"64 filters, kernel size 3",0.9605911330049262,0.9883040935672515,0.9657142857142857,0.9768786127167629,0.8125,0.9285714285714286,0.8666666666666666
10,CNN with Attention,"128 filters, kernel size 7",0.9704433497536946,0.9884393063583815,0.9771428571428571,0.9827586206896551,0.8666666666666667,0.9285714285714286,0.896551724137931
11,CNN with Attention,"128 filters, kernel size 5",0.9655172413793104,0.9883720930232558,0.9714285714285714,0.9798270893371757,0.8387096774193549,0.9285714285714286,0.8813559322033899
12,CNN with Attention,"128 filters, kernel size 3",0.9704433497536946,0.9884393063583815,0.9771428571428571,0.9827586206896551,0.8666666666666667,0.9285714285714286,0.896551724137931
13,CNN with Attention,"256 filters, kernel size 7",0.9704433497536946,0.9884393063583815,0.9771428571428571,0.9827586206896551,0.8666666666666667,0.9285714285714286,0.896551724137931
14,CNN with Attention,"256 filters, kernel size 5",0.9605911330049262,0.9883040935672515,0.9657142857142857,0.9768786127167629,0.8125,0.9285714285714286,0.8666666666666666
15,CNN with Attention,"256 filters, kernel size 3",0.9655172413793104,0.9883720930232558,0.9714285714285714,0.9798270893371757,0.8387096774193549,0.9285714285714286,0.8813559322033899
16,RNN,200 units,0.8620689655172413,0.92,0.92,0.92,0.5,0.5,0.5
17,RNN,150 units,0.8571428571428571,0.9101123595505618,0.9257142857142857,0.9178470254957507,0.48,0.42857142857142855,0.4528301886792452
18,RNN,100 units,0.896551724137931,0.9476744186046512,0.9314285714285714,0.9394812680115274,0.6129032258064516,0.6785714285714286,0.6440677966101694
19,RNN,50 units,0.8817733990147784,0.9467455621301775,0.9142857142857143,0.9302325581395349,0.5588235294117647,0.6785714285714286,0.6129032258064516
20,CNN,"32 filters, kernel size 7",0.9605911330049262,0.9883040935672515,0.9657142857142857,0.9768786127167629,0.8125,0.9285714285714286,0.8666666666666666
21,CNN,"32 filters, kernel size 5",0.9556650246305419,0.9882352941176471,0.96,0.9739130434782609,0.7878787878787878,0.9285714285714286,0.8524590163934426
22,CNN,"32 filters, kernel size 3",0.9458128078817734,0.9767441860465116,0.96,0.9682997118155618,0.7741935483870968,0.8571428571428571,0.8135593220338982
23,CNN,"64 filters, kernel size 7",0.9556650246305419,0.9882352941176471,0.96,0.9739130434782609,0.7878787878787878,0.9285714285714286,0.8524590163934426
24,CNN,"64 filters, kernel size 5",0.9655172413793104,0.9883720930232558,0.9714285714285714,0.9798270893371757,0.8387096774193549,0.9285714285714286,0.8813559322033899
25,CNN,"64 filters, kernel size 3",0.9556650246305419,0.9882352941176471,0.96,0.9739130434782609,0.7878787878787878,0.9285714285714286,0.8524590163934426
26,CNN,"128 filters, kernel size 7",0.9655172413793104,0.9883720930232558,0.9714285714285714,0.9798270893371757,0.8387096774193549,0.9285714285714286,0.8813559322033899
27,CNN,"128 filters, kernel size 5",0.9655172413793104,0.9883720930232558,0.9714285714285714,0.9798270893371757,0.8387096774193549,0.9285714285714286,0.8813559322033899
28,CNN,"128 filters, kernel size 3",0.9605911330049262,0.9883040935672515,0.9657142857142857,0.9768786127167629,0.8125,0.9285714285714286,0.8666666666666666
29,CNN,"256 filters, kernel size 7",0.9605911330049262,0.9883040935672515,0.9657142857142857,0.9768786127167629,0.8125,0.9285714285714286,0.8666666666666666
30,CNN,"256 filters, kernel size 5",0.9605911330049262,0.9883040935672515,0.9657142857142857,0.9768786127167629,0.8125,0.9285714285714286,0.8666666666666666
31,CNN,"256 filters, kernel size 3",0.9605911330049262,0.9883040935672515,0.9657142857142857,0.9768786127167629,0.8125,0.9285714285714286,0.8666666666666666
