,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9530201342281879,0.965034965034965,0.9857142857142858,0.9752650176678446,0.6666666666666666,0.4444444444444444,0.5333333333333333
1,LSTM,200 layers,0.9395973154362416,0.958041958041958,0.9785714285714285,0.9681978798586572,0.5,0.3333333333333333,0.4
2,LSTM,100 layers,0.9395973154362416,0.958041958041958,0.9785714285714285,0.9681978798586572,0.5,0.3333333333333333,0.4
3,LSTM,50 layers,0.9395973154362416,0.9455782312925171,0.9928571428571429,0.9686411149825784,0.5,0.1111111111111111,0.1818181818181818
4,CNN with Attention,"32 filters, kernel size 7",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
5,CNN with Attention,"32 filters, kernel size 5",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
6,CNN with Attention,"32 filters, kernel size 3",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
8,CNN with Attention,"64 filters, kernel size 5",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
9,CNN with Attention,"64 filters, kernel size 3",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
10,CNN with Attention,"128 filters, kernel size 7",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
11,CNN with Attention,"128 filters, kernel size 5",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
12,CNN with Attention,"128 filters, kernel size 3",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
16,RNN,200 units,0.9194630872483222,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.3333333333333333,0.3333333333333333,0.3333333333333333
17,RNN,150 units,0.8523489932885906,0.9916666666666667,0.85,0.9153846153846154,0.27586206896551724,0.8888888888888888,0.42105263157894735
18,RNN,100 units,0.9261744966442953,0.9777777777777777,0.9428571428571428,0.9600000000000001,0.42857142857142855,0.6666666666666666,0.5217391304347826
19,RNN,50 units,0.8322147651006712,0.9831932773109243,0.8357142857142857,0.9034749034749034,0.23333333333333334,0.7777777777777778,0.35897435897435903
20,CNN,"32 filters, kernel size 7",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
21,CNN,"32 filters, kernel size 5",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
22,CNN,"32 filters, kernel size 3",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
23,CNN,"64 filters, kernel size 7",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
24,CNN,"64 filters, kernel size 5",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
25,CNN,"64 filters, kernel size 3",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
26,CNN,"128 filters, kernel size 7",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
27,CNN,"128 filters, kernel size 5",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
28,CNN,"128 filters, kernel size 3",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
29,CNN,"256 filters, kernel size 7",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
30,CNN,"256 filters, kernel size 5",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
31,CNN,"256 filters, kernel size 3",0.9395973154362416,0.9395973154362416,1.0,0.9688581314878892,0.0,0.0,0.0
