,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9467455621301775,0.9811320754716981,0.9629629629629629,0.9719626168224299,0.4,0.5714285714285714,0.47058823529411764
1,LSTM,200 layers,0.9644970414201184,0.9814814814814815,0.9814814814814815,0.9814814814814815,0.5714285714285714,0.5714285714285714,0.5714285714285714
2,LSTM,100 layers,0.9704142011834319,0.9757575757575757,0.9938271604938271,0.9847094801223242,0.75,0.42857142857142855,0.5454545454545454
3,LSTM,50 layers,0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.9763313609467456,0.9759036144578314,1.0,0.9878048780487805,1.0,0.42857142857142855,0.6
5,CNN with Attention,"32 filters, kernel size 5",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
6,CNN with Attention,"32 filters, kernel size 3",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.9704142011834319,0.9815950920245399,0.9876543209876543,0.9846153846153846,0.6666666666666666,0.5714285714285714,0.6153846153846153
8,CNN with Attention,"64 filters, kernel size 5",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
9,CNN with Attention,"64 filters, kernel size 3",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
10,CNN with Attention,"128 filters, kernel size 7",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
11,CNN with Attention,"128 filters, kernel size 5",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
12,CNN with Attention,"128 filters, kernel size 3",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.9763313609467456,0.9759036144578314,1.0,0.9878048780487805,1.0,0.42857142857142855,0.6
15,CNN with Attention,"256 filters, kernel size 3",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
16,RNN,200 units,0.863905325443787,0.9727891156462585,0.8827160493827161,0.9255663430420713,0.13636363636363635,0.42857142857142855,0.20689655172413793
17,RNN,150 units,0.8165680473372781,0.9712230215827338,0.8333333333333334,0.8970099667774086,0.1,0.42857142857142855,0.16216216216216217
18,RNN,100 units,0.8816568047337278,0.9733333333333334,0.9012345679012346,0.935897435897436,0.15789473684210525,0.42857142857142855,0.23076923076923078
19,RNN,50 units,0.7633136094674556,0.9841269841269841,0.7654320987654321,0.861111111111111,0.11627906976744186,0.7142857142857143,0.2
20,CNN,"32 filters, kernel size 7",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
21,CNN,"32 filters, kernel size 5",0.9704142011834319,0.9700598802395209,1.0,0.9848024316109423,1.0,0.2857142857142857,0.4444444444444445
22,CNN,"32 filters, kernel size 3",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
23,CNN,"64 filters, kernel size 7",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
24,CNN,"64 filters, kernel size 5",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
25,CNN,"64 filters, kernel size 3",0.9704142011834319,0.9700598802395209,1.0,0.9848024316109423,1.0,0.2857142857142857,0.4444444444444445
26,CNN,"128 filters, kernel size 7",0.9881656804733728,0.9878048780487805,1.0,0.9938650306748467,1.0,0.7142857142857143,0.8333333333333333
27,CNN,"128 filters, kernel size 5",0.9408284023668639,0.9871794871794872,0.9506172839506173,0.9685534591194969,0.38461538461538464,0.7142857142857143,0.5
28,CNN,"128 filters, kernel size 3",0.9763313609467456,0.9759036144578314,1.0,0.9878048780487805,1.0,0.42857142857142855,0.6
29,CNN,"256 filters, kernel size 7",0.9585798816568047,0.9936305732484076,0.9629629629629629,0.9780564263322883,0.5,0.8571428571428571,0.631578947368421
30,CNN,"256 filters, kernel size 5",0.9644970414201184,0.975609756097561,0.9876543209876543,0.9815950920245398,0.6,0.42857142857142855,0.5
31,CNN,"256 filters, kernel size 3",0.9585798816568047,0.9585798816568047,1.0,0.9788519637462235,0.0,0.0,0.0
